,index,district_id,perc_point,date,indicator_id,district,map_id,division,div_map_id,type,domain,indicator_ids,indicator,calc_type
0,0,N5WWbRtsjWp,100.0,202503,indicator_1,Agra,146,Agra Division,146,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
1,1,eJTsuE56XDF,100.0,202503,indicator_1,Firozabad,147,Agra Division,146,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
2,2,XBLhrSWGytu,100.0,202503,indicator_1,Mainpuri,148,Agra Division,146,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
3,3,KP2BUB1npih,100.0,202503,indicator_1,Mathura,145,Agra Division,146,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
4,4,ibLiLcaKzw2,100.0,202503,indicator_1,Fatehpur,172,Prayagraj Division,172,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
5,5,PAj0oVY0Dxu,100.0,202503,indicator_1,Kaushambi,174,Prayagraj Division,172,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
6,6,fz7bJo3egPX,100.0,202503,indicator_1,Pratapgarh,173,Prayagraj Division,172,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
7,7,tXgaew1Pd2Y,100.0,202503,indicator_1,Prayagraj,175,Prayagraj Division,172,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
8,8,jM27ji8tyrM,100.0,202503,indicator_1,Ambedkar Nagar,178,Ayodhya Division,176,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
9,9,NjckKfm3g0k,97.27680199546901,202503,indicator_1,Azamgarh,191,Azamgarh Division,193,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
10,10,StsLkYw1G0m,100.0,202503,indicator_1,Amethi,206,Ayodhya Division,176,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
11,11,b4XkXzoGqFY,100.0,202503,indicator_1,Ayodhya,177,Ayodhya Division,176,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
12,12,tzH6nJu9SwS,100.0,202503,indicator_1,Barabanki,176,Ayodhya Division,176,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
13,13,o4ZQTVcMI7U,100.0,202503,indicator_1,Sultanpur,179,Ayodhya Division,176,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
14,14,MTIkUw5q5pX,100.0,202503,indicator_1,Hardoi,155,Lucknow Division,155,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
15,15,d9ZuMopgX29,100.0,202503,indicator_1,Lakhimpur Kheri,153,Lucknow Division,155,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
16,16,MfHac5N78aK,100.0,202503,indicator_1,Lucknow,157,Lucknow Division,155,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
17,17,iE0E3nLioFr,100.0,202503,indicator_1,Bahraich,180,Gonda Division,182,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
18,18,lLvTDpBDY8u,100.0,202503,indicator_1,Rae Bareli,158,Lucknow Division,155,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
19,19,XxaOowFtkiJ,100.0,202503,indicator_1,Sitapur,154,Lucknow Division,155,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
