,block_id,date,indicator_id,perc_point,uid_district,district,block,0,map_id,division,div_map_id,type,domain,indicator_ids,indicator,calc_type
0,A8jhC64rvlS,202503,indicator_1,100.0,eA37kyBRRuZ,Budaun,Asafpur,36,173.0,Bareilly Division,150,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
1,BU3H8j3vtpl,202503,indicator_1,100.0,eA37kyBRRuZ,Budaun,Islamnagar,27,174.0,Bareilly Division,150,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
2,EjPcZNiYzP2,202503,indicator_1,100.0,eA37kyBRRuZ,Budaun,Ujhani,40,182.0,Bareilly Division,150,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
3,FBjTmOT2uLU,202503,indicator_1,100.0,eA37kyBRRuZ,Budaun,Ambiapur,38,178.0,Bareilly Division,150,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
4,HJ6IPhQigva,202503,indicator_1,99.92913798981805,eA37kyBRRuZ,Budaun,Usawan,22,187.0,Bareilly Division,150,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
5,MWJyDwqvBqS,202503,indicator_1,99.98000701984218,eA37kyBRRuZ,Budaun,Bisauli,33,175.0,Bareilly Division,150,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
6,QdKW8E0HxRg,202503,indicator_1,90.0032487639966,eA37kyBRRuZ,Budaun,Salarpur,31,,Bareilly Division,150,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
7,QsfJqnMcwds,202503,indicator_1,100.0,eA37kyBRRuZ,Budaun,Sahaswan,38,177.0,Bareilly Division,150,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
8,Wa8qn4d8H22,202503,indicator_1,100.0,eA37kyBRRuZ,Budaun,Samrer,26,184.0,Bareilly Division,150,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
9,YbOAqVBdm86,202503,indicator_1,100.0,eA37kyBRRuZ,Budaun,Dataganj,25,185.0,Bareilly Division,150,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
