district_id,organisationunitname,map_id
N5WWbRtsjWp,Agra,146
frD2HOp3wAs,Aligarh,143
tXgaew1Pd2Y,Prayagraj,175
jM27ji8tyrM,Ambedkar Nagar,178
StsLkYw1G0m,Amethi,206
hgquAmZaNBu,Amroha,137
Bd6E8zkVvVt,Auraiya,162
NjckKfm3g0k,Azamgarh,191
HJIS3IrQ0Nj,Bagpat,139
iE0E3nLioFr,Bahraich,180
oNDvGBE5fLq,Ballia,193
uS0pNSxN3sS,Balrampur,182
DggJGxqbWHn,Banda,170
tzH6nJu9SwS,Barabanki,176
vVqY3DPcpHf,Bareilly,150
J1P16zQEOUT,Basti,185
PeUY1vj02UQ,Bhadohi,198
uCYjHW7FuGG,Bijnor,134
eA37kyBRRuZ,Budaun,149
ogBt4gWCiem,Bulandshahar,142
ClbehnmwSec,Chandauli,196
i2fSZZ3QAJJ,Chitrakoot,171
Tf9b9qcbghH,Deoria,190
ZLcx4iOVyN5,Etah,201
Pm0jLk6EAiE,Etawah,161
b4XkXzoGqFY,Ayodhya,177
uEEwlAGZXWW,Farrukhabad,159
ibLiLcaKzw2,Fatehpur,172
eJTsuE56XDF,Firozabad,147
bNmwkrQeP3e,Gautam Buddha Nagar,141
M5NHlfAaKYI,Ghaziabad,140
dScWdMRN8PL,Ghazipur,195
y8WarEkWCul,Gonda,183
vR85cHdsw1w,Gorakhpur,188
VSI7HobT5qL,Hamirpur,168
CZ8kLjgqvSH,Hapur,204
MTIkUw5q5pX,Hardoi,155
m1IAjmqkoFC,Hathras,144
NL5xiiHZQSC,Jalaun,165
gmw76vAUMqz,Jaunpur,194
Mq751wBMqGF,Jhansi,166
IhQbDYRiF8w,Kannauj,160
k3D0AumUCiC,Kanpur Dehat,163
QVMRMhzVrrS,Kanpur Nagar,164
hITp09XOBLZ,Kasganj,202
PAj0oVY0Dxu,Kaushambi,174
xUeHwd9FQkg,Kushinagar,189
d9ZuMopgX29,Lakhimpur Kheri,153
fagfcadhxej,Lalitpur,167
MfHac5N78aK,Lucknow,157
AcnMkNGgc3S,Maharajganj,187
sUQMxIc3yXj,Mahoba,169
XBLhrSWGytu,Mainpuri,148
KP2BUB1npih,Mathura,145
CBSB9v92AwT,Maunathbhanjan,192
v8YGmR7nOdj,Meerut,138
UAicdMLyuk4,Mirzapur,199
YQNQoPjAIpV,Moradabad,135
MVQs2RrS1Nw,Muzaffarnagar,133
c96jwckSd6j,Pilibhit,151
fz7bJo3egPX,Pratapgarh,173
lLvTDpBDY8u,Rae Bareli,158
IU006h5U7jj,Rampur,136
FKYZ3JbWq84,Saharanpur,132
YzHpzrN0eLv,Sambhal,205
fe1yBApr2sl,Sant Kabir Nagar,186
GaiLSoQq1ue,Shahjahanpur,152
AdiUcz9BXhx,Shamli,203
oyTwneTbWDx,Shrawasti,181
cP0p8qfm3il,Siddharth Nagar,184
XxaOowFtkiJ,Sitapur,154
NNk3JP90QZ5,Sonbhadra,200
o4ZQTVcMI7U,Sultanpur,179
aT03mfdlNiF,Unnav,156
LeuBT7KfuuA,Varanasi,197
