calc_type,composite_index,composite_rank,date,district,district_id,div_map_id,division,domain,domain_index,domain_rank,indicator,indicator_id,indicator_ids,indicator_index,indicator_rank,map_id,perc_point,quarter,type,type_index,type_rank,value,year
p,0.624912734,18.0,2017-10-01,Bulandshahar,ogBt4gWCiem,140,Meerut Division,ante_natal,0.19205593,68.0,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,indicator_1,indicator_1,0.19205593,68.0,142,29.24712221,3,coverage,0.49325557299999995,13.0,,2018
p,0.624912734,18.0,2017-10-01,Bulandshahar,ogBt4gWCiem,140,Meerut Division,delivery_care,0.600466491,34.0,% of pregnant women delivered in institution against estimated delivery,indicator_2,indicator_2,0.609112877,22.0,142,41.62399781,3,coverage,0.49325557299999995,13.0,,2018
p,0.624912734,18.0,2017-10-01,Bulandshahar,ogBt4gWCiem,140,Meerut Division,delivery_care,0.600466491,34.0,% of C-section delivery against reported delivery (70% weightage to CHC),indicator_31,indicator_31,0.168689027,11.0,142,4.48244497,3,quality,0.6981369820000001,34.0,,2018
p,0.624912734,18.0,2017-10-01,Bulandshahar,ogBt4gWCiem,140,Meerut Division,delivery_care,0.600466491,34.0,% of C-section delivery against reported delivery (30% to DH),indicator_32,indicator_32,0.106192581,44.0,142,1.408891672,3,quality,0.6981369820000001,34.0,,2018
n,0.624912734,18.0,2017-10-01,Bulandshahar,ogBt4gWCiem,140,Meerut Division,delivery_care,0.600466491,34.0,Still birth ratio,indicator_4,indicator_4,0.9174049870000001,16.0,142,8.94085282,3,quality,0.6981369820000001,34.0,,2018
p,0.624912734,18.0,2017-10-01,Bulandshahar,ogBt4gWCiem,140,Meerut Division,post_natal_care,1.0,1.0,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),indicator_5,indicator_5,1.0,1.0,142,82.29269092,3,coverage,0.49325557299999995,13.0,,2018
p,0.624912734,18.0,2017-10-01,Bulandshahar,ogBt4gWCiem,140,Meerut Division,immunization,0.6925154609999999,16.0,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,indicator_7,0.7847695920000001,11.0,142,79.84307768,3,coverage,0.49325557299999995,13.0,,2018
p,0.624912734,18.0,2017-10-01,Bulandshahar,ogBt4gWCiem,140,Meerut Division,immunization,0.6925154609999999,16.0,Ratio of Pentavalent 3 to BCG,indicator_6,indicator_6,0.60026133,32.0,142,0.92728035,3,quality,0.6981369820000001,34.0,,2018
p,0.624912734,18.0,2017-10-01,Bulandshahar,ogBt4gWCiem,140,Meerut Division,communicable_diseases,0.706211367,26.0,% of PW screened for HIV against estimated pregnancy,indicator_11,indicator_11,0.412422733,26.0,142,23.87445331,3,coverage,0.49325557299999995,13.0,,2018
p,0.624912734,18.0,2017-10-01,Bulandshahar,ogBt4gWCiem,140,Meerut Division,communicable_diseases,0.706211367,26.0,Total case notification rate of TB against expected TB cases,indicator_10,indicator_10,1.0,1.0,142,100.0,3,quality,0.6981369820000001,34.0,,2018
p,0.624912734,18.0,2017-10-01,Bulandshahar,ogBt4gWCiem,140,Meerut Division,family_planning,0.112433269,46.0,Permanent Method accepted per 1000 EC,indicator_8,indicator_8,0.040909394,41.0,142,0.768695783,3,coverage,0.49325557299999995,13.0,,2018
p,0.624912734,18.0,2017-10-01,Bulandshahar,ogBt4gWCiem,140,Meerut Division,family_planning,0.112433269,46.0,Reversible Method accepted per 1000 EC,indicator_9,indicator_9,0.183957145,46.0,142,3.321306677,3,coverage,0.49325557299999995,13.0,,2018
p,0.624912734,18.0,2017-10-01,Bulandshahar,ogBt4gWCiem,140,Meerut Division,finance,0.722816914,13.0,Per ASHA expenditure of ASHA incentive fund,indicator_12,indicator_12,0.722816914,13.0,142,2017.980864,3,coverage,0.49325557299999995,13.0,,2018
p,0.520349672,57.0,2017-10-01,Etah,ZLcx4iOVyN5,201,Alligarh Division,ante_natal,0.371556565,50.0,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,indicator_1,indicator_1,0.371556565,50.0,201,44.96626284,3,coverage,0.35943432,52.0,,2018
p,0.520349672,57.0,2017-10-01,Etah,ZLcx4iOVyN5,201,Alligarh Division,delivery_care,0.51475297,47.0,% of pregnant women delivered in institution against estimated delivery,indicator_2,indicator_2,0.605273843,23.0,201,41.4175502,3,coverage,0.35943432,52.0,,2018
p,0.520349672,57.0,2017-10-01,Etah,ZLcx4iOVyN5,201,Alligarh Division,delivery_care,0.51475297,47.0,% of C-section delivery against reported delivery (70% weightage to CHC),indicator_31,indicator_31,0.0,55.0,201,0.0,3,quality,0.607125713,54.0,,2018
p,0.520349672,57.0,2017-10-01,Etah,ZLcx4iOVyN5,201,Alligarh Division,delivery_care,0.51475297,47.0,% of C-section delivery against reported delivery (30% to DH),indicator_32,indicator_32,0.049321345999999995,55.0,201,0.654362416,3,quality,0.607125713,54.0,,2018
n,0.520349672,57.0,2017-10-01,Etah,ZLcx4iOVyN5,201,Alligarh Division,delivery_care,0.51475297,47.0,Still birth ratio,indicator_4,indicator_4,0.8896637209999999,29.0,201,11.62602939,3,quality,0.607125713,54.0,,2018
p,0.520349672,57.0,2017-10-01,Etah,ZLcx4iOVyN5,201,Alligarh Division,post_natal_care,0.063886791,72.0,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),indicator_5,indicator_5,0.063886791,72.0,201,18.80527282,3,coverage,0.35943432,52.0,,2018
p,0.520349672,57.0,2017-10-01,Etah,ZLcx4iOVyN5,201,Alligarh Division,immunization,0.653387481,22.0,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,indicator_7,0.817257177,8.0,201,82.41033598,3,coverage,0.35943432,52.0,,2018
p,0.520349672,57.0,2017-10-01,Etah,ZLcx4iOVyN5,201,Alligarh Division,immunization,0.653387481,22.0,Ratio of Pentavalent 3 to BCG,indicator_6,indicator_6,0.489517785,49.0,201,0.8707905999999999,3,quality,0.607125713,54.0,,2018
p,0.520349672,57.0,2017-10-01,Etah,ZLcx4iOVyN5,201,Alligarh Division,communicable_diseases,0.606994916,53.0,% of PW screened for HIV against estimated pregnancy,indicator_11,indicator_11,0.213989832,56.0,201,12.90236898,3,coverage,0.35943432,52.0,,2018
p,0.520349672,57.0,2017-10-01,Etah,ZLcx4iOVyN5,201,Alligarh Division,communicable_diseases,0.606994916,53.0,Total case notification rate of TB against expected TB cases,indicator_10,indicator_10,1.0,1.0,201,100.0,3,quality,0.607125713,54.0,,2018
p,0.520349672,57.0,2017-10-01,Etah,ZLcx4iOVyN5,201,Alligarh Division,family_planning,0.063337436,68.0,Permanent Method accepted per 1000 EC,indicator_8,indicator_8,0.037844632,43.0,201,0.71445499,3,coverage,0.35943432,52.0,,2018
p,0.520349672,57.0,2017-10-01,Etah,ZLcx4iOVyN5,201,Alligarh Division,family_planning,0.063337436,68.0,Reversible Method accepted per 1000 EC,indicator_9,indicator_9,0.088830239,67.0,201,1.913789404,3,coverage,0.35943432,52.0,,2018
p,0.520349672,57.0,2017-10-01,Etah,ZLcx4iOVyN5,201,Alligarh Division,finance,0.676835482,18.0,Per ASHA expenditure of ASHA incentive fund,indicator_12,indicator_12,0.676835482,18.0,201,1973.49783,3,coverage,0.35943432,52.0,,2018
p,0.595853186,27.0,2017-10-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,ante_natal,0.298466214,60.0,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,indicator_1,indicator_1,0.298466214,60.0,197,38.5656309,3,coverage,0.4826835999999999,15.0,,2018
p,0.595853186,27.0,2017-10-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,delivery_care,0.613285993,32.0,% of pregnant women delivered in institution against estimated delivery,indicator_2,indicator_2,0.7427124159999999,12.0,197,48.8084363,3,coverage,0.4826835999999999,15.0,,2018
p,0.595853186,27.0,2017-10-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,delivery_care,0.613285993,32.0,% of C-section delivery against reported delivery (70% weightage to CHC),indicator_31,indicator_31,0.017787083000000002,33.0,197,0.47264260799999996,3,quality,0.695820033,35.0,,2018
p,0.595853186,27.0,2017-10-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,delivery_care,0.613285993,32.0,% of C-section delivery against reported delivery (30% to DH),indicator_32,indicator_32,0.222412528,35.0,197,2.9508196719999997,3,quality,0.695820033,35.0,,2018
n,0.595853186,27.0,2017-10-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,delivery_care,0.613285993,32.0,Still birth ratio,indicator_4,indicator_4,0.856945952,42.0,197,14.79289941,3,quality,0.695820033,35.0,,2018
p,0.595853186,27.0,2017-10-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,post_natal_care,0.7809121940000001,5.0,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),indicator_5,indicator_5,0.7809121940000001,5.0,197,67.43410436,3,coverage,0.4826835999999999,15.0,,2018
p,0.595853186,27.0,2017-10-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,immunization,0.591435712,33.0,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,indicator_7,0.49673685700000003,46.0,197,57.08193847,3,coverage,0.4826835999999999,15.0,,2018
p,0.595853186,27.0,2017-10-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,immunization,0.591435712,33.0,Ratio of Pentavalent 3 to BCG,indicator_6,indicator_6,0.686134568,22.0,197,0.9710838759999999,3,quality,0.695820033,35.0,,2018
p,0.595853186,27.0,2017-10-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,communicable_diseases,0.680771138,35.0,% of PW screened for HIV against estimated pregnancy,indicator_11,indicator_11,0.361542277,35.0,197,21.06108587,3,coverage,0.4826835999999999,15.0,,2018
p,0.595853186,27.0,2017-10-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,communicable_diseases,0.680771138,35.0,Total case notification rate of TB against expected TB cases,indicator_10,indicator_10,1.0,1.0,197,100.0,3,quality,0.695820033,35.0,,2018
p,0.595853186,27.0,2017-10-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,family_planning,0.216421356,16.0,Permanent Method accepted per 1000 EC,indicator_8,indicator_8,0.171649406,9.0,197,3.0825595189999997,3,coverage,0.4826835999999999,15.0,,2018
p,0.595853186,27.0,2017-10-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,family_planning,0.216421356,16.0,Reversible Method accepted per 1000 EC,indicator_9,indicator_9,0.261193306,28.0,197,4.464108817,3,coverage,0.4826835999999999,15.0,,2018
p,0.595853186,27.0,2017-10-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,finance,0.74825613,10.0,Per ASHA expenditure of ASHA incentive fund,indicator_12,indicator_12,0.74825613,10.0,197,2042.591093,3,coverage,0.4826835999999999,15.0,,2018
p,0.6017709139999999,23.0,2017-10-01,Rampur,IU006h5U7jj,134,Moradabad Division,ante_natal,0.223305051,64.0,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,indicator_1,indicator_1,0.223305051,64.0,136,31.98365472,3,coverage,0.3910684370000001,35.0,,2018
p,0.6017709139999999,23.0,2017-10-01,Rampur,IU006h5U7jj,134,Moradabad Division,delivery_care,0.6386136170000001,29.0,% of pregnant women delivered in institution against estimated delivery,indicator_2,indicator_2,0.638315041,20.0,136,43.19437109,3,coverage,0.3910684370000001,35.0,,2018
p,0.6017709139999999,23.0,2017-10-01,Rampur,IU006h5U7jj,134,Moradabad Division,delivery_care,0.6386136170000001,29.0,% of C-section delivery against reported delivery (70% weightage to CHC),indicator_31,indicator_31,0.189368652,8.0,136,5.031948882,3,quality,0.7092201140000001,31.0,,2018
p,0.6017709139999999,23.0,2017-10-01,Rampur,IU006h5U7jj,134,Moradabad Division,delivery_care,0.6386136170000001,29.0,% of C-section delivery against reported delivery (30% to DH),indicator_32,indicator_32,0.22181552,36.0,136,2.942898975,3,quality,0.7092201140000001,31.0,,2018
n,0.6017709139999999,23.0,2017-10-01,Rampur,IU006h5U7jj,134,Moradabad Division,delivery_care,0.6386136170000001,29.0,Still birth ratio,indicator_4,indicator_4,0.86634164,36.0,136,13.88345718,3,quality,0.7092201140000001,31.0,,2018
p,0.6017709139999999,23.0,2017-10-01,Rampur,IU006h5U7jj,134,Moradabad Division,post_natal_care,0.544986025,17.0,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),indicator_5,indicator_5,0.544986025,17.0,136,51.43353606,3,coverage,0.3910684370000001,35.0,,2018
p,0.6017709139999999,23.0,2017-10-01,Rampur,IU006h5U7jj,134,Moradabad Division,immunization,0.662808686,19.0,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,indicator_7,0.766262727,13.0,136,78.38061428,3,coverage,0.3910684370000001,35.0,,2018
p,0.6017709139999999,23.0,2017-10-01,Rampur,IU006h5U7jj,134,Moradabad Division,immunization,0.662808686,19.0,Ratio of Pentavalent 3 to BCG,indicator_6,indicator_6,0.559354645,39.0,136,0.9064140470000001,3,quality,0.7092201140000001,31.0,,2018
p,0.6017709139999999,23.0,2017-10-01,Rampur,IU006h5U7jj,134,Moradabad Division,communicable_diseases,0.682057804,34.0,% of PW screened for HIV against estimated pregnancy,indicator_11,indicator_11,0.364115607,34.0,136,21.20337478,3,coverage,0.3910684370000001,35.0,,2018
p,0.6017709139999999,23.0,2017-10-01,Rampur,IU006h5U7jj,134,Moradabad Division,communicable_diseases,0.682057804,34.0,Total case notification rate of TB against expected TB cases,indicator_10,indicator_10,1.0,1.0,136,100.0,3,quality,0.7092201140000001,31.0,,2018
p,0.6017709139999999,23.0,2017-10-01,Rampur,IU006h5U7jj,134,Moradabad Division,family_planning,0.115947118,44.0,Permanent Method accepted per 1000 EC,indicator_8,indicator_8,0.025114103,58.0,136,0.489147458,3,coverage,0.3910684370000001,35.0,,2018
p,0.6017709139999999,23.0,2017-10-01,Rampur,IU006h5U7jj,134,Moradabad Division,family_planning,0.115947118,44.0,Reversible Method accepted per 1000 EC,indicator_9,indicator_9,0.20678013399999998,41.0,136,3.659000322,3,coverage,0.3910684370000001,35.0,,2018
p,0.6017709139999999,23.0,2017-10-01,Rampur,IU006h5U7jj,134,Moradabad Division,finance,0.35966881100000003,53.0,Per ASHA expenditure of ASHA incentive fund,indicator_12,indicator_12,0.35966881100000003,53.0,136,1666.666667,3,coverage,0.3910684370000001,35.0,,2018
p,0.5953661339999999,28.0,2017-10-01,Basti,J1P16zQEOUT,185,Basti Division,ante_natal,0.210670508,65.0,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,indicator_1,indicator_1,0.210670508,65.0,185,30.87722881,3,coverage,0.364001984,49.0,,2018
p,0.5953661339999999,28.0,2017-10-01,Basti,J1P16zQEOUT,185,Basti Division,delivery_care,0.4962270620000001,50.0,% of pregnant women delivered in institution against estimated delivery,indicator_2,indicator_2,0.322094548,66.0,185,26.18932229,3,coverage,0.364001984,49.0,,2018
p,0.5953661339999999,28.0,2017-10-01,Basti,J1P16zQEOUT,185,Basti Division,delivery_care,0.4962270620000001,50.0,% of C-section delivery against reported delivery (70% weightage to CHC),indicator_31,indicator_31,0.01544155,35.0,185,0.41031653,3,quality,0.7113043259999999,30.0,,2018
p,0.5953661339999999,28.0,2017-10-01,Basti,J1P16zQEOUT,185,Basti Division,delivery_care,0.4962270620000001,50.0,% of C-section delivery against reported delivery (30% to DH),indicator_32,indicator_32,0.319271582,32.0,185,4.235880399,3,quality,0.7113043259999999,30.0,,2018
