calc_type,composite_index,composite_rank,date,district,district_id,div_map_id,division,domain,domain_index,domain_rank,indicator,indicator_id,indicator_ids,indicator_index,indicator_rank,map_id,perc_point,type,type_index,type_rank,value,year
p,0.619698887,14.0,2017-04-01,Bulandshahar,ogBt4gWCiem,140,Meerut Division,ante_natal,0.156358117,69.0,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,indicator_1,indicator_1,0.156358117,69.0,142,27.97354886,coverage,0.473063465,26.0,,2018
p,0.619698887,14.0,2017-04-01,Bulandshahar,ogBt4gWCiem,140,Meerut Division,delivery_care,0.498773441,44.0,% of pregnant women delivered in institution against estimated delivery,indicator_2,indicator_2,0.336810816,64.0,142,55.74437722,coverage,0.473063465,26.0,,2018
p,0.619698887,14.0,2017-04-01,Bulandshahar,ogBt4gWCiem,140,Meerut Division,delivery_care,0.498773441,44.0,% of C-section delivery against reported delivery (70% weightage to CHC),indicator_31,indicator_31,0.192181347,11.0,142,4.4142746310000005,quality,0.721809788,18.0,,2018
p,0.619698887,14.0,2017-04-01,Bulandshahar,ogBt4gWCiem,140,Meerut Division,delivery_care,0.498773441,44.0,% of C-section delivery against reported delivery (30% to DH),indicator_32,indicator_32,0.099701591,47.0,142,1.408891672,quality,0.721809788,18.0,,2018
n,0.619698887,14.0,2017-04-01,Bulandshahar,ogBt4gWCiem,140,Meerut Division,delivery_care,0.498773441,44.0,Still birth ratio,indicator_4,indicator_4,0.867626569,13.0,142,8.835511348999999,quality,0.721809788,18.0,,2018
p,0.619698887,14.0,2017-04-01,Bulandshahar,ogBt4gWCiem,140,Meerut Division,post_natal_care,1.0,1.0,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),indicator_5,indicator_5,1.0,1.0,142,80.72413615,coverage,0.473063465,26.0,,2018
p,0.619698887,14.0,2017-04-01,Bulandshahar,ogBt4gWCiem,140,Meerut Division,immunization,0.863864821,11.0,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,indicator_7,1.0,1.0,142,100.0,coverage,0.473063465,26.0,,2018
p,0.619698887,14.0,2017-04-01,Bulandshahar,ogBt4gWCiem,140,Meerut Division,immunization,0.863864821,11.0,Ratio of Pentavalent 3 to BCG,indicator_6,indicator_6,0.727729643,11.0,142,1.132997596,quality,0.721809788,18.0,,2018
p,0.619698887,14.0,2017-04-01,Bulandshahar,ogBt4gWCiem,140,Meerut Division,communicable_diseases,0.645693173,48.0,% of PW screened for HIV against estimated pregnancy,indicator_11,indicator_11,0.291386345,48.0,142,18.60312447,coverage,0.473063465,26.0,,2018
p,0.619698887,14.0,2017-04-01,Bulandshahar,ogBt4gWCiem,140,Meerut Division,communicable_diseases,0.645693173,48.0,Total case notification rate of TB against expected TB cases,indicator_10,indicator_10,1.0,1.0,142,100.0,quality,0.721809788,18.0,,2018
p,0.619698887,14.0,2017-04-01,Bulandshahar,ogBt4gWCiem,140,Meerut Division,family_planning,0.138285895,51.0,Permanent Method accepted per 1000 EC,indicator_8,indicator_8,0.058541764,53.0,142,1.464578704,coverage,0.473063465,26.0,,2018
p,0.619698887,14.0,2017-04-01,Bulandshahar,ogBt4gWCiem,140,Meerut Division,family_planning,0.138285895,51.0,Reversible Method accepted per 1000 EC,indicator_9,indicator_9,0.218030027,46.0,142,6.9421862710000015,coverage,0.473063465,26.0,,2018
p,0.619698887,14.0,2017-04-01,Bulandshahar,ogBt4gWCiem,140,Meerut Division,finance,0.723380648,10.0,Per ASHA expenditure of ASHA incentive fund,indicator_12,indicator_12,0.723380648,10.0,142,25953.46151,coverage,0.473063465,26.0,,2018
p,0.534211086,50.0,2017-04-01,Etah,ZLcx4iOVyN5,201,Alligarh Division,ante_natal,0.491970531,30.0,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,indicator_1,indicator_1,0.491970531,30.0,201,56.62666769,coverage,0.391151481,56.0,,2018
p,0.534211086,50.0,2017-04-01,Etah,ZLcx4iOVyN5,201,Alligarh Division,delivery_care,0.434558062,56.0,% of pregnant women delivered in institution against estimated delivery,indicator_2,indicator_2,0.422041334,50.0,201,61.29909607,coverage,0.391151481,56.0,,2018
p,0.534211086,50.0,2017-04-01,Etah,ZLcx4iOVyN5,201,Alligarh Division,delivery_care,0.434558062,56.0,% of C-section delivery against reported delivery (70% weightage to CHC),indicator_31,indicator_31,0.0,62.0,201,0.0,quality,0.579423311,54.0,,2018
p,0.534211086,50.0,2017-04-01,Etah,ZLcx4iOVyN5,201,Alligarh Division,delivery_care,0.434558062,56.0,% of C-section delivery against reported delivery (30% to DH),indicator_32,indicator_32,0.039054069,58.0,201,0.55187638,quality,0.579423311,54.0,,2018
