subindicator_id,type,period,indicator_name
K2tTwUh9NJy.svtwwOpurbg,Numerator,monthly,% PW whose ultrasounds done (Private + Public Institution) against registered PW
sNqvJFIliYY.Ti9FJqkSK6J,Denominator,monthly,% PW whose ultrasounds done (Private + Public Institution) against registered PW
WuvZWqTxZPX.Ti9FJqkSK6J,Denominator,monthly,% of maternal death reported against estimated maternal death
hhsaXegbkhg.Ti9FJqkSK6J,Numerator,monthly,% of reported maternal death reviewed (CBMDR and FBMDR)
byP0VKnxVhr.Ti9FJqkSK6J,Numerator,monthly,% of reviewed maternal death presented to CMO/district officials
Tm1DMF0QpSX.Ti9FJqkSK6J,Numerator,monthly,Number of districts organized district level review meeting of MDR
PJcjOAHVupY.Ti9FJqkSK6J,Numerator,monthly,Number of quarterly review meetings organized
OHdD3HES2X5.gBzmANHnG0n,Numerator,monthly,% of pregnant women received free transport facility from home to health unit against delivery
aRueVYr35yM.Ti9FJqkSK6J,Denominator,monthly,% of pregnant women received free transport facility from home to health unit against delivery
xFbpDV663ak.svtwwOpurbg,Numerator,monthly,% of pregnant women received free transport facility from health unit to home against delivery
iOt7o3TvNG4.Ti9FJqkSK6J,Numerator,monthly,% of pregnant women received free meals against delivery
qflIECaldR1.Ti9FJqkSK6J,Numerator,monthly,% of pregnant women offered free blood transfusion against severely anemic pregnant women
VGmj8dWOIBw.Ti9FJqkSK6J,Denominator,monthly,% of pregnant women offered free blood transfusion against severely anemic pregnant women
Gqxz6YlkZDc.Ti9FJqkSK6J,Numerator,monthly,% of newborn infants receiving treatment against newborn with complication
ExMplulIRYb.Ti9FJqkSK6J,Numerator,monthly,% of complication received against delivery
uULzcMXOegs.Ti9FJqkSK6J,Numerator,monthly,% of complaints disposed against complaints received
vuzSex7ZCxC.Ti9FJqkSK6J,Denominator,monthly,% of complaints disposed against complaints received
xFbpDV663ak.QLxp2ax8CRL,Numerator,monthly,% of newborn babies with free transport facility available from health unit to home against live birth
aSvhWxQO8Ck.Ti9FJqkSK6J,Numerator,monthly,% of home deliveries bpl received JSY Payment
HOrR1amEU6x,Denominator,monthly,% of home deliveries bpl received JSY Payment
