date,division,division_id,subindicator_id,value
201710,Gorakhpur Division,BVzTwy4XqVX,aRueVYr35yM,14862.0
201710,Alligarh Division,ewmZucZw6qh,IEPIolCiRdh,3760.0
201710,Bareilly Division,KdUYmr64aLB,vWSHWWYkYvt,1308.0
201710,Lucknow Division,R2NAbaekmwn,BpKWMLTSnyC,24521.0
201710,Agra Division,XJMggNJYBFG,vWSHWWYkYvt,159.0
201710,Gonda Division,K7kAZbm3Vf3,aRueVYr35yM,15553.0
201710,Moradabad Division,wUoXnBEvyKP,IEPIolCiRdh,6609.0
201710,Varanasi Division,DKN52YzYUsX,HOrR1amEU6x,2809.0
201710,Basti Division,gHvNAu4JzV7,aRueVYr35yM,8518.0
201710,Agra Division,XJMggNJYBFG,cyLwa0q6QNd,0.0
201710,Varanasi Division,DKN52YzYUsX,qYpFbVo8WsL,25908.0
201710,Mirzapur Division,B5Cr0KNsqMm,BpKWMLTSnyC,8975.0
201710,Moradabad Division,wUoXnBEvyKP,cyLwa0q6QNd,0.0
201710,Kanpur Nagar Division,qTT8nTiU0SH,BpKWMLTSnyC,23239.0
201710,Gorakhpur Division,BVzTwy4XqVX,HOrR1amEU6x,2398.0
201710,Basti Division,gHvNAu4JzV7,HOrR1amEU6x,3122.0
201710,Meerut Division,UizVoYdewpy,BpKWMLTSnyC,26335.0
201710,Gonda Division,K7kAZbm3Vf3,HOrR1amEU6x,4987.0
201710,Chitrakoot Division,XGXEkQWtunf,IEPIolCiRdh,6983.0
201710,Alligarh Division,ewmZucZw6qh,vWSHWWYkYvt,317.0
201710,Gonda Division,K7kAZbm3Vf3,BpKWMLTSnyC,9232.0
201710,Azamgarh Division,PQpO0hxWAzu,BpKWMLTSnyC,3003.0
201710,Agra Division,XJMggNJYBFG,IEPIolCiRdh,2193.0
201710,Gorakhpur Division,BVzTwy4XqVX,BpKWMLTSnyC,2404.0
201710,Moradabad Division,wUoXnBEvyKP,vWSHWWYkYvt,988.0
201710,Prayagraj Division,jazfyzr02kh,BpKWMLTSnyC,18383.0
201710,Alligarh Division,ewmZucZw6qh,cyLwa0q6QNd,0.0
201710,Bareilly Division,KdUYmr64aLB,cyLwa0q6QNd,2.0
201710,Kanpur Nagar Division,qTT8nTiU0SH,vWSHWWYkYvt,1864.0
201710,Gorakhpur Division,BVzTwy4XqVX,qYpFbVo8WsL,30520.0
201710,Jhansi Division,dScoJEvslIF,BpKWMLTSnyC,10935.0
201710,Meerut Division,UizVoYdewpy,vWSHWWYkYvt,3007.0
201710,Basti Division,gHvNAu4JzV7,qYpFbVo8WsL,16797.0
201710,Lucknow Division,R2NAbaekmwn,HOrR1amEU6x,5869.0
201710,Lucknow Division,R2NAbaekmwn,qYpFbVo8WsL,54452.0
201710,Jhansi Division,dScoJEvslIF,aRueVYr35yM,6304.0
201710,Jhansi Division,dScoJEvslIF,cyLwa0q6QNd,0.0
201710,Prayagraj Division,jazfyzr02kh,cyLwa0q6QNd,102.0
201710,Chitrakoot Division,XGXEkQWtunf,qYpFbVo8WsL,11393.0
201710,Meerut Division,UizVoYdewpy,cyLwa0q6QNd,0.0
201710,Ayodhya Division,pbjtM6RrgzH,HOrR1amEU6x,1707.0
201710,Basti Division,gHvNAu4JzV7,BpKWMLTSnyC,9119.0
201710,Prayagraj Division,jazfyzr02kh,aRueVYr35yM,16182.0
201710,Chitrakoot Division,XGXEkQWtunf,cyLwa0q6QNd,0.0
201710,Saharanpur Division,NWr84AQOxJz,HOrR1amEU6x,2633.0
201710,Prayagraj Division,jazfyzr02kh,vWSHWWYkYvt,242.0
201710,Bareilly Division,KdUYmr64aLB,BpKWMLTSnyC,8219.0
201710,Ayodhya Division,pbjtM6RrgzH,aRueVYr35yM,16839.0
