date,state,state_id,subindicator_id,value
201710,Uttar Pradesh,v8EzhiynNtf,IEPIolCiRdh,160467
201710,Uttar Pradesh,v8EzhiynNtf,vWSHWWYkYvt,23885
201710,Uttar Pradesh,v8EzhiynNtf,qYpFbVo8WsL,462609
201710,Uttar Pradesh,v8EzhiynNtf,HOrR1amEU6x,58414
201710,Uttar Pradesh,v8EzhiynNtf,aRueVYr35yM,232042
201710,Uttar Pradesh,v8EzhiynNtf,BpKWMLTSnyC,259043
201710,Uttar Pradesh,v8EzhiynNtf,Jzcnqae4P4R,287
201710,Uttar Pradesh,v8EzhiynNtf,cyLwa0q6QNd,119
201710,Uttar Pradesh,v8EzhiynNtf,VGmj8dWOIBw.Ti9FJqkSK6J,17142
201710,Uttar Pradesh,v8EzhiynNtf,byP0VKnxVhr.Ti9FJqkSK6J,284
201710,Uttar Pradesh,v8EzhiynNtf,aknlXIekL1Z.wb51FJHqHxp,139654
201710,Uttar Pradesh,v8EzhiynNtf,NeNWp698eve.e4vOZhidnTl,1655
201710,Uttar Pradesh,v8EzhiynNtf,PZLXbWgoqhN.Ti9FJqkSK6J,1763154
201710,Uttar Pradesh,v8EzhiynNtf,K2tTwUh9NJy.svtwwOpurbg,36704
201710,Uttar Pradesh,v8EzhiynNtf,qflIECaldR1.Ti9FJqkSK6J,11895
201710,Uttar Pradesh,v8EzhiynNtf,SCutWcJX88a.Ti9FJqkSK6J,213
201710,Uttar Pradesh,v8EzhiynNtf,iOt7o3TvNG4.Ti9FJqkSK6J,124853
201710,Uttar Pradesh,v8EzhiynNtf,Tm1DMF0QpSX.Ti9FJqkSK6J,47
201710,Uttar Pradesh,v8EzhiynNtf,hhsaXegbkhg.Ti9FJqkSK6J,9
201710,Uttar Pradesh,v8EzhiynNtf,Xg1j0efNUrP.Ti9FJqkSK6J,814
201710,Uttar Pradesh,v8EzhiynNtf,WuvZWqTxZPX.Ti9FJqkSK6J,1396
201710,Uttar Pradesh,v8EzhiynNtf,SBtoYIVEDFS.Ti9FJqkSK6J,551827
201710,Uttar Pradesh,v8EzhiynNtf,uULzcMXOegs.Ti9FJqkSK6J,283
201710,Uttar Pradesh,v8EzhiynNtf,ExMplulIRYb.Ti9FJqkSK6J,7432
201710,Uttar Pradesh,v8EzhiynNtf,xFbpDV663ak.svtwwOpurbg,79750
201710,Uttar Pradesh,v8EzhiynNtf,bOFAAIzcaGZ.Ti9FJqkSK6J,2021
201710,Uttar Pradesh,v8EzhiynNtf,ozzIeiddUyN.Ti9FJqkSK6J,201278
201710,Uttar Pradesh,v8EzhiynNtf,sNqvJFIliYY.Ti9FJqkSK6J,647468
201710,Uttar Pradesh,v8EzhiynNtf,aRueVYr35yM.Ti9FJqkSK6J,232042
201710,Uttar Pradesh,v8EzhiynNtf,uYJ0kOlfdTG.Ti9FJqkSK6J,2787803
201710,Uttar Pradesh,v8EzhiynNtf,n3L9KZq55UM.Ti9FJqkSK6J,249
201710,Uttar Pradesh,v8EzhiynNtf,NeNWp698eve.gZiING8oxqo,1076
201710,Uttar Pradesh,v8EzhiynNtf,DFDP0iJG63H.Ti9FJqkSK6J,25808
201710,Uttar Pradesh,v8EzhiynNtf,KFyojgVb8Go.mrHdT99cCnv,10
201710,Uttar Pradesh,v8EzhiynNtf,Gqxz6YlkZDc.Ti9FJqkSK6J,36020
201710,Uttar Pradesh,v8EzhiynNtf,OHdD3HES2X5.gBzmANHnG0n,78157
201710,Uttar Pradesh,v8EzhiynNtf,vuzSex7ZCxC.Ti9FJqkSK6J,405
201710,Uttar Pradesh,v8EzhiynNtf,NeNWp698eve.uBLH63dNSeY,1530
201710,Uttar Pradesh,v8EzhiynNtf,aknlXIekL1Z.iRNhRMvoSCx,151932
201710,Uttar Pradesh,v8EzhiynNtf,KFyojgVb8Go.v3ourGcXDlN,36
201710,Uttar Pradesh,v8EzhiynNtf,jhdL4rNP5pA.Ti9FJqkSK6J,3831
201710,Uttar Pradesh,v8EzhiynNtf,KFyojgVb8Go.hbUkGAlIwu8,81
201710,Uttar Pradesh,v8EzhiynNtf,KFyojgVb8Go.PWn0jSvveTs,23
201710,Uttar Pradesh,v8EzhiynNtf,PJcjOAHVupY.Ti9FJqkSK6J,520
201710,Uttar Pradesh,v8EzhiynNtf,xFbpDV663ak.QLxp2ax8CRL,28980
201710,Uttar Pradesh,v8EzhiynNtf,KFyojgVb8Go.zJCowC71NtF,256
201710,Uttar Pradesh,v8EzhiynNtf,A89WukjS845.Ti9FJqkSK6J,50060
201710,Uttar Pradesh,v8EzhiynNtf,aSvhWxQO8Ck.Ti9FJqkSK6J,15
201710,Uttar Pradesh,v8EzhiynNtf,NeNWp698eve.JD3TbSsgoKa,1633
201710,Uttar Pradesh,v8EzhiynNtf,KFyojgVb8Go.bg50uiDLvlP,10
201711,Uttar Pradesh,v8EzhiynNtf,IEPIolCiRdh,157802
201711,Uttar Pradesh,v8EzhiynNtf,vWSHWWYkYvt,23397
201711,Uttar Pradesh,v8EzhiynNtf,qYpFbVo8WsL,434081
201711,Uttar Pradesh,v8EzhiynNtf,HOrR1amEU6x,55471
201711,Uttar Pradesh,v8EzhiynNtf,aRueVYr35yM,212712
201711,Uttar Pradesh,v8EzhiynNtf,BpKWMLTSnyC,252197
201711,Uttar Pradesh,v8EzhiynNtf,Jzcnqae4P4R,263
201711,Uttar Pradesh,v8EzhiynNtf,cyLwa0q6QNd,59
