subindicator_id,type,period,indicator_type
B2A7x36qEry.Ti9FJqkSK6J,Numerator,monthly,indicator
GXgfTS67qxe.Ti9FJqkSK6J,Denominator,monthly,indicator
ZpgnTGpSkeg.Ti9FJqkSK6J,Numerator,monthly,indicator
LQRtOv7IQrQ.Ti9FJqkSK6J,Denominator,yearly,indicator
ui45G8KwpzU.Ti9FJqkSK6J,Numerator,monthly,indicator
aRueVYr35yM.Ti9FJqkSK6J,Numerator,monthly,indicator
FRafAE8qFP6,Numerator,yearly,indicator
ux6uaflq7xZ,Numerator,yearly,indicator
cB6y5lovUZX.Ti9FJqkSK6J,Denominator,yearly,indicator
mexWK5BLs5H.Ti9FJqkSK6J,Numerator,monthly,indicator
aknlXIekL1Z.iRNhRMvoSCx,Denominator,monthly,indicator
aknlXIekL1Z.wb51FJHqHxp,Denominator,monthly,indicator
YyUc4SanMDt.Ti9FJqkSK6J,Numerator,monthly,indicator
OP5Q3Ga5V3T.aRNxGm8EkXJ,Numerator,monthly,indicator
tN6dkfe6JLE.aRNxGm8EkXJ,Denominator,monthly,indicator
GJKYhq2wR9L,Numerator,monthly,indicator
t03VPkJ5UXd,Denominator,yearly,indicator
SCutWcJX88a.Ti9FJqkSK6J,Numerator,monthly,indicator
jhdL4rNP5pA.Ti9FJqkSK6J,Numerator,monthly,indicator
bOFAAIzcaGZ.Ti9FJqkSK6J,Numerator,monthly,indicator
Xg1j0efNUrP.Ti9FJqkSK6J,Numerator,monthly,indicator
n3L9KZq55UM.Ti9FJqkSK6J,Numerator,monthly,indicator
OVLPx9JL7u7.Ti9FJqkSK6J,Denominator,yearly,indicator
VJ2ccLnKQPv,Denominator,yearly,indicator
Z0rXYfMQZST,Denominator,yearly,indicator
yBfIJ7wBbcF,Denominator,yearly,indicator
uTUcZv1fJfk.Ti9FJqkSK6J,Numerator,monthly,indicator
NeNWp698eve.uBLH63dNSeY,Numerator,monthly,indicator
NI0EC5no6PO,Numerator,monthly,indicator
fyuGMPRH02k,Numerator,monthly,indicator
jHHZKr89vwY,Denominator,monthly,indicator
A89WukjS845,Numerator,monthly,indicator
TmeumlBaObG,Denominator,yearly,indicator
kuz5MYYLyi2,Numerator,monthly,indicator
aknlXIekL1Z,Denominator,monthly,indicator
g69FuEghiM5,Denominator,yearly,indicator
