subindicator_id,type,period,indicator_type
ZpgnTGpSkeg.Ti9FJqkSK6J,Numerator,monthly,indicator
TmeumlBaObG,Denominator,yearly,indicator
ui45G8KwpzU.Ti9FJqkSK6J,Numerator,monthly,indicator
aRueVYr35yM.Ti9FJqkSK6J,Numerator,monthly,indicator
mexWK5BLs5H.Ti9FJqkSK6J,Numerator,monthly,indicator
aknlXIekL1Z.iRNhRMvoSCx,Denominator,monthly,indicator
aknlXIekL1Z.wb51FJHqHxp,Denominator,monthly,indicator
OP5Q3Ga5V3T.aRNxGm8EkXJ,Numerator,monthly,indicator
tN6dkfe6JLE.aRNxGm8EkXJ,Denominator,monthly,indicator
GJKYhq2wR9L,Numerator,monthly,indicator
SCutWcJX88a.Ti9FJqkSK6J,Numerator,monthly,indicator
jhdL4rNP5pA.Ti9FJqkSK6J,Numerator,monthly,indicator
bOFAAIzcaGZ.Ti9FJqkSK6J,Numerator,monthly,indicator
Xg1j0efNUrP.Ti9FJqkSK6J,Numerator,monthly,indicator
n3L9KZq55UM.Ti9FJqkSK6J,Numerator,monthly,indicator
OVLPx9JL7u7.Ti9FJqkSK6J,Denominator,yearly,indicator
uTUcZv1fJfk.Ti9FJqkSK6J,Numerator,monthly,indicator
YyUc4SanMDt.Ti9FJqkSK6J,Numerator,monthly,indicator
NeNWp698eve.uBLH63dNSeY,Numerator,monthly,indicator
A89WukjS845,Numerator,monthly,indicator
VJ2ccLnKQPv,Denominator,yearly,indicator
Z0rXYfMQZST,Denominator,yearly,indicator
yBfIJ7wBbcF,Denominator,yearly,indicator
NI0EC5no6PO,Numerator,monthly,indicator
g69FuEghiM5,Denominator,yearly,indicator
IE5mCjFLxyl,Numerator,yearly,indicator
MU3eO3SO5i9,Denominator,monthly,indicator
h3YV0hOScfN.WMWuMvCRaFF,Numerator,monthly,indicator
h3YV0hOScfN.vk4QB618zVQ,Denominator,monthly,indicator
FRafAE8qFP6,Numerator,yearly,indicator
ux6uaflq7xZ,Numerator,yearly,indicator
fyuGMPRH02k,Numerator,monthly,indicator
jHHZKr89vwY,Denominator,monthly,indicator
t03VPkJ5UXd,Denominator,yearly,indicator
kuz5MYYLyi2,Numerator,monthly,indicator
aknlXIekL1Z,Denominator,monthly,indicator
