uid,name,dataelementid,dataelementid_
aRueVYr35yM,Institutional delivery(including c-section),820,v32
OP5Q3Ga5V3T.aRNxGm8EkXJ,Pentavalent 3 dose,851,v92
ZpgnTGpSkeg,4 ANC checkups,810,v9
fqM6fGLUqVD,Level of delivery point,32184,v02
A89WukjS845,Interval IUCD insertion(excluding PPIUCD/PAIUCD),7155778,v65
qYpFbVo8WsL,ANC registration,807,v1
mexWK5BLs5H,Still births,827,v40
a1Itlc1Um1p,Women receiving post partum checkup within 48 hours after delivery,832,v52
aknlXIekL1Z.iRNhRMvoSCx,Live births,826,v37
aknlXIekL1Z.wb51FJHqHxp,Live births,826,v38
HOrR1amEU6x.WVDe9q7ihBV,Home Deliveries,817,v28
HOrR1amEU6x.YOjJNrvr2j2,Home Deliveries,817,v29
YyUc4SanMDt,Post partum IUCD insertions (within 48 hours of delivery),835,v66
tN6dkfe6JLE.aRNxGm8EkXJ,BCG dose,845,v86
SCutWcJX88a,NSV/Conventional Vasectomy conducted,905,v60
jhdL4rNP5pA,Laparoscopic sterilizations conducted,906,v61
bOFAAIzcaGZ,Minilap (other than post-partum) sterilisations conducted,907,v62
Xg1j0efNUrP,Minilap post partum (within 7 days of delivery) sterilizations conducted,908,v63
n3L9KZq55UM,Post abortion sterilizations conducted(within 7 days of spontaneous or surgical abortion),7155187,v64
ui45G8KwpzU,PW tested for Hb(4 or >4 times in ANCs),7149151,v14
uTUcZv1fJfk,Post Abortion IUCD insertions (within 12 days),7269292,v67
NeNWp698eve,DMPA Acceptors,1630754,v71
HIMRPikytRR,Caesarean deliveries,821,v35
FIaGENXR3c5,Delivery point,32185,v01
