block,block_id,calc_type,date,district,district_id,division,domain,indicator,indicator_id,perc_point,type,year
Hathras Mursan,NHwhqnwjZ0d,p,2019-04-01,Hathras,m1IAjmqkoFC,Alligarh Division,JSY,% JSY Incentive,indicator_36,0.1893744644387318,JSY,2020.0
Bawan,tbi6Bsb6jlU,p,2019-04-01,Hardoi,MTIkUw5q5pX,Lucknow Division,JSY,% JSY Incentive,indicator_36,0.0,JSY,2020.0
Milak,TLMPAZhmOLv,p,2019-04-01,Rampur,IU006h5U7jj,Moradabad Division,JSY,% JSY Incentive,indicator_36,0.358444486191997,JSY,2020.0
Katrabazar,SiNGqVJoMtb,p,2019-04-01,Gonda,y8WarEkWCul,Gonda Division,JSY,% JSY Incentive,indicator_36,0.5526052104208417,JSY,2020.0
Rae Bareli Maharajganj,NbdKCUBY7yL,p,2019-04-01,Rae Bareli,lLvTDpBDY8u,Lucknow Division,JSY,% JSY Incentive,indicator_36,0.445290199809705,JSY,2020.0
RSangramgarh,dRG9GGcp4gQ,p,2019-04-01,Pratapgarh,fz7bJo3egPX,Prayagraj Division,JSY,% JSY Incentive,indicator_36,0.4788135593220339,JSY,2020.0
Hamirpur Nauranga,F4fL0v4ObFM,p,2019-04-01,Hamirpur,VSI7HobT5qL,Chitrakoot Division,JSY,% JSY Incentive,indicator_36,0.5555970149253732,JSY,2020.0
Shrawasti DHQ,GK26msJSJoZ,p,2019-04-01,Shrawasti,oyTwneTbWDx,Gonda Division,JSY,% JSY Incentive,indicator_36,0.4142581888246628,JSY,2020.0
Bilsanda,GHjV9QTEXyn,p,2019-04-01,Pilibhit,c96jwckSd6j,Bareilly Division,JSY,% JSY Incentive,indicator_36,0.3521784232365145,JSY,2020.0
C S M Nagar Bazar Shukul,HZYH9FeKSbz,p,2019-04-01,Amethi,StsLkYw1G0m,Ayodhya Division,JSY,% JSY Incentive,indicator_36,0.3602150537634409,JSY,2020.0
Ballia Navanagar,kepTOn7He9W,p,2019-04-01,Ballia,oNDvGBE5fLq,Azamgarh Division,JSY,% JSY Incentive,indicator_36,0.0,JSY,2020.0
Gondlamau,HWAP9AgN3Ym,p,2019-04-01,Sitapur,XxaOowFtkiJ,Lucknow Division,JSY,% JSY Incentive,indicator_36,0.26184092940125114,JSY,2020.0
Malihabad,c8dGu0p6B0M,p,2019-04-01,Lucknow,MfHac5N78aK,Lucknow Division,JSY,% JSY Incentive,indicator_36,0.2469565217391305,JSY,2020.0
Kanpur Dehat Miatha,qt0Ra0vMorS,p,2019-04-01,Kanpur Dehat,k3D0AumUCiC,Kanpur Nagar Division,JSY,% JSY Incentive,indicator_36,0.5,JSY,2020.0
Hergaon,nwuxQQpdi7D,p,2019-04-01,Sitapur,XxaOowFtkiJ,Lucknow Division,JSY,% JSY Incentive,indicator_36,0.43781654473832304,JSY,2020.0
Chopen,rqYozNDUgyg,p,2019-04-01,Sonbhadra,NNk3JP90QZ5,Mirzapur Division,JSY,% JSY Incentive,indicator_36,0.4101043158110043,JSY,2020.0
