block,block_id,calc_type,date,district,district_id,division,domain,indicator,indicator_id,perc_point,quarter,type,year
Asafpur,A8jhC64rvlS,p,2019-04-01,Budaun,eA37kyBRRuZ,Bareilly Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,38.9886703150421,,coverage,2020
Asafpur,A8jhC64rvlS,p,2019-04-01,Budaun,eA37kyBRRuZ,Bareilly Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,46.7613751777371,,coverage,2020
Islam Nagar,BU3H8j3vtpl,p,2019-04-01,Budaun,eA37kyBRRuZ,Bareilly Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,35.2802750859643,,coverage,2020
Islam Nagar,BU3H8j3vtpl,p,2019-04-01,Budaun,eA37kyBRRuZ,Bareilly Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,49.411086069972,,coverage,2020
Ujhani,EjPcZNiYzP2,p,2019-04-01,Budaun,eA37kyBRRuZ,Bareilly Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,40.419801980198,,coverage,2020
Ujhani,EjPcZNiYzP2,p,2019-04-01,Budaun,eA37kyBRRuZ,Bareilly Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,41.738056386547,,coverage,2020
Bilsi,FBjTmOT2uLU,p,2019-04-01,Budaun,eA37kyBRRuZ,Bareilly Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,43.1953216374269,,coverage,2020
Bilsi,FBjTmOT2uLU,p,2019-04-01,Budaun,eA37kyBRRuZ,Bareilly Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,41.084415294695,,coverage,2020
Usawan,HJ6IPhQigva,p,2019-04-01,Budaun,eA37kyBRRuZ,Bareilly Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,56.5330685203575,,coverage,2020
Usawan,HJ6IPhQigva,p,2019-04-01,Budaun,eA37kyBRRuZ,Bareilly Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,52.3255483577679,,coverage,2020
Bisauli,MWJyDwqvBqS,p,2019-04-01,Budaun,eA37kyBRRuZ,Bareilly Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,37.9652173913043,,coverage,2020
Bisauli,MWJyDwqvBqS,p,2019-04-01,Budaun,eA37kyBRRuZ,Bareilly Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,41.9090205716366,,coverage,2020
Binawar,QdKW8E0HxRg,p,2019-04-01,Budaun,eA37kyBRRuZ,Bareilly Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,0.0,,coverage,2020
Binawar,QdKW8E0HxRg,p,2019-04-01,Budaun,eA37kyBRRuZ,Bareilly Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,0.0,,coverage,2020
Sahaswan,QsfJqnMcwds,p,2019-04-01,Budaun,eA37kyBRRuZ,Bareilly Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,44.8207081225825,,coverage,2020
Sahaswan,QsfJqnMcwds,p,2019-04-01,Budaun,eA37kyBRRuZ,Bareilly Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,31.3525706503234,,coverage,2020
Samrer,Wa8qn4d8H22,p,2019-04-01,Budaun,eA37kyBRRuZ,Bareilly Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,36.880243161094214,,coverage,2020
Samrer,Wa8qn4d8H22,p,2019-04-01,Budaun,eA37kyBRRuZ,Bareilly Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,64.05293544796871,,coverage,2020
Dataganj,YbOAqVBdm86,p,2019-04-01,Budaun,eA37kyBRRuZ,Bareilly Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,44.5774913237481,,coverage,2020
