block,block_id,calc_type,date,district,district_id,division,domain,indicator,indicator_id,perc_point,quarter,type,year
Ghazipur Birona,zv6Gc6aGnXd,p,2019-04-01,Ghazipur,dScWdMRN8PL,Varanasi Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,44.56875544,1,coverage,2020
Ghazipur Birona,zv6Gc6aGnXd,p,2019-04-01,Ghazipur,dScWdMRN8PL,Varanasi Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,78.89301681,1,coverage,2020
Ghazipur Jakahania,NbXqavwiDug,p,2019-04-01,Ghazipur,dScWdMRN8PL,Varanasi Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,49.16433339,1,coverage,2020
Ghazipur Jakahania,NbXqavwiDug,p,2019-04-01,Ghazipur,dScWdMRN8PL,Varanasi Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,78.89301681,1,coverage,2020
Ghazipur Manihari,APE5J6eTM3s,p,2019-04-01,Ghazipur,dScWdMRN8PL,Varanasi Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,48.66716517,1,coverage,2020
Ghazipur Manihari,APE5J6eTM3s,p,2019-04-01,Ghazipur,dScWdMRN8PL,Varanasi Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,78.89301681,1,coverage,2020
Ghazipur Kasimabad,oJK3Sqdic6n,p,2019-04-01,Ghazipur,dScWdMRN8PL,Varanasi Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,31.17755386,1,coverage,2020
Ghazipur Kasimabad,oJK3Sqdic6n,p,2019-04-01,Ghazipur,dScWdMRN8PL,Varanasi Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,78.89301681,1,coverage,2020
Ghazipur Gondaur,mhI69xut9he,p,2019-04-01,Ghazipur,dScWdMRN8PL,Varanasi Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,23.73729454,1,coverage,2020
Ghazipur Gondaur,mhI69xut9he,p,2019-04-01,Ghazipur,dScWdMRN8PL,Varanasi Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,78.89301681,1,coverage,2020
Ghazipur Mahmudabad,ISeQXIbXref,p,2019-04-01,Ghazipur,dScWdMRN8PL,Varanasi Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,75.47776543,1,coverage,2020
Ghazipur Mahmudabad,ISeQXIbXref,p,2019-04-01,Ghazipur,dScWdMRN8PL,Varanasi Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,78.89301681,1,coverage,2020
Ghazipur Barachwar,SQuL6ZdC6LY,p,2019-04-01,Ghazipur,dScWdMRN8PL,Varanasi Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,47.188771,1,coverage,2020
Ghazipur Barachwar,SQuL6ZdC6LY,p,2019-04-01,Ghazipur,dScWdMRN8PL,Varanasi Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,78.89301681,1,coverage,2020
Ghazipur Jamania,hepZfdzFqgL,p,2019-04-01,Ghazipur,dScWdMRN8PL,Varanasi Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,43.28320313,1,coverage,2020
Ghazipur Jamania,hepZfdzFqgL,p,2019-04-01,Ghazipur,dScWdMRN8PL,Varanasi Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,78.89301681,1,coverage,2020
Ghazipur Saidpur,OFvD8TPE8bU,p,2019-04-01,Ghazipur,dScWdMRN8PL,Varanasi Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,60.51250347,1,coverage,2020
Ghazipur Saidpur,OFvD8TPE8bU,p,2019-04-01,Ghazipur,dScWdMRN8PL,Varanasi Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,78.89301681,1,coverage,2020
Ghazipur DHQ,PEDIETmpZdA,p,2019-04-01,Ghazipur,dScWdMRN8PL,Varanasi Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,61.99146573,1,coverage,2020
Ghazipur DHQ,PEDIETmpZdA,p,2019-04-01,Ghazipur,dScWdMRN8PL,Varanasi Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,78.89301681,1,coverage,2020
Ghazipur Rawatipur,y8eD89Cg95c,p,2019-04-01,Ghazipur,dScWdMRN8PL,Varanasi Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,30.23178543,1,coverage,2020
Ghazipur Rawatipur,y8eD89Cg95c,p,2019-04-01,Ghazipur,dScWdMRN8PL,Varanasi Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,78.89301681,1,coverage,2020
Ghazipur Davkali,kcQKXLIXWNj,p,2019-04-01,Ghazipur,dScWdMRN8PL,Varanasi Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,50.35477178,1,coverage,2020
Ghazipur Davkali,kcQKXLIXWNj,p,2019-04-01,Ghazipur,dScWdMRN8PL,Varanasi Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,78.89301681,1,coverage,2020
