block,block_id,calc_type,date,district,district_id,division,domain,indicator,indicator_id,perc_point,quarter,type,year
Asafpur,A8jhC64rvlS,p,2021-08-01,Budaun,eA37kyBRRuZ,Bareilly Division,ante_natal,ANC registered within first trimester,indicator_1,73.85159010600707,2,ante_natal,2022
Rudauli,AAOPzLEjW4T,p,2021-08-01,Ayodhya,b4XkXzoGqFY,Ayodhya Division,ante_natal,ANC registered within first trimester,indicator_1,73.14211212516297,2,ante_natal,2022
Baskhari,ABuWCL4zW6t,p,2021-08-01,Ambedkar Nagar,jM27ji8tyrM,Ayodhya Division,ante_natal,ANC registered within first trimester,indicator_1,85.65217391304348,2,ante_natal,2022
Dostpur,AGFzimgfzIo,p,2021-08-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,ante_natal,ANC registered within first trimester,indicator_1,73.98119122257053,2,ante_natal,2022
Khair,AN2dWDiHkBb,p,2021-08-01,Aligarh,frD2HOp3wAs,Alligarh Division,ante_natal,ANC registered within first trimester,indicator_1,53.71900826446282,2,ante_natal,2022
Ghazipur Manihari,APE5J6eTM3s,p,2021-08-01,Ghazipur,dScWdMRN8PL,Varanasi Division,ante_natal,ANC registered within first trimester,indicator_1,89.61661341853035,2,ante_natal,2022
Tappal,ARlYpTrc811,p,2021-08-01,Aligarh,frD2HOp3wAs,Alligarh Division,ante_natal,ANC registered within first trimester,indicator_1,93.9641109298532,2,ante_natal,2022
Hathras Sahpau,AcznJJtvLKq,p,2021-08-01,Hathras,m1IAjmqkoFC,Alligarh Division,ante_natal,ANC registered within first trimester,indicator_1,58.82352941176471,2,ante_natal,2022
Parsupur,Ae5sVkqEY53,p,2021-08-01,Gonda,y8WarEkWCul,Gonda Division,ante_natal,ANC registered within first trimester,indicator_1,86.8974042027194,2,ante_natal,2022
Aligarh DHQ,Ae6KfBl84FW,p,2021-08-01,Aligarh,frD2HOp3wAs,Alligarh Division,ante_natal,ANC registered within first trimester,indicator_1,35.866351271437026,2,ante_natal,2022
Saidnagar,Afucmep9Fdq,p,2021-08-01,Rampur,IU006h5U7jj,Moradabad Division,ante_natal,ANC registered within first trimester,indicator_1,88.0354505169867,2,ante_natal,2022
BKTalabe,ApSm0CuGVfL,p,2021-08-01,Lucknow,MfHac5N78aK,Lucknow Division,ante_natal,ANC registered within first trimester,indicator_1,82.5214899713467,2,ante_natal,2022
Sahabganj,Aq89pvDpWBA,p,2021-08-01,Chandauli,ClbehnmwSec,Varanasi Division,ante_natal,ANC registered within first trimester,indicator_1,62.57545271629779,2,ante_natal,2022
Kulphar,AvDeCxhTMWB,p,2021-08-01,Mahoba,sUQMxIc3yXj,Chitrakoot Division,ante_natal,ANC registered within first trimester,indicator_1,30.0,2,ante_natal,2022
Deoria Bhttni,AzV6zQXaRba,p,2021-08-01,Deoria,Tf9b9qcbghH,Gorakhpur Division,ante_natal,ANC registered within first trimester,indicator_1,79.45205479452055,2,ante_natal,2022
Itawa,B0QTEnRTAZg,p,2021-08-01,Siddharth Nagar,cP0p8qfm3il,Basti Division,ante_natal,ANC registered within first trimester,indicator_1,84.63227222832053,2,ante_natal,2022
Bilhari,B1rNgGH3FaM,p,2021-08-01,Moradabad,YQNQoPjAIpV,Moradabad Division,ante_natal,ANC registered within first trimester,indicator_1,61.876832844574785,2,ante_natal,2022
Kushinagar Fajilnagar,B3CnhXWWije,p,2021-08-01,Kushinagar,xUeHwd9FQkg,Gorakhpur Division,ante_natal,ANC registered within first trimester,indicator_1,86.81506849315069,2,ante_natal,2022
Marouri,B6BzDe4ryaa,p,2021-08-01,Pilibhit,c96jwckSd6j,Bareilly Division,ante_natal,ANC registered within first trimester,indicator_1,94.3854324734446,2,ante_natal,2022
Madhiyahoo,B9itA8m0ytx,p,2021-08-01,Jaunpur,gmw76vAUMqz,Varanasi Division,ante_natal,ANC registered within first trimester,indicator_1,65.15880654475458,2,ante_natal,2022
Mathura Chatta,BEiGzI07UOM,p,2021-08-01,Mathura,KP2BUB1npih,Agra Division,ante_natal,ANC registered within first trimester,indicator_1,57.71812080536913,2,ante_natal,2022
Bulandshahar Pahasu,BFS0IOjIJM6,p,2021-08-01,Bulandshahar,ogBt4gWCiem,Meerut Division,ante_natal,ANC registered within first trimester,indicator_1,48.31130690161529,2,ante_natal,2022
Unnav Bangarmau,BGRBILNZiPW,p,2021-08-01,Unnav,aT03mfdlNiF,Lucknow Division,ante_natal,ANC registered within first trimester,indicator_1,74.89082969432314,2,ante_natal,2022
Saharanpur Gangoha,BHNN3R3Nfyk,p,2021-08-01,Saharanpur,FKYZ3JbWq84,Saharanpur Division,ante_natal,ANC registered within first trimester,indicator_1,71.44790257104194,2,ante_natal,2022
Jaisinghpur,BKeRkKcuOgW,p,2021-08-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,ante_natal,ANC registered within first trimester,indicator_1,68.91191709844561,2,ante_natal,2022
Manjhwan,BLgq44ZJkKh,p,2021-08-01,Mirzapur,UAicdMLyuk4,Mirzapur Division,ante_natal,ANC registered within first trimester,indicator_1,62.3608017817372,2,ante_natal,2022
Islam Nagar,BU3H8j3vtpl,p,2021-08-01,Budaun,eA37kyBRRuZ,Bareilly Division,ante_natal,ANC registered within first trimester,indicator_1,68.03418803418803,2,ante_natal,2022
Bulandshahar Arniya,BWEaFP6tBWO,p,2021-08-01,Bulandshahar,ogBt4gWCiem,Meerut Division,ante_natal,ANC registered within first trimester,indicator_1,35.2112676056338,2,ante_natal,2022
Nawabganj,BWxu1bDp2ht,p,2021-08-01,Bareilly,vVqY3DPcpHf,Bareilly Division,ante_natal,ANC registered within first trimester,indicator_1,0.0,2,ante_natal,2022
Rae Bareli Shivgarh,BYGgaeM7fof,p,2021-08-01,Rae Bareli,lLvTDpBDY8u,Lucknow Division,ante_natal,ANC registered within first trimester,indicator_1,51.028806584362144,2,ante_natal,2022
Kushinagar Hata,BYiQDRJhWWk,p,2021-08-01,Kushinagar,xUeHwd9FQkg,Gorakhpur Division,ante_natal,ANC registered within first trimester,indicator_1,85.37037037037038,2,ante_natal,2022
Kanpur Dehat Sandalpur,Bc5VrfyFJO4,p,2021-08-01,Kanpur Dehat,k3D0AumUCiC,Kanpur Nagar Division,ante_natal,ANC registered within first trimester,indicator_1,56.39999999999999,2,ante_natal,2022
Shahbad,Bgu9MPGC8NW,p,2021-08-01,Rampur,IU006h5U7jj,Moradabad Division,ante_natal,ANC registered within first trimester,indicator_1,92.26856561546288,2,ante_natal,2022
Kushinagar Motichak,BhMAwU8XZey,p,2021-08-01,Kushinagar,xUeHwd9FQkg,Gorakhpur Division,ante_natal,ANC registered within first trimester,indicator_1,88.28828828828829,2,ante_natal,2022
Mainpuri Jagir,BkcbTCyupP9,p,2021-08-01,Mainpuri,XBLhrSWGytu,Agra Division,ante_natal,ANC registered within first trimester,indicator_1,72.50996015936255,2,ante_natal,2022
Lalaurikhera,BwBmhT0ClWR,p,2021-08-01,Pilibhit,c96jwckSd6j,Bareilly Division,ante_natal,ANC registered within first trimester,indicator_1,80.55555555555556,2,ante_natal,2022
Dubeypur,C2FFe2TBScZ,p,2021-08-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,ante_natal,ANC registered within first trimester,indicator_1,79.2910447761194,2,ante_natal,2022
Firozabad Jasrana,C4DRedrM3Pb,p,2021-08-01,Firozabad,eJTsuE56XDF,Agra Division,ante_natal,ANC registered within first trimester,indicator_1,65.88541666666666,2,ante_natal,2022
Fakharpur,C9qOAPWGoUS,p,2021-08-01,Bahraich,iE0E3nLioFr,Gonda Division,ante_natal,ANC registered within first trimester,indicator_1,83.46153846153847,2,ante_natal,2022
Kushinagar Tamkuhi,CApqqM6FvRV,p,2021-08-01,Kushinagar,xUeHwd9FQkg,Gorakhpur Division,ante_natal,ANC registered within first trimester,indicator_1,68.70342771982116,2,ante_natal,2022
Mathura Raya,CGmxoB5JV9G,p,2021-08-01,Mathura,KP2BUB1npih,Agra Division,ante_natal,ANC registered within first trimester,indicator_1,84.16988416988417,2,ante_natal,2022
Manda,CGzm91g5LUD,p,2021-08-01,Prayagraj,tXgaew1Pd2Y,Prayagraj Division,ante_natal,ANC registered within first trimester,indicator_1,66.15853658536585,2,ante_natal,2022
