block_id,perc_point,indicator_id,district_id,district,block,division,type,domain,indicator,calc_type,year,quarter,date
o9odKTTIYVk,,indicator_1,QVMRMhzVrrS,Kanpur Nagar,Sersoul,Kanpur Nagar Division,ante_natal,ante_natal,ANC registered within first trimester,p,2022,2,2021-07-01
ZEh2syBgHks,,indicator_1,oNDvGBE5fLq,Ballia,Ballia Reoti,Azamgarh Division,ante_natal,ante_natal,ANC registered within first trimester,p,2022,2,2021-07-01
EjPcZNiYzP2,,indicator_1,eA37kyBRRuZ,Budaun,Ujhani,Bareilly Division,ante_natal,ante_natal,ANC registered within first trimester,p,2022,2,2021-07-01
pYWjwOoijbJ,,indicator_1,b4XkXzoGqFY,Ayodhya,Amaniganj,Ayodhya Division,ante_natal,ante_natal,ANC registered within first trimester,p,2022,2,2021-07-01
mK3aOsGURLr,,indicator_1,ZLcx4iOVyN5,Etah,Jaithra,Alligarh Division,ante_natal,ante_natal,ANC registered within first trimester,p,2022,2,2021-07-01
kE3pd8aET6C,,indicator_1,MVQs2RrS1Nw,Muzaffarnagar,Muzaffarnagar Purkaji,Saharanpur Division,ante_natal,ante_natal,ANC registered within first trimester,p,2022,2,2021-07-01
LPTjBQ9rRWx,,indicator_1,Tf9b9qcbghH,Deoria,Deoria Bethalpur,Gorakhpur Division,ante_natal,ante_natal,ANC registered within first trimester,p,2022,2,2021-07-01
vXwJYqDZIzf,,indicator_1,o4ZQTVcMI7U,Sultanpur,Bhadaiyan,Ayodhya Division,ante_natal,ante_natal,ANC registered within first trimester,p,2022,2,2021-07-01
HddGvNsPs8y,,indicator_1,k3D0AumUCiC,Kanpur Dehat,Kanpur Dehat Ghinjhak,Kanpur Nagar Division,ante_natal,ante_natal,ANC registered within first trimester,p,2022,2,2021-07-01
UqkEQavyage,,indicator_1,Bd6E8zkVvVt,Auraiya,Auraiya Bhagyanagar,Kanpur Nagar Division,ante_natal,ante_natal,ANC registered within first trimester,p,2022,2,2021-07-01
svsS1G8o1pm,,indicator_1,vVqY3DPcpHf,Bareilly,Ramnagar,Bareilly Division,ante_natal,ante_natal,ANC registered within first trimester,p,2022,2,2021-07-01
TfKrN4hWv8C,,indicator_1,IU006h5U7jj,Rampur,Rampur DHQ,Moradabad Division,ante_natal,ante_natal,ANC registered within first trimester,p,2022,2,2021-07-01
tv4Qque6scf,,indicator_1,lLvTDpBDY8u,Rae Bareli,Rae Bareli Uchahar,Lucknow Division,ante_natal,ante_natal,ANC registered within first trimester,p,2022,2,2021-07-01
RtFh5dTx40I,,indicator_1,cP0p8qfm3il,Siddharth Nagar,Khsrha,Basti Division,ante_natal,ante_natal,ANC registered within first trimester,p,2022,2,2021-07-01
QavHaYYE31I,,indicator_1,k3D0AumUCiC,Kanpur Dehat,Kanpur Dehat Melasa,Kanpur Nagar Division,ante_natal,ante_natal,ANC registered within first trimester,p,2022,2,2021-07-01
bkkdTIrC9mc,,indicator_1,hgquAmZaNBu,Amroha,Gangeshwari,Moradabad Division,ante_natal,ante_natal,ANC registered within first trimester,p,2022,2,2021-07-01
ouPBHlLzBAu,,indicator_1,hgquAmZaNBu,Amroha,Joya,Moradabad Division,ante_natal,ante_natal,ANC registered within first trimester,p,2022,2,2021-07-01
