block,block_id,calc_type,date,district,district_id,division,domain,indicator,indicator_id,perc_point,type,year
Sersoul,o9odKTTIYVk,p,2021-04-01,Kanpur Nagar,QVMRMhzVrrS,Kanpur Nagar Division,ante_natal,ANC registered within first trimester,indicator_1,4.338070306656694,ante_natal,2022
Ballia Reoti,ZEh2syBgHks,p,2021-04-01,Ballia,oNDvGBE5fLq,Azamgarh Division,ante_natal,ANC registered within first trimester,indicator_1,61.957950065703024,ante_natal,2022
Ujhani,EjPcZNiYzP2,p,2021-04-01,Budaun,eA37kyBRRuZ,Bareilly Division,ante_natal,ANC registered within first trimester,indicator_1,41.04903078677309,ante_natal,2022
Amaniganj,pYWjwOoijbJ,p,2021-04-01,Ayodhya,b4XkXzoGqFY,Ayodhya Division,ante_natal,ANC registered within first trimester,indicator_1,82.7250608272506,ante_natal,2022
Jaithra,mK3aOsGURLr,p,2021-04-01,Etah,ZLcx4iOVyN5,Alligarh Division,ante_natal,ANC registered within first trimester,indicator_1,49.25828970331588,ante_natal,2022
Muzaffarnagar Purkaji,kE3pd8aET6C,p,2021-04-01,Muzaffarnagar,MVQs2RrS1Nw,Saharanpur Division,ante_natal,ANC registered within first trimester,indicator_1,37.70022883295194,ante_natal,2022
Deoria Bethalpur,LPTjBQ9rRWx,p,2021-04-01,Deoria,Tf9b9qcbghH,Gorakhpur Division,ante_natal,ANC registered within first trimester,indicator_1,69.83326870880187,ante_natal,2022
Bhadaiyan,vXwJYqDZIzf,p,2021-04-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,ante_natal,ANC registered within first trimester,indicator_1,48.22857142857143,ante_natal,2022
Kanpur Dehat Ghinjhak,HddGvNsPs8y,p,2021-04-01,Kanpur Dehat,k3D0AumUCiC,Kanpur Nagar Division,ante_natal,ANC registered within first trimester,indicator_1,36.74698795180723,ante_natal,2022
Auraiya Bhagyanagar,UqkEQavyage,p,2021-04-01,Auraiya,Bd6E8zkVvVt,Kanpur Nagar Division,ante_natal,ANC registered within first trimester,indicator_1,52.55431591309454,ante_natal,2022
Ramnagar,svsS1G8o1pm,p,2021-04-01,Bareilly,vVqY3DPcpHf,Bareilly Division,ante_natal,ANC registered within first trimester,indicator_1,0.0,ante_natal,2022
Rampur DHQ,TfKrN4hWv8C,p,2021-04-01,Rampur,IU006h5U7jj,Moradabad Division,ante_natal,ANC registered within first trimester,indicator_1,88.82931188561216,ante_natal,2022
Rae Bareli Uchahar,tv4Qque6scf,p,2021-04-01,Rae Bareli,lLvTDpBDY8u,Lucknow Division,ante_natal,ANC registered within first trimester,indicator_1,56.28140703517588,ante_natal,2022
Khsrha,RtFh5dTx40I,p,2021-04-01,Siddharth Nagar,cP0p8qfm3il,Basti Division,ante_natal,ANC registered within first trimester,indicator_1,60.25414754677021,ante_natal,2022
Kanpur Dehat Melasa,QavHaYYE31I,p,2021-04-01,Kanpur Dehat,k3D0AumUCiC,Kanpur Nagar Division,ante_natal,ANC registered within first trimester,indicator_1,74.68239564428312,ante_natal,2022
Gangeshwari,bkkdTIrC9mc,p,2021-04-01,Amroha,hgquAmZaNBu,Moradabad Division,ante_natal,ANC registered within first trimester,indicator_1,43.57563850687623,ante_natal,2022
Joya,ouPBHlLzBAu,p,2021-04-01,Amroha,hgquAmZaNBu,Moradabad Division,ante_natal,ANC registered within first trimester,indicator_1,67.34324030445813,ante_natal,2022
Bheetargaon,prVsNzGqemV,p,2021-04-01,Kanpur Nagar,QVMRMhzVrrS,Kanpur Nagar Division,ante_natal,ANC registered within first trimester,indicator_1,45.20856820744081,ante_natal,2022
Ballia Bellhri,s2dEYvDCkAZ,p,2021-04-01,Ballia,oNDvGBE5fLq,Azamgarh Division,ante_natal,ANC registered within first trimester,indicator_1,54.30327868852459,ante_natal,2022
Hamirpur Gohand,SEb6dTDNGdm,p,2021-04-01,Hamirpur,VSI7HobT5qL,Chitrakoot Division,ante_natal,ANC registered within first trimester,indicator_1,51.82232346241457,ante_natal,2022
Auraiya Airwa Katra,JUDfktiXVjn,p,2021-04-01,Auraiya,Bd6E8zkVvVt,Kanpur Nagar Division,ante_natal,ANC registered within first trimester,indicator_1,61.5919629057187,ante_natal,2022
Bisanda,emjMgvubuGe,p,2021-04-01,Banda,DggJGxqbWHn,Chitrakoot Division,ante_natal,ANC registered within first trimester,indicator_1,23.75500858614768,ante_natal,2022
Ballia Dubhar,bmh3vNuN7xM,p,2021-04-01,Ballia,oNDvGBE5fLq,Azamgarh Division,ante_natal,ANC registered within first trimester,indicator_1,84.26443202979516,ante_natal,2022
Badlapur,HU9Fxw66kJA,p,2021-04-01,Jaunpur,gmw76vAUMqz,Varanasi Division,ante_natal,ANC registered within first trimester,indicator_1,84.9015317286652,ante_natal,2022
Rae Bareli Salon,Gr3MErPlauk,p,2021-04-01,Rae Bareli,lLvTDpBDY8u,Lucknow Division,ante_natal,ANC registered within first trimester,indicator_1,88.2183908045977,ante_natal,2022
Azamgarh Lalganj,CqNwKYL7iqH,p,2021-04-01,Azamgarh,NjckKfm3g0k,Azamgarh Division,ante_natal,ANC registered within first trimester,indicator_1,62.732615083251716,ante_natal,2022
Ghaziabad Loni,isevBbVYacc,p,2021-04-01,Ghaziabad,M5NHlfAaKYI,Meerut Division,ante_natal,ANC registered within first trimester,indicator_1,92.17363751584284,ante_natal,2022
Nawada,CUfl7clOb3K,p,2021-04-01,Kaushambi,PAj0oVY0Dxu,Prayagraj Division,ante_natal,ANC registered within first trimester,indicator_1,40.3921568627451,ante_natal,2022
Saharanpur Nangal,TkRtB84gkNd,p,2021-04-01,Saharanpur,FKYZ3JbWq84,Saharanpur Division,ante_natal,ANC registered within first trimester,indicator_1,94.59876543209876,ante_natal,2022
Kauriram,W4M075uGpIs,p,2021-04-01,Gorakhpur,vR85cHdsw1w,Gorakhpur Division,ante_natal,ANC registered within first trimester,indicator_1,58.760863470703676,ante_natal,2022
Maharajganj,d5GGshi37vh,p,2021-04-01,Maharajganj,AcnMkNGgc3S,Gorakhpur Division,ante_natal,ANC registered within first trimester,indicator_1,61.49500217296827,ante_natal,2022
Chaka,hty8pfH1ySe,p,2021-04-01,Prayagraj,tXgaew1Pd2Y,Prayagraj Division,ante_natal,ANC registered within first trimester,indicator_1,46.056395586432366,ante_natal,2022
Balrampur DHQ,G7snWO0Hmy7,p,2021-04-01,Balrampur,uS0pNSxN3sS,Gonda Division,ante_natal,ANC registered within first trimester,indicator_1,58.2039911308204,ante_natal,2022
Gaura,b29DRuniQju,p,2021-04-01,Pratapgarh,fz7bJo3egPX,Prayagraj Division,ante_natal,ANC registered within first trimester,indicator_1,80.55391868002357,ante_natal,2022
Hathras Sasni,Sy6tfTi18KA,p,2021-04-01,Hathras,m1IAjmqkoFC,Alligarh Division,ante_natal,ANC registered within first trimester,indicator_1,56.051541647491945,ante_natal,2022
Khiarabad,ch0hBYu0VuS,p,2021-04-01,Sitapur,XxaOowFtkiJ,Lucknow Division,ante_natal,ANC registered within first trimester,indicator_1,63.109540636042404,ante_natal,2022
Bidhuna,dbmh0v75n2G,p,2021-04-01,Kanpur Nagar,QVMRMhzVrrS,Kanpur Nagar Division,ante_natal,ANC registered within first trimester,indicator_1,13.709677419354838,ante_natal,2022
Kara,UBoDZuuvpRs,p,2021-04-01,Kaushambi,PAj0oVY0Dxu,Prayagraj Division,ante_natal,ANC registered within first trimester,indicator_1,38.86830582687774,ante_natal,2022
Kushinagar Tamkuhi,CApqqM6FvRV,p,2021-04-01,Kushinagar,xUeHwd9FQkg,Gorakhpur Division,ante_natal,ANC registered within first trimester,indicator_1,72.69031781226903,ante_natal,2022
Jaitipur,l14UZLO07Q9,p,2021-04-01,Shahjahanpur,GaiLSoQq1ue,Bareilly Division,ante_natal,ANC registered within first trimester,indicator_1,71.83673469387755,ante_natal,2022
Kushinagar Nabu Naurangia,vgRr0JIJR7M,p,2021-04-01,Kushinagar,xUeHwd9FQkg,Gorakhpur Division,ante_natal,ANC registered within first trimester,indicator_1,76.55731662366384,ante_natal,2022
Shahbad,Bgu9MPGC8NW,p,2021-04-01,Rampur,IU006h5U7jj,Moradabad Division,ante_natal,ANC registered within first trimester,indicator_1,92.20148299667605,ante_natal,2022
Kanth,eRgWsRn98MG,p,2021-04-01,Shahjahanpur,GaiLSoQq1ue,Bareilly Division,ante_natal,ANC registered within first trimester,indicator_1,63.1843926998112,ante_natal,2022
Charkhari,voVPLJSfahW,p,2021-04-01,Mahoba,sUQMxIc3yXj,Chitrakoot Division,ante_natal,ANC registered within first trimester,indicator_1,57.58426966292135,ante_natal,2022
Hathras Sadabad,nGMlBiXPa8W,p,2021-04-01,Hathras,m1IAjmqkoFC,Alligarh Division,ante_natal,ANC registered within first trimester,indicator_1,78.87662025924148,ante_natal,2022
Agra Pinhat,sGuuKBoA9Rh,p,2021-04-01,Agra,N5WWbRtsjWp,Agra Division,ante_natal,ANC registered within first trimester,indicator_1,90.17699115044248,ante_natal,2022
Chamraua,zph89qUJBah,p,2021-04-01,Rampur,IU006h5U7jj,Moradabad Division,ante_natal,ANC registered within first trimester,indicator_1,86.03351955307262,ante_natal,2022
Pahla,I2ZGoBUtTtO,p,2021-04-01,Sitapur,XxaOowFtkiJ,Lucknow Division,ante_natal,ANC registered within first trimester,indicator_1,98.84139033160207,ante_natal,2022
Muzaffarnagar Badhara,hiCT4rPYCVr,p,2021-04-01,Muzaffarnagar,MVQs2RrS1Nw,Saharanpur Division,ante_natal,ANC registered within first trimester,indicator_1,61.782708492731444,ante_natal,2022
Saharanpur Gangoha,BHNN3R3Nfyk,p,2021-04-01,Saharanpur,FKYZ3JbWq84,Saharanpur Division,ante_natal,ANC registered within first trimester,indicator_1,67.34750979294908,ante_natal,2022
Chaniya,P0KHYXl7qFF,p,2021-04-01,Chandauli,ClbehnmwSec,Varanasi Division,ante_natal,ANC registered within first trimester,indicator_1,54.434100930916216,ante_natal,2022
Shamli Shamli,QgLrwudkb0M,p,2021-04-01,Shamli,AdiUcz9BXhx,Saharanpur Division,ante_natal,ANC registered within first trimester,indicator_1,71.20743034055728,ante_natal,2022
Maunathbhanjan Doharighat,y2tYqTLUS24,p,2021-04-01,Maunathbhanjan,CBSB9v92AwT,Azamgarh Division,ante_natal,ANC registered within first trimester,indicator_1,58.62341772151899,ante_natal,2022
Uttroula,uReShtGh7bZ,p,2021-04-01,Balrampur,uS0pNSxN3sS,Gonda Division,ante_natal,ANC registered within first trimester,indicator_1,94.66820099731493,ante_natal,2022
Hapur,MoftawJk2Oh,p,2021-04-01,Hapur,CZ8kLjgqvSH,Meerut Division,ante_natal,ANC registered within first trimester,indicator_1,90.34209913893415,ante_natal,2022
