calc_type,category,date,district,district_id,div_map_id,division,domain,indicator,indicator_id,map_id,perc_point,quarter,type,weight,year
p,Process Indicator ,2017-10-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,ante_natal,ANC registered within first trimester,indicator_1,191,43.82780367425281,3,ante_natal,3.0,2018
p,Process Indicator ,2018-01-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,ante_natal,ANC registered within first trimester,indicator_1,191,54.93422958799328,4,ante_natal,3.0,2018
p,Process Indicator ,2018-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,ante_natal,ANC registered within first trimester,indicator_1,191,45.99105697324802,1,ante_natal,3.0,2019
p,Process Indicator ,2018-07-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,ante_natal,ANC registered within first trimester,indicator_1,191,47.53028541424446,2,ante_natal,3.0,2019
p,Process Indicator ,2018-10-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,ante_natal,ANC registered within first trimester,indicator_1,191,48.706515079311046,3,ante_natal,3.0,2019
p,Process Indicator ,2019-01-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,ante_natal,ANC registered within first trimester,indicator_1,191,53.963213707986355,4,ante_natal,3.0,2019
p,Process Indicator ,2019-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,ante_natal,ANC registered within first trimester,indicator_1,191,52.64216545501567,1,ante_natal,3.0,2020
p,Process Indicator ,2019-07-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,ante_natal,ANC registered within first trimester,indicator_1,191,57.25009022013714,2,ante_natal,3.0,2020
p,Process Indicator ,2019-10-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,ante_natal,ANC registered within first trimester,indicator_1,191,67.04557549439087,3,ante_natal,3.0,2020
p,Process Indicator ,2020-01-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,ante_natal,ANC registered within first trimester,indicator_1,191,67.2805867880711,4,ante_natal,3.0,2020
p,Outcome Indicator ,2017-10-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,ante_natal,PW received 4 or more ANC,indicator_2,191,27.598501849230985,3,ante_natal,4.0,2018
p,Outcome Indicator ,2018-01-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,ante_natal,PW received 4 or more ANC,indicator_2,191,28.264694153615192,4,ante_natal,4.0,2018
p,Outcome Indicator ,2018-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,ante_natal,PW received 4 or more ANC,indicator_2,191,35.23485047028333,1,ante_natal,4.0,2019
p,Outcome Indicator ,2018-07-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,ante_natal,PW received 4 or more ANC,indicator_2,191,36.76363530473778,2,ante_natal,4.0,2019
p,Outcome Indicator ,2018-10-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,ante_natal,PW received 4 or more ANC,indicator_2,191,44.422119332576216,3,ante_natal,4.0,2019
p,Outcome Indicator ,2019-01-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,ante_natal,PW received 4 or more ANC,indicator_2,191,47.28167496578434,4,ante_natal,4.0,2019
p,Outcome Indicator ,2019-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,ante_natal,PW received 4 or more ANC,indicator_2,191,49.01742399892362,1,ante_natal,4.0,2020
p,Outcome Indicator ,2019-07-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,ante_natal,PW received 4 or more ANC,indicator_2,191,100.0,2,ante_natal,4.0,2020
p,Outcome Indicator ,2019-10-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,ante_natal,PW received 4 or more ANC,indicator_2,191,100.0,3,ante_natal,4.0,2020
p,Outcome Indicator ,2020-01-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,ante_natal,PW received 4 or more ANC,indicator_2,191,96.25283111951624,4,ante_natal,4.0,2020
