calc_type,category,date,district,district_id,div_map_id,division,domain,indicator,indicator_id,map_id,perc_point,type,weight,year
p,Process Indicator ,2017-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,ante_natal,ANC registered within first trimester,indicator_1,191,49.22799504113603,ante_natal,3.0,2018
p,Process Indicator ,2018-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,ante_natal,ANC registered within first trimester,indicator_1,191,49.34512200407403,ante_natal,3.0,2019
p,Process Indicator ,2019-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,ante_natal,ANC registered within first trimester,indicator_1,191,61.3236002191611,ante_natal,3.0,2020
p,Outcome Indicator ,2017-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,ante_natal,PW received 4 or more ANC,indicator_2,191,27.93159800142309,ante_natal,4.0,2018
p,Outcome Indicator ,2018-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,ante_natal,PW received 4 or more ANC,indicator_2,191,40.925570018345425,ante_natal,4.0,2019
p,Outcome Indicator ,2019-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,ante_natal,PW received 4 or more ANC,indicator_2,191,90.61077432520314,ante_natal,4.0,2020
p,Process Indicator ,2017-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,ante_natal,PW treated with severe anemia,indicator_3,191,11.689419795221848,ante_natal,3.0,2018
p,Process Indicator ,2018-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,ante_natal,PW treated with severe anemia,indicator_3,191,13.687279423047409,ante_natal,3.0,2019
p,Process Indicator ,2019-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,ante_natal,PW treated with severe anemia,indicator_3,191,13.244402096236305,ante_natal,3.0,2020
p,Process Indicator ,2017-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,new_born_care,HBNC visits,indicator_5,191,49.53271028037384,new_born_care,3.0,2018
p,Process Indicator ,2018-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,new_born_care,HBNC visits,indicator_5,191,53.49986122675549,new_born_care,3.0,2019
p,Process Indicator ,2019-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,new_born_care,HBNC visits,indicator_5,191,58.48664914485964,new_born_care,3.0,2020
p,Outcome Indicator ,2017-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Immunization,Full immunization,indicator_6,191,29.630659554566822,Immunization,5.0,2018
p,Outcome Indicator ,2018-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Immunization,Full immunization,indicator_6,191,74.88889066841772,Immunization,5.0,2019
p,Outcome Indicator ,2019-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Immunization,Full immunization,indicator_6,191,100.0,Immunization,5.0,2020
p,Outcome Indicator ,2017-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,communicable_diseases,Communicable disease,indicator_7,191,77.70039130755791,communicable_diseases,5.0,2018
p,Outcome Indicator ,2018-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,communicable_diseases,Communicable disease,indicator_7,191,12.395391592670913,communicable_diseases,5.0,2019
p,Outcome Indicator ,2019-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,communicable_diseases,Communicable disease,indicator_7,191,79.50069156293222,communicable_diseases,5.0,2020
p,Process Indicator ,2017-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,CDR,Child Death Reported (U5) ,indicator_10,191,0.0,CDR,3.0,2018
p,Process Indicator ,2018-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,CDR,Child Death Reported (U5) ,indicator_10,191,0.0,CDR,3.0,2019
p,Process Indicator ,2019-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,CDR,Child Death Reported (U5) ,indicator_10,191,0.02055397061604361,CDR,3.0,2020
p,Process Indicator ,2017-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,RCH Portal ,Mother Registeration RCH ,indicator_17,191,0.0,RCH Portal ,3.0,2018
p,Process Indicator ,2018-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,RCH Portal ,Mother Registeration RCH ,indicator_17,191,0.0,RCH Portal ,3.0,2019
p,Process Indicator ,2019-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,RCH Portal ,Mother Registeration RCH ,indicator_17,191,19.842130048362623,RCH Portal ,3.0,2020
p,Outcome Indicator ,2017-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Birth Registration ,Birth registeration CRS ,indicator_19,191,0.0,Birth Registration ,5.0,2018
p,Outcome Indicator ,2018-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Birth Registration ,Birth registeration CRS ,indicator_19,191,0.0,Birth Registration ,5.0,2019
p,Outcome Indicator ,2019-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Birth Registration ,Birth registeration CRS ,indicator_19,191,0.0,Birth Registration ,5.0,2020
p,Outcome Indicator ,2019-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Institutional delivery ,Institutional delivery (private) ,indicator_4,191,35.599041165352894,Institutional delivery ,2.0,2020
p,Outcome Indicator ,2019-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,communicable_diseases,Success rate of positive tuberculosis cases,indicator_8,191,100.0,communicable_diseases,5.0,2020
p,Process Indicator ,2019-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,communicable_diseases,% of positive malaria cases identified against total tested in the district up to the month,indicator_9,191,0.0,communicable_diseases,3.0,2020
p,Outcome Indicator ,2019-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Institutional delivery ,Institutional delivery (public + private) ,indicator_11,191,46.17362003492974,Institutional delivery ,5.0,2020
p,Outcome Indicator ,2019-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Family Planning,Couple Accepted Modern FP ,indicator_13,191,39.963872521611975,Family Planning,5.0,2020
