division,district,div_map_id
Agra Division,Mathura,146
Agra Division,Agra,146
Agra Division,Firozabad,146
Agra Division,Mainpuri,146
Prayagraj Division,Pratapgarh,172
Prayagraj Division,Fatehpur,172
Prayagraj Division,Prayagraj,172
Prayagraj Division,Kaushambi,172
Alligarh Division,Aligarh,201
Alligarh Division,Hathras,201
Alligarh Division,Kasganj,201
Alligarh Division,Etah,201
Azamgarh Division,Azamgarh,193
Azamgarh Division,Ballia,193
Azamgarh Division,Maunathbhanjan,193
Bareilly Division,Shahjahanpur,150
Bareilly Division,Bareilly,150
Bareilly Division,Pilibhit,150
Bareilly Division,Budaun,150
Basti Division,Sant Kabir Nagar,185
Basti Division,Basti,185
Basti Division,Siddharth Nagar,185
Chitrakoot Division,Chitrakoot,170
Chitrakoot Division,Banda,170
Chitrakoot Division,Mahoba,170
Chitrakoot Division,Hamirpur,170
Ayodhya Division,Barabanki,176
Ayodhya Division,Ambedkar Nagar,176
Ayodhya Division,Amethi,176
Ayodhya Division,Sultanpur,176
Ayodhya Division,Ayodhya,176
Gonda Division,Gonda,182
Gonda Division,Balrampur,182
Gonda Division,Bahraich,182
Gonda Division,Shrawasti,182
Gorakhpur Division,Gorakhpur,188
Gorakhpur Division,Deoria,188
Gorakhpur Division,Maharajganj,188
Gorakhpur Division,Kushinagar,188
Jhansi Division,Lalitpur,165
Jhansi Division,Jalaun,165
Jhansi Division,Jhansi,165
Kanpur Nagar Division,Auraiya,161
Kanpur Nagar Division,Farrukhabad,161
Kanpur Nagar Division,Kanpur Nagar,161
Kanpur Nagar Division,Kannauj,161
Kanpur Nagar Division,Kanpur Dehat,161
Kanpur Nagar Division,Etawah,161
Lucknow Division,Rae Bareli,155
Lucknow Division,Unnav,155
Lucknow Division,Lucknow,155
Lucknow Division,Sitapur,155
Lucknow Division,Hardoi,155
Lucknow Division,Lakhimpur Kheri,155
Meerut Division,Gautam Buddha Nagar,140
Meerut Division,Bulandshahar,140
Meerut Division,Ghaziabad,140
Meerut Division,Bagpat,140
Meerut Division,Hapur,140
Meerut Division,Meerut,140
Mirzapur Division,Mirzapur,200
Mirzapur Division,Bhadohi,200
Mirzapur Division,Sonbhadra,200
Moradabad Division,Bijnor,134
Moradabad Division,Moradabad,134
Moradabad Division,Amroha,134
Moradabad Division,Sambhal,134
Moradabad Division,Rampur,134
Saharanpur Division,Saharanpur,132
Saharanpur Division,Muzaffarnagar,132
Saharanpur Division,Shamli,132
Varanasi Division,Ghazipur,195
Varanasi Division,Jaunpur,195
Varanasi Division,Varanasi,195
Varanasi Division,Chandauli,195
