District,organisationunitid,organisationunitname,id_Shp_file,Remarks
Agra,iqYgALY5y5A,Akola,140,
Agra,NWLheaE7Ac4,Khandauli,137,
Agra,TNFp3ouQZzy,Bah,150,
Agra,PskcWzXXxHt,Barauli Ahir,141,
Agra,RjTiJ3wL4Ir,Bichpuri,139,
Agra,eV15qufBx79,Achhnera,143,
Agra,xiUPA06ix22,Etmadpur,138,
Agra,vKblzOJTuGM,Fatehabad,148,
Agra,tZd8rrGLhlU,Fatehpur Sikri,142,
Agra,JGBdoOZp18V,Jagner,144,
Agra,PlRYdgqkTLD,Jaitpur Kalan,151,
Agra,hO5EeDRnO8S,Kheragarh,145,
Agra,sGuuKBoA9Rh,Pinahat,149,
Agra,mqJOhnNW2ce,Saiyan,146,
Agra,CSr734nIeVU,Shamsabad,147,
Firozabad,njhb7CY73zh,Araon,159,
Firozabad,rgR8kKaylIH,Shikohabad,158,
Agra,CUTzCqh1nRn,Agra (Urban),#N/A,
Firozabad,v4LM2W1q50L,Eka,155,
Firozabad,C4DRedrM3Pb,Jasrana,157,
Firozabad,GcLGdTGiU8M,Kotla (Narkhi),153,
Firozabad,ipancoUtUKq,Kheragarh (Hathwant),156,
Firozabad,TEd7x916bEz,Madanpur,160,
Firozabad,TJrLeyFzLWY,Tundla,152,
Mainpuri,GdimZzDSdCV,Ghiror,161,
Mainpuri,EeFlmvJs36p,Barnahal,164,
Mainpuri,Dn4n2S6qEWw,Bewar,167,
Mainpuri,Ri9nZlNp7vJ,Sultanganj,166,
Mainpuri,BkcbTCyupP9,Jagir,168,
Mainpuri,HNZwOODMyul,Karhal,165,
Mainpuri,yWnYeaWXCE1,Kishni,169,
Aligarh,fDgjRPtNpqt,Lodha,112,
Mainpuri,PZAj1qhZHhE,Kuraoli,162,
Mathura,j3WnhnsAIht,Baldeo,133,
Mathura,RiVugbfNzS2,Nandgaon,127,
Mathura,sbVBq9HPEgp,Chaumuha,129,
Mathura,BEiGzI07UOM,Chhata,128,
Mathura,txI2jZXppyQ,Farah,136,
Mathura,bztOHPUBTjU,Govardhan,134,
Mathura,EWInJymroFJ,Mat,131,
Mathura,r2eMDAoHzuI,Nohjhil,130,
Aligarh,ARlYpTrc811,Tappal,#N/A,
Mathura,CGmxoB5JV9G,Raya,132,
Aligarh,WFVLpMb2xKo,Akrabad,114,
Aligarh,O5BIieG3GQR,Atrauli,115,
Aligarh,XYBTVZE0LeN,Iglas,119,
Aligarh,Pf9sH55x9lG,Bijauli,116,
Aligarh,oV5iZQFUzGo,Chandaus,110,
Aligarh,S842tHqLUI1,Gangiri,117,
Aligarh,jkV9lhxAuuK,Gonda,118,
Aligarh,DeIlv8osqJa,Dhanipur,113,
Aligarh,nYlhMfttxtb,Jawan Sikanderpur,111,
Aligarh,AN2dWDiHkBb,Khair,109,
Aligarh,Ae6KfBl84FW,Aligarh (Urban),#N/A,
Ambedkar Nagar,HHlxYUknESU,Akbarpur,512,
Etah,uHgTlwfqKI8,Aliganj,808,
Etah,vXfCZfdMkdf,Awagarh,814,
Etah,mK3aOsGURLr,Jaithara,807,
Etah,MGuYssW76Oy,Jalesar,813,
Etah,PS1fneX0UVV,Marehra,809,
Etah,w3fNposwL8t,Nidhauli Kalan,810,
Etah,H5UJopTvZPy,Sakit,812,
Ambedkar Nagar,dgOT0Nq7Zja,Ambedkar Nagar  (Urban),#N/A,
