District,organisationunitid,organisationunitname,id_Shp_file
Banda,QIufPcB6Kr6,DHQ Banda,#N/A
Pratapgarh,iobObmzVNqo,Aaspurdavsra,446
Sitapur,DPIQ2VWtvGl,Aeliya,245
Agra,eV15qufBx79,Agra Achnera,143
Agra,iqYgALY5y5A,Agra Akola,140
Agra,TNFp3ouQZzy,Agra Bah,150
Agra,PskcWzXXxHt,Agra Barauli Ahir,141
Agra,RjTiJ3wL4Ir,Agra Bichpuri,139
Agra,CUTzCqh1nRn,Agra DHQ,#N/A
Agra,xiUPA06ix22,Agra Etmadpur,138
Agra,tZd8rrGLhlU,Agra Fatehpur District Sikhri,142
Agra,vKblzOJTuGM,Agra Fathehabad,148
Agra,JGBdoOZp18V,Agra Jagner,144
Agra,PlRYdgqkTLD,Agra Jaitpur Kala,151
Agra,hO5EeDRnO8S,Agra Kahiragarh,145
Agra,NWLheaE7Ac4,Agra Khaundali,137
Agra,sGuuKBoA9Rh,Agra Pinhat,149
Agra,mqJOhnNW2ce,Agra Sainya,146
Agra,CSr734nIeVU,Agra Shashambad,147
Hardoi,JNhW47eyrRv,Ahirori,272
Ambedkar Nagar,HHlxYUknESU,Akaberpur,512
Sultanpur,bUb6dbgNp7o,Akhandnagar,535
Aligarh,WFVLpMb2xKo,Akrabad,114
Etah,uHgTlwfqKI8,Aliganj,808
Aligarh,qSjbxzH099H,Aligarh,#N/A
Ayodhya,pYWjwOoijbJ,Amaniganj,497
Kasganj,ayWFJQ6ulBH,Amapur,817
Pilibhit,uIkxxtBPd1K,Amaria,203
Budaun,A8jhC64rvlS,Asafpur,173
Sambhal,Xkw9hBGJS6I,Asmoli,46
Aligarh,O5BIieG3GQR,Atrauli,115
Auraiya,iT6mwbFSnli,Auraiya Achhalda,348
Auraiya,JUDfktiXVjn,Auraiya Airwa Katra,346
Auraiya,guhyL5WpMTF,Auraiya Ajitmal,350
Auraiya,baHOn9wfzJ1,Auraiya Auriya,352
Auraiya,UqkEQavyage,Auraiya Bhagyanagar,351
Auraiya,Uqr9pGSBzRf,Auraiya Bidhuna,347
Auraiya,lMDCwvmApOX,Auraiya DHQ,#N/A
Auraiya,ogSTp4HnpXK,Auraiya Sahar,349
Etah,vXfCZfdMkdf,Awagarh,814
Azamgarh,bqyQpybBJt7,Azamgarh Ahiraulla,#N/A
Azamgarh,wCrGRYFB5Qo,Azamgarh Atraullia,679
Azamgarh,QlDZDhfK4iZ,Azamgarh Azmatgarh,685
Azamgarh,YpJFFqOo3Eh,Azamgarh Biliria Ganj,684
Azamgarh,MVd5w4juglR,Azamgarh D H Q,#N/A
Azamgarh,qzyZ63I1bIh,Azamgarh Fhoolpur,694
Azamgarh,sODyhiqy8iZ,Azamgarh Harriya,683
Azamgarh,O2VQy7yy72b,Azamgarh Jahanaganj,689
Azamgarh,S32hqFqb1zY,Azamgarh Koilsa,680
Azamgarh,CqNwKYL7iqH,Azamgarh Lalganj,697
Azamgarh,Wyo5sWkkK3V,Azamgarh Maharajganj,682
Azamgarh,q7hwjHjsWmD,Azamgarh Martinganj,695
Azamgarh,KjTOOkkFXwn,Azamgarh Mehnagar,699
Azamgarh,bYn0jt3AvMQ,Azamgarh Mirzapur,691
Azamgarh,Yj3IUe7pBJn,Azamgarh Momadpur,692
Azamgarh,dIVl43wpljo,Azamgarh Palhani,686
Azamgarh,lcnwkO2gp49,Azamgarh Pawai,693
Azamgarh,DYvPZYv80ET,Azamgarh Rani Ki Sarai,687
Azamgarh,hjSHCmJGFAP,Azamgarh Sathiyaon,688
Azamgarh,cbIIWsiZRDy,Azamgarh Tahebpur,690
Azamgarh,UqPfQ9syNvH,Azamgarh Tarwa,698
Azamgarh,QeJhMnDGzrC,Azamgarh Thekma,696
Pratapgarh,yepP1LEwWeE,Babaganj,438
Banda,QAfsawYvIW0,Baberu,410
Jhansi,jtzi71zh7X8,Babina,389
Jhansi,l7op2G8Asvm,Bada Gaon,388
Siddharth Nagar,fvt1qfVGM3G,Badani,581
Jaunpur,HU9Fxw66kJA,Badlapur,730
Banda,EFUeXhmIy8J,Badoukher Khurd,409
Bagpat,q2bkBgTq2b1,Baghpat,77
Prayagraj,tqyaSDfRN87,Bahadurpur,464
Prayagraj,TcWp3YBgjTX,Baharia,462
Sambhal,uqiwsVkCjJB,Bahjoi,49
Lakhimpur Kheri,dCxTVCyf17s,Bakeganj,229
Jaunpur,UUtQaeoOtV1,Baksha,732
Sultanpur,VPN370bubCz,Baldirai,516
Bahraich,ww1Qb6eAFFD,Balha,539
Ballia,WZYAC5DYYJk,Ballia Bairiya,725
Ballia,og5bU7elwf9,Ballia Ballia Sadar,#N/A
Ballia,G4HRu37srJN,Ballia Bansdih,723
Ballia,s2dEYvDCkAZ,Ballia Bellhri,721
Ballia,MTIyIVsTiFD,Ballia Beruarbari,722
Ballia,lLzGu8T43H8,Ballia Chilkahar,716
Ballia,RHjnoE1DdVp,Ballia DHQ,#N/A
Ballia,bmh3vNuN7xM,Ballia Dubhar,720
Ballia,jh6PK3SOcHL,Ballia Garwar,717
Ballia,cu4HLxXXRm1,Ballia Hanumanganj,719
Ballia,eFwNuT9zZod,Ballia Maniyar,714
Ballia,wn2e7ufbuPd,Ballia Murli Chhapra,726
Ballia,L91X7r5wkfW,Ballia Nagra,711
Ballia,kepTOn7He9W,Ballia Navanagar,712
Ballia,F6ojCWU9pCH,Ballia Pandah,713
Ballia,tws6xITzNhV,Ballia Rasra,715
Ballia,ZEh2syBgHks,Ballia Reoti,724
Ballia,mH7MZIxUv1s,Ballia Siar,710
Ballia,aNOBGjwlNho,Ballia Sohaw,718
Balrampur ,HkZSq61JwqL,Balrampur,557
Gonda,eeLkdiQv8Ex,Bamanjeet,579
Jhansi,yfN8RlEk6Eo,Bamaur,384
Shahjahanpur,tjhsboDAHva,Banda,210
Jhansi,W9mkfkYcPh8,Bangra,386
Barabanki,sCFJS0l4C5z,Banikoder,489
Barabanki,zrtAHVhGVAe,Banki,483
Basti,Ek8aj4Sjo0n,Bankuti,606
Gorakhpur,oqobaBlkco3,Bansgaon,644
