block,block_id,calc_type,date,district,district_id,division,domain,indicator,indicator_id,perc_point,quarter,type,year
Sersoul,o9odKTTIYVk,p,2017-10-01,Kanpur Nagar,QVMRMhzVrrS,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,2.0671834625323,3,ANC,2018
Sersoul,o9odKTTIYVk,p,2018-01-01,Kanpur Nagar,QVMRMhzVrrS,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,1.056338028169014,4,ANC,2018
Sersoul,o9odKTTIYVk,p,2018-04-01,Kanpur Nagar,QVMRMhzVrrS,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,0.09871668311944716,1,ANC,2019
Sersoul,o9odKTTIYVk,p,2018-07-01,Kanpur Nagar,QVMRMhzVrrS,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,0.6122448979591837,2,ANC,2019
Sersoul,o9odKTTIYVk,p,2018-10-01,Kanpur Nagar,QVMRMhzVrrS,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,0.0,3,ANC,2019
Sersoul,o9odKTTIYVk,p,2019-01-01,Kanpur Nagar,QVMRMhzVrrS,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,3.0832476875642345,4,ANC,2019
Sersoul,o9odKTTIYVk,p,2019-04-01,Kanpur Nagar,QVMRMhzVrrS,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,1.4206300185299567,1,ANC,2020
Sersoul,o9odKTTIYVk,p,2019-07-01,Kanpur Nagar,QVMRMhzVrrS,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,1.3752455795677798,2,ANC,2020
Sersoul,o9odKTTIYVk,p,2019-10-01,Kanpur Nagar,QVMRMhzVrrS,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,1.4874141876430207,3,ANC,2020
Ballia Reoti,ZEh2syBgHks,p,2017-10-01,Ballia,oNDvGBE5fLq,Azamgarh Division,ANC,% ANC registered in First trimester,indicator_1,14.211438474870016,3,ANC,2018
Ballia Reoti,ZEh2syBgHks,p,2018-01-01,Ballia,oNDvGBE5fLq,Azamgarh Division,ANC,% ANC registered in First trimester,indicator_1,11.970074812967582,4,ANC,2018
