block,block_id,calc_type,date,district,district_id,division,domain,indicator,indicator_id,perc_point,type,year
Sersoul,o9odKTTIYVk,p,2017-04-01,Kanpur Nagar,QVMRMhzVrrS,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,1.5375153751537516,ANC,2018
Sersoul,o9odKTTIYVk,p,2018-04-01,Kanpur Nagar,QVMRMhzVrrS,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,0.9734280452512496,ANC,2019
Ballia Reoti,ZEh2syBgHks,p,2017-04-01,Ballia,oNDvGBE5fLq,Azamgarh Division,ANC,% ANC registered in First trimester,indicator_1,13.067458633856594,ANC,2018
Ballia Reoti,ZEh2syBgHks,p,2018-04-01,Ballia,oNDvGBE5fLq,Azamgarh Division,ANC,% ANC registered in First trimester,indicator_1,27.119741100323626,ANC,2019
Ujhani,EjPcZNiYzP2,p,2017-04-01,Budaun,eA37kyBRRuZ,Bareilly Division,ANC,% ANC registered in First trimester,indicator_1,52.58152173913043,ANC,2018
Ujhani,EjPcZNiYzP2,p,2018-04-01,Budaun,eA37kyBRRuZ,Bareilly Division,ANC,% ANC registered in First trimester,indicator_1,52.14326812428078,ANC,2019
Amaniganj,pYWjwOoijbJ,p,2017-04-01,Ayodhya,b4XkXzoGqFY,Ayodhya Division,ANC,% ANC registered in First trimester,indicator_1,45.77345731191885,ANC,2018
Amaniganj,pYWjwOoijbJ,p,2018-04-01,Ayodhya,b4XkXzoGqFY,Ayodhya Division,ANC,% ANC registered in First trimester,indicator_1,50.53444180522565,ANC,2019
Jaithra,mK3aOsGURLr,p,2017-04-01,Etah,ZLcx4iOVyN5,Alligarh Division,ANC,% ANC registered in First trimester,indicator_1,46.141975308641975,ANC,2018
Jaithra,mK3aOsGURLr,p,2018-04-01,Etah,ZLcx4iOVyN5,Alligarh Division,ANC,% ANC registered in First trimester,indicator_1,51.06987879694748,ANC,2019
Muzaffarnagar Purkaji,kE3pd8aET6C,p,2017-04-01,Muzaffarnagar,MVQs2RrS1Nw,Saharanpur Division,ANC,% ANC registered in First trimester,indicator_1,28.90451517394523,ANC,2018
Muzaffarnagar Purkaji,kE3pd8aET6C,p,2018-04-01,Muzaffarnagar,MVQs2RrS1Nw,Saharanpur Division,ANC,% ANC registered in First trimester,indicator_1,58.90289366234689,ANC,2019
Bhadaiyan,vXwJYqDZIzf,p,2017-04-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,ANC,% ANC registered in First trimester,indicator_1,44.162129461584996,ANC,2018
Bhadaiyan,vXwJYqDZIzf,p,2018-04-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,ANC,% ANC registered in First trimester,indicator_1,53.673323823109854,ANC,2019
Kanpur Dehat Ghinjhak,HddGvNsPs8y,p,2017-04-01,Kanpur Dehat,k3D0AumUCiC,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,32.341381246490734,ANC,2018
Kanpur Dehat Ghinjhak,HddGvNsPs8y,p,2018-04-01,Kanpur Dehat,k3D0AumUCiC,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,28.7363125184966,ANC,2019
Auraiya Bhagyanagar,UqkEQavyage,p,2017-04-01,Auraiya,Bd6E8zkVvVt,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,54.55268389662028,ANC,2018
Auraiya Bhagyanagar,UqkEQavyage,p,2018-04-01,Auraiya,Bd6E8zkVvVt,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,54.05454545454546,ANC,2019
Ramnagar,svsS1G8o1pm,p,2017-04-01,Bareilly,vVqY3DPcpHf,Bareilly Division,ANC,% ANC registered in First trimester,indicator_1,75.36572622779521,ANC,2018
Ramnagar,svsS1G8o1pm,p,2018-04-01,Bareilly,vVqY3DPcpHf,Bareilly Division,ANC,% ANC registered in First trimester,indicator_1,80.21437578814627,ANC,2019
Rampur DHQ,TfKrN4hWv8C,p,2017-04-01,Rampur,IU006h5U7jj,Moradabad Division,ANC,% ANC registered in First trimester,indicator_1,8.205701509223031,ANC,2018
