calc_type,date,district,district_id,div_map_id,division,domain,indicator,indicator_id,map_id,perc_point,quarter,type,year
p,2017-10-01,Maharajganj,AcnMkNGgc3S,188,Gorakhpur Division,ANC,% ANC registered in First trimester,indicator_1,187,33.14523314523314,3,ANC,2018
p,2017-11-01,Maharajganj,AcnMkNGgc3S,188,Gorakhpur Division,ANC,% ANC registered in First trimester,indicator_1,187,36.92142088266954,3,ANC,2018
p,2017-12-01,Maharajganj,AcnMkNGgc3S,188,Gorakhpur Division,ANC,% ANC registered in First trimester,indicator_1,187,34.12811387900356,3,ANC,2018
p,2018-01-01,Maharajganj,AcnMkNGgc3S,188,Gorakhpur Division,ANC,% ANC registered in First trimester,indicator_1,187,38.39026162790697,4,ANC,2018
p,2018-02-01,Maharajganj,AcnMkNGgc3S,188,Gorakhpur Division,ANC,% ANC registered in First trimester,indicator_1,187,29.059829059829067,4,ANC,2018
p,2018-03-01,Maharajganj,AcnMkNGgc3S,188,Gorakhpur Division,ANC,% ANC registered in First trimester,indicator_1,187,47.65124140342697,4,ANC,2018
p,2018-04-01,Maharajganj,AcnMkNGgc3S,188,Gorakhpur Division,ANC,% ANC registered in First trimester,indicator_1,187,39.53795379537953,1,ANC,2019
p,2018-05-01,Maharajganj,AcnMkNGgc3S,188,Gorakhpur Division,ANC,% ANC registered in First trimester,indicator_1,187,40.348101265822784,1,ANC,2019
p,2018-06-01,Maharajganj,AcnMkNGgc3S,188,Gorakhpur Division,ANC,% ANC registered in First trimester,indicator_1,187,40.4811215548829,1,ANC,2019
p,2018-07-01,Maharajganj,AcnMkNGgc3S,188,Gorakhpur Division,ANC,% ANC registered in First trimester,indicator_1,187,40.81667520929438,2,ANC,2019
p,2018-08-01,Maharajganj,AcnMkNGgc3S,188,Gorakhpur Division,ANC,% ANC registered in First trimester,indicator_1,187,43.360481586402265,2,ANC,2019
p,2018-09-01,Maharajganj,AcnMkNGgc3S,188,Gorakhpur Division,ANC,% ANC registered in First trimester,indicator_1,187,36.61263275572946,2,ANC,2019
p,2018-10-01,Maharajganj,AcnMkNGgc3S,188,Gorakhpur Division,ANC,% ANC registered in First trimester,indicator_1,187,41.285786037167256,3,ANC,2019
