calc_type,date,district,district_id,div_map_id,division,domain,indicator,indicator_id,map_id,perc_point,type,year
p,2017-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,ANC,% ANC registered in First trimester,indicator_1,191,49.22799504113603,ANC,2018
p,2018-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,ANC,% ANC registered in First trimester,indicator_1,191,49.34512200407403,ANC,2019
p,2017-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,ANC,% of severe anaemic PW treated,indicator_4,191,11.689419795221848,ANC,2018
p,2018-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,ANC,% of severe anaemic PW treated,indicator_4,191,13.687279423047409,ANC,2019
p,2017-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,PNC,% of new born breastfed within one hour of birth,indicator_5,191,100.0,PNC,2018
p,2018-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,PNC,% of new born breastfed within one hour of birth,indicator_5,191,100.0,PNC,2019
p,2017-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,delivery_care,% of live babies weighted at birth,indicator_6,191,100.0,delivery_care,2018
p,2018-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,delivery_care,% of live babies weighted at birth,indicator_6,191,100.0,delivery_care,2019
p,2017-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,ANC,% ANC registered in First trimester,indicator_1,180,27.98656068179956,ANC,2018
p,2018-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,ANC,% ANC registered in First trimester,indicator_1,180,48.359071854887716,ANC,2019
p,2017-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,ANC,% of severe anaemic PW treated,indicator_4,180,7.035175879396986,ANC,2018
p,2018-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,ANC,% of severe anaemic PW treated,indicator_4,180,42.903805324187495,ANC,2019
p,2017-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,PNC,% of new born breastfed within one hour of birth,indicator_5,180,78.72083019679536,PNC,2018
p,2018-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,PNC,% of new born breastfed within one hour of birth,indicator_5,180,95.40280786585438,PNC,2019
p,2017-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,delivery_care,% of live babies weighted at birth,indicator_6,180,82.92020647381439,delivery_care,2018
p,2018-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,delivery_care,% of live babies weighted at birth,indicator_6,180,93.90551878493376,delivery_care,2019
p,2017-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,ANC,% ANC registered in First trimester,indicator_1,171,33.696654649115445,ANC,2018
p,2018-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,ANC,% ANC registered in First trimester,indicator_1,171,60.9742037757602,ANC,2019
p,2017-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,ANC,% of severe anaemic PW treated,indicator_4,171,5.399792315680166,ANC,2018
p,2018-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,ANC,% of severe anaemic PW treated,indicator_4,171,41.46341463414634,ANC,2019
