calc_type,composite_index,composite_rank,date,district_name,district_id,div_map_id,division,domain_name,domain_index,domain_rank,indicator_name,indicator_id,indicator_ids,indicator_index,indicator_rank,map_id,perc_point,quarter,type_name,type_index,type_rank,value,year,district_id_num
p,0.603775793574442,14.0,2025-01-01,Agra,N5WWbRtsjWp,146,Agra Division,ante_natal,1.0,1.0,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,1,indicator_1,1.0,1.0,146,100.0,4,coverage,6.189213259325186,3.0,100.0,2025,12
p,0.603775793574442,14.0,2025-01-01,Agra,N5WWbRtsjWp,146,Agra Division,delivery_care,0.7237365724048125,11.0,% of pregnant women delivered in institution against estimated delivery,2,indicator_2,0.7724579930580324,5.0,146,88.03723770975037,4,coverage,6.189213259325186,3.0,88.03723770975037,2025,12
n,0.603775793574442,14.0,2025-01-01,Agra,N5WWbRtsjWp,146,Agra Division,delivery_care,0.7237365724048125,11.0,Still birth ratio,4,indicator_4,0.8259659098242756,34.0,146,3.333477639724664,4,quality,1.381891262639389,32.0,3.333477639724664,2025,12
p,0.603775793574442,14.0,2025-01-01,Agra,N5WWbRtsjWp,146,Agra Division,delivery_care,0.7237365724048125,11.0,% of C-section delivery against reported delivery (70% weightage to CHC),31,indicator_31,0.2863929071660648,33.0,146,1.0707844905320107,4,quality,1.381891262639389,32.0,11.903519969952637,2025,12
p,0.603775793574442,14.0,2025-01-01,Agra,N5WWbRtsjWp,146,Agra Division,delivery_care,0.7237365724048125,11.0,% of C-section delivery against reported delivery (30% to DH),32,indicator_32,0.2863929071660648,33.0,146,37.17990275526743,4,quality,1.381891262639389,32.0,11.903519969952637,2025,12
p,0.603775793574442,14.0,2025-01-01,Agra,N5WWbRtsjWp,146,Agra Division,post_natal_care,1.0,1.0,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),5,indicator_5,1.0,1.0,146,100.0,4,coverage,6.189213259325186,3.0,100.0,2025,12
p,0.603775793574442,14.0,2025-01-01,Agra,N5WWbRtsjWp,146,Agra Division,immunization,0.5271537829740824,59.0,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,indicator_7,0.7847751202991157,26.0,146,93.85566180164386,4,coverage,6.189213259325186,3.0,93.85566180164386,2025,12
p,0.603775793574442,14.0,2025-01-01,Agra,N5WWbRtsjWp,146,Agra Division,immunization,0.5271537829740824,59.0,Ratio of Pentavalent 3 to BCG,6,indicator_6,0.2695324456490491,37.0,146,1.0235920852359208,4,quality,1.381891262639389,32.0,1.0235920852359208,2025,12
p,0.603775793574442,14.0,2025-01-01,Agra,N5WWbRtsjWp,146,Agra Division,communicable_diseases,0.5,1.0,% of PW screened for HIV against estimated pregnancy,11,indicator_11,1.0,1.0,146,100.0,4,coverage,6.189213259325186,3.0,100.0,2025,12
p,0.603775793574442,14.0,2025-01-01,Agra,N5WWbRtsjWp,146,Agra Division,family_planning,0.31599007298401866,17.0,Permanent Method accepted per 1000 EC,8,indicator_8,0.419066536718662,11.0,146,8.407881233863527,4,coverage,6.189213259325186,3.0,8.407881233863527,2025,12
p,0.603775793574442,14.0,2025-01-01,Agra,N5WWbRtsjWp,146,Agra Division,family_planning,0.31599007298401866,17.0,Reversible Method accepted per 1000 EC,9,indicator_9,0.21291360924937536,37.0,146,23.353747470782324,4,coverage,6.189213259325186,3.0,23.353747470782324,2025,12
p,0.603775793574442,14.0,2025-01-01,Agra,N5WWbRtsjWp,146,Agra Division,finance,1.0,1.0,Per ASHA expenditure of ASHA incentive fund,12,indicator_12,1.0,1.0,146,8024.2085661080055,4,coverage,6.189213259325186,3.0,8024.2085661080055,2025,12
p,0.5507175913602529,54.0,2025-01-01,Firozabad,eJTsuE56XDF,146,Agra Division,ante_natal,1.0,1.0,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,1,indicator_1,1.0,1.0,147,100.0,4,coverage,5.904989034201603,7.0,100.0,2025,27
p,0.5507175913602529,54.0,2025-01-01,Firozabad,eJTsuE56XDF,146,Agra Division,delivery_care,0.4508364070154916,60.0,% of pregnant women delivered in institution against estimated delivery,2,indicator_2,0.3104606484514077,48.0,147,63.74825262725018,4,coverage,5.904989034201603,7.0,63.74825262725018,2025,27
n,0.5507175913602529,54.0,2025-01-01,Firozabad,eJTsuE56XDF,146,Agra Division,delivery_care,0.4508364070154916,60.0,Still birth ratio,4,indicator_4,0.9008968991959612,19.0,147,1.9950124688279298,4,quality,1.1654511484864225,51.0,1.9950124688279298,2025,27
p,0.5507175913602529,54.0,2025-01-01,Firozabad,eJTsuE56XDF,146,Agra Division,delivery_care,0.4508364070154916,60.0,% of C-section delivery against reported delivery (70% weightage to CHC),31,indicator_31,0.07057583669955299,67.0,147,1.6898608349900597,4,quality,1.1654511484864225,51.0,4.2193398314566055,2025,27
p,0.5507175913602529,54.0,2025-01-01,Firozabad,eJTsuE56XDF,146,Agra Division,delivery_care,0.4508364070154916,60.0,% of C-section delivery against reported delivery (30% to DH),32,indicator_32,0.07057583669955299,67.0,147,10.121457489878543,4,quality,1.1654511484864225,51.0,4.2193398314566055,2025,27
p,0.5507175913602529,54.0,2025-01-01,Firozabad,eJTsuE56XDF,146,Agra Division,post_natal_care,1.0,1.0,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),5,indicator_5,1.0,1.0,147,100.0,4,coverage,5.904989034201603,7.0,100.0,2025,27
