calc_type,composite_index,composite_rank,date,district_name,district_id,div_map_id,division,domain_name,domain_index,domain_rank,indicator_name,indicator_id,indicator_ids,indicator_index,indicator_rank,map_id,perc_point,type_name,type_index,type_rank,value,year,district_id_num
p,0.5988155580760324,13.0,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,ante_natal,1.0,1.0,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,1,indicator_1,1.0,1.0,196,100.0,coverage,5.360240754737047,18.0,100.0,2025,61
p,0.5988155580760324,13.0,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,delivery_care,0.8252126824539215,5.0,% of pregnant women delivered in institution against estimated delivery,2,indicator_2,0.701298911712061,9.0,196,78.38702183095289,coverage,5.360240754737047,18.0,78.38702183095289,2025,61
n,0.5988155580760324,13.0,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,delivery_care,0.8252126824539215,5.0,Still birth ratio,4,indicator_4,0.6923103150219458,40.0,196,5.541130176406028,quality,1.3867894540773462,39.0,5.541130176406028,2025,61
p,0.5988155580760324,13.0,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,delivery_care,0.8252126824539215,5.0,% of C-section delivery against reported delivery (70% weightage to CHC),31,indicator_31,0.541014410313879,5.0,196,4.62962962962963,quality,1.3867894540773462,39.0,19.62739432268382,2025,61
p,0.5988155580760324,13.0,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,delivery_care,0.8252126824539215,5.0,% of C-section delivery against reported delivery (30% to DH),32,indicator_32,0.541014410313879,5.0,196,54.622178606476936,quality,1.3867894540773462,39.0,19.62739432268382,2025,61
p,0.5988155580760324,13.0,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,post_natal_care,0.946284238949084,6.0,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),5,indicator_5,0.946284238949084,6.0,196,96.72082876033943,coverage,5.360240754737047,18.0,96.72082876033943,2025,61
p,0.5988155580760324,13.0,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,immunization,0.4495788922059797,59.0,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,indicator_7,0.7917339315828468,28.0,196,94.6165104356584,coverage,5.360240754737047,18.0,94.6165104356584,2025,61
p,0.5988155580760324,13.0,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,immunization,0.4495788922059797,59.0,Ratio of Pentavalent 3 to BCG,6,indicator_6,0.10742385282911264,66.0,196,0.8908015663709742,quality,1.3867894540773462,39.0,0.8908015663709742,2025,61
p,0.5988155580760324,13.0,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,communicable_diseases,0.5230204379562045,60.0,% of PW screened for HIV against estimated pregnancy,11,indicator_11,1.0,1.0,196,100.0,coverage,5.360240754737047,18.0,100.0,2025,61
p,0.5988155580760324,13.0,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,communicable_diseases,0.5230204379562045,60.0,Total case notification rate of TB against expected TB cases,10,indicator_10,0.04604087591240882,66.0,196,16.80952380952381,quality,1.3867894540773462,39.0,16.80952380952381,2025,61
p,0.5988155580760324,13.0,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,family_planning,0.270259021779436,16.0,Permanent Method accepted per 1000 EC,8,indicator_8,0.3113162381572322,9.0,196,24.03115091478204,coverage,5.360240754737047,18.0,24.03115091478204,2025,61
p,0.5988155580760324,13.0,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,family_planning,0.270259021779436,16.0,Reversible Method accepted per 1000 EC,9,indicator_9,0.22920180540163984,39.0,196,81.97809266437984,coverage,5.360240754737047,18.0,81.97809266437984,2025,61
p,0.5988155580760324,13.0,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,finance,0.3804056289341828,58.0,Per ASHA expenditure of ASHA incentive fund,12,indicator_12,0.3804056289341828,58.0,196,4802.931003094847,coverage,5.360240754737047,18.0,4802.931003094847,2025,61
p,0.5592677343098368,35.0,2024-04-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,ante_natal,1.0,1.0,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,1,indicator_1,1.0,1.0,195,100.0,coverage,5.114411128913319,26.0,100.0,2025,67
p,0.5592677343098368,35.0,2024-04-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,delivery_care,0.6036535390254371,30.0,% of pregnant women delivered in institution against estimated delivery,2,indicator_2,0.3540278654103151,56.0,195,59.374823056198686,coverage,5.114411128913319,26.0,59.374823056198686,2025,67
n,0.5592677343098368,35.0,2024-04-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,delivery_care,0.6036535390254371,30.0,Still birth ratio,4,indicator_4,0.8498576077215378,17.0,195,2.9411332186291377,quality,1.4381918769225952,33.0,2.9411332186291377,2025,67
p,0.5592677343098368,35.0,2024-04-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,delivery_care,0.6036535390254371,30.0,% of C-section delivery against reported delivery (70% weightage to CHC),31,indicator_31,0.30353757197222897,29.0,195,3.475375480265456,quality,1.4381918769225952,33.0,11.817804387432355,2025,67
p,0.5592677343098368,35.0,2024-04-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,delivery_care,0.6036535390254371,30.0,% of C-section delivery against reported delivery (30% to DH),32,indicator_32,0.30353757197222897,29.0,195,31.28347183748846,quality,1.4381918769225952,33.0,11.817804387432355,2025,67
p,0.5592677343098368,35.0,2024-04-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,post_natal_care,1.0,1.0,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),5,indicator_5,1.0,1.0,195,100.0,coverage,5.114411128913319,26.0,100.0,2025,67
p,0.5592677343098368,35.0,2024-04-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,immunization,0.5539459490513293,36.0,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,indicator_7,0.9325474770202614,3.0,195,98.25641326832658,coverage,5.114411128913319,26.0,98.25641326832658,2025,67
p,0.5592677343098368,35.0,2024-04-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,immunization,0.5539459490513293,36.0,Ratio of Pentavalent 3 to BCG,6,indicator_6,0.1753444210823972,55.0,195,0.9323345771603798,quality,1.4381918769225952,33.0,0.9323345771603798,2025,67
p,0.5592677343098368,35.0,2024-04-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,communicable_diseases,0.5547261380732156,40.0,% of PW screened for HIV against estimated pregnancy,11,indicator_11,1.0,1.0,195,100.0,coverage,5.114411128913319,26.0,100.0,2025,67
p,0.5592677343098368,35.0,2024-04-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,communicable_diseases,0.5547261380732156,40.0,Total case notification rate of TB against expected TB cases,10,indicator_10,0.10945227614643116,43.0,195,18.06615776081425,quality,1.4381918769225952,33.0,18.06615776081425,2025,67
p,0.5592677343098368,35.0,2024-04-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,family_planning,0.17574790606562513,33.0,Permanent Method accepted per 1000 EC,8,indicator_8,0.15716945555366346,20.0,195,13.09243758694734,coverage,5.114411128913319,26.0,13.09243758694734,2025,67
p,0.5592677343098368,35.0,2024-04-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,family_planning,0.17574790606562513,33.0,Reversible Method accepted per 1000 EC,9,indicator_9,0.1943263565775868,49.0,195,75.59152009453936,coverage,5.114411128913319,26.0,75.59152009453936,2025,67
