block_name,block_id,calc_type,date,district,district_id,division,domain_name,indicator_name,indicator_id,perc_point,quarter,type_name,year,block_id_num,district_id_num
Asafpur,A8jhC64rvlS,p,2023-09-01,Budaun,eA37kyBRRuZ,,JSY,% JSY Incentive,36,0.8528138528138528,2.0,JSY,2024,183,58
Rudauli,AAOPzLEjW4T,p,2023-09-01,Ayodhya,b4XkXzoGqFY,,JSY,% JSY Incentive,36,0.3640897755610973,2.0,JSY,2024,444,69
Baskhari,ABuWCL4zW6t,p,2023-09-01,Ambedkar Nagar,jM27ji8tyrM,,JSY,% JSY Incentive,36,0.4778067885117494,2.0,JSY,2024,504,8
Dostpur,AGFzimgfzIo,p,2023-09-01,Sultanpur,o4ZQTVcMI7U,,JSY,% JSY Incentive,36,0.8315217391304348,2.0,JSY,2024,487,40
Khair,AN2dWDiHkBb,p,2023-09-01,Aligarh,frD2HOp3wAs,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,68,44
Ghazipur Manihari,APE5J6eTM3s,p,2023-09-01,Ghazipur,dScWdMRN8PL,,JSY,% JSY Incentive,36,0.9057971014492754,2.0,JSY,2024,238,67
Tappal,ARlYpTrc811,p,2023-09-01,Aligarh,frD2HOp3wAs,,JSY,% JSY Incentive,36,1.1768953068592058,2.0,JSY,2024,579,44
Hathras Sahpau,AcznJJtvLKq,p,2023-09-01,Hathras,m1IAjmqkoFC,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,887,48
Parsupur,Ae5sVkqEY53,p,2023-09-01,Gonda,y8WarEkWCul,,JSY,% JSY Incentive,36,0.6,2.0,JSY,2024,872,2
Aligarh DHQ,Ae6KfBl84FW,p,2023-09-01,Aligarh,frD2HOp3wAs,,JSY,% JSY Incentive,36,0.4350951374207188,2.0,JSY,2024,793,44
Saidnagar,Afucmep9Fdq,p,2023-09-01,Rampur,IU006h5U7jj,,JSY,% JSY Incentive,36,0.02261306532663317,2.0,JSY,2024,742,26
BKTalabe,ApSm0CuGVfL,p,2023-09-01,Lucknow,MfHac5N78aK,,JSY,% JSY Incentive,36,0.8027888446215139,2.0,JSY,2024,501,53
Sahabganj,Aq89pvDpWBA,p,2023-09-01,Chandauli,ClbehnmwSec,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,365,61
Deoria Bhttni,AzV6zQXaRba,p,2023-09-01,Deoria,Tf9b9qcbghH,,JSY,% JSY Incentive,36,0.7682926829268293,2.0,JSY,2024,441,19
Itawa,B0QTEnRTAZg,p,2023-09-01,Siddharth Nagar,cP0p8qfm3il,,JSY,% JSY Incentive,36,0.6704288939051919,2.0,JSY,2024,672,1
Bilhari,B1rNgGH3FaM,p,2023-09-01,Moradabad,YQNQoPjAIpV,,JSY,% JSY Incentive,36,0.7133333333333334,2.0,JSY,2024,620,51
Kushinagar Fajilnagar,B3CnhXWWije,p,2023-09-01,Kushinagar,xUeHwd9FQkg,,JSY,% JSY Incentive,36,0.6272401433691757,2.0,JSY,2024,734,9
Marouri,B6BzDe4ryaa,p,2023-09-01,Pilibhit,c96jwckSd6j,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,92,29
Madhiyahoo,B9itA8m0ytx,p,2023-09-01,Jaunpur,gmw76vAUMqz,,JSY,% JSY Incentive,36,1.0260416666666667,2.0,JSY,2024,524,54
Mathura Chatta,BEiGzI07UOM,p,2023-09-01,Mathura,KP2BUB1npih,,JSY,% JSY Incentive,36,0.6694915254237288,2.0,JSY,2024,408,24
Bulandshahar Pahasu,BFS0IOjIJM6,p,2023-09-01,Bulandshahar,ogBt4gWCiem,,JSY,% JSY Incentive,36,1.4268774703557312,2.0,JSY,2024,700,52
Unnav Bangarmau,BGRBILNZiPW,p,2023-09-01,Unnav,aT03mfdlNiF,,JSY,% JSY Incentive,36,0.8849315068493151,2.0,JSY,2024,679,7
Saharanpur Gangoha,BHNN3R3Nfyk,p,2023-09-01,Saharanpur,FKYZ3JbWq84,,JSY,% JSY Incentive,36,0.6399132321041214,2.0,JSY,2024,743,31
Jaisinghpur,BKeRkKcuOgW,p,2023-09-01,Sultanpur,o4ZQTVcMI7U,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,594,40
Manjhwan,BLgq44ZJkKh,p,2023-09-01,Mirzapur,UAicdMLyuk4,,JSY,% JSY Incentive,36,0.9863636363636364,2.0,JSY,2024,533,20
Islam Nagar,BU3H8j3vtpl,p,2023-09-01,Budaun,eA37kyBRRuZ,,JSY,% JSY Incentive,36,0.9061371841155236,2.0,JSY,2024,157,58
Bulandshahar Arniya,BWEaFP6tBWO,p,2023-09-01,Bulandshahar,ogBt4gWCiem,,JSY,% JSY Incentive,36,0.5231788079470199,2.0,JSY,2024,154,52
Nawabganj,BWxu1bDp2ht,p,2023-09-01,Bareilly,vVqY3DPcpHf,,JSY,% JSY Incentive,36,1.0,2.0,JSY,2024,776,56
Rae Bareli Shivgarh,BYGgaeM7fof,p,2023-09-01,Rae Bareli,lLvTDpBDY8u,,JSY,% JSY Incentive,36,0.8875739644970414,2.0,JSY,2024,296,59
Kushinagar Hata,BYiQDRJhWWk,p,2023-09-01,Kushinagar,xUeHwd9FQkg,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,548,9
Kanpur Dehat Sandalpur,Bc5VrfyFJO4,p,2023-09-01,Kanpur Dehat,k3D0AumUCiC,,JSY,% JSY Incentive,36,0.8283582089552238,2.0,JSY,2024,266,57
Shahbad,Bgu9MPGC8NW,p,2023-09-01,Rampur,IU006h5U7jj,,JSY,% JSY Incentive,36,0.4820512820512821,2.0,JSY,2024,618,26
Kushinagar Motichak,BhMAwU8XZey,p,2023-09-01,Kushinagar,xUeHwd9FQkg,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,658,9
Mainpuri Jagir,BkcbTCyupP9,p,2023-09-01,Mainpuri,XBLhrSWGytu,,JSY,% JSY Incentive,36,1.0,2.0,JSY,2024,642,43
Lalaurikhera,BwBmhT0ClWR,p,2023-09-01,Pilibhit,c96jwckSd6j,,JSY,% JSY Incentive,36,0.1232876712328767,2.0,JSY,2024,549,29
Dubeypur,C2FFe2TBScZ,p,2023-09-01,Sultanpur,o4ZQTVcMI7U,,JSY,% JSY Incentive,36,0.5701754385964912,2.0,JSY,2024,648,40
Firozabad Jasrana,C4DRedrM3Pb,p,2023-09-01,Firozabad,eJTsuE56XDF,,JSY,% JSY Incentive,36,0.9263157894736842,2.0,JSY,2024,857,27
Fakharpur,C9qOAPWGoUS,p,2023-09-01,Bahraich,iE0E3nLioFr,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,283,23
Kushinagar Tamkuhi,CApqqM6FvRV,p,2023-09-01,Kushinagar,xUeHwd9FQkg,,JSY,% JSY Incentive,36,0.18992248062015504,2.0,JSY,2024,269,9
Mathura Raya,CGmxoB5JV9G,p,2023-09-01,Mathura,KP2BUB1npih,,JSY,% JSY Incentive,36,0.10891089108910892,2.0,JSY,2024,597,24
Manda,CGzm91g5LUD,p,2023-09-01,Prayagraj,tXgaew1Pd2Y,,JSY,% JSY Incentive,36,0.6586538461538461,2.0,JSY,2024,828,34
Jalalabad,CJnQGhWTHo0,p,2023-09-01,Shahjahanpur,GaiLSoQq1ue,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,70,28
Chirgaon,CNdl7yi4n8S,p,2023-09-01,Jhansi,Mq751wBMqGF,,JSY,% JSY Incentive,36,0.9647058823529412,2.0,JSY,2024,523,25
Agra Shashambad,CSr734nIeVU,p,2023-09-01,Agra,N5WWbRtsjWp,,JSY,% JSY Incentive,36,0.9737609329446064,2.0,JSY,2024,249,12
Agra DHQ,CUTzCqh1nRn,p,2023-09-01,Agra,N5WWbRtsjWp,,JSY,% JSY Incentive,36,0.13583292221674068,2.0,JSY,2024,555,12
Nawada,CUfl7clOb3K,p,2023-09-01,Kaushambi,PAj0oVY0Dxu,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,825,63
Sohawal,CUsMlPeoyMI,p,2023-09-01,Ayodhya,b4XkXzoGqFY,,JSY,% JSY Incentive,36,0.6675824175824175,2.0,JSY,2024,736,69
Unnav DHQ,CYb7f3DOpb0,p,2023-09-01,Unnav,aT03mfdlNiF,,JSY,% JSY Incentive,36,0.2983316977428852,2.0,JSY,2024,352,7
Ghorahawal,Cea63kQpiOw,p,2023-09-01,Sonbhadra,NNk3JP90QZ5,,JSY,% JSY Incentive,36,0.7592067988668555,2.0,JSY,2024,137,74
Fatehpur Deomai,Cge552Satby,p,2023-09-01,Fatehpur,ibLiLcaKzw2,,JSY,% JSY Incentive,36,1.0480769230769231,2.0,JSY,2024,423,16
Huzoorpur,CjshmDK5t8E,p,2023-09-01,Bahraich,iE0E3nLioFr,,JSY,% JSY Incentive,36,0.3181818181818182,2.0,JSY,2024,412,23
