block_name,block_id,calc_type,date,district,district_id,division,domain_name,indicator_name,indicator_id,perc_point,quarter,type_name,year,block_id_num,district_id_num
Mathura Chatta,BEiGzI07UOM,p,2023-07-01,Mathura,KP2BUB1npih,,JSY,% JSY Incentive,36,0.7810650887573964,2,JSY,2024,408,24
Kalakaker,qmMPEkTsow1,p,2023-07-01,Pratapgarh,fz7bJo3egPX,,JSY,% JSY Incentive,36,0.8416666666666667,2,JSY,2024,840,3
Ghazipur Barachwar,SQuL6ZdC6LY,p,2023-07-01,Ghazipur,dScWdMRN8PL,,JSY,% JSY Incentive,36,0.9201807228915664,2,JSY,2024,882,67
Ballia Siar,mH7MZIxUv1s,p,2023-07-01,Ballia,oNDvGBE5fLq,,JSY,% JSY Incentive,36,0.6407942238267148,2,JSY,2024,205,5
Bahadurpur,tqyaSDfRN87,p,2023-07-01,Prayagraj,tXgaew1Pd2Y,,JSY,% JSY Incentive,36,0.17337602927721865,2,JSY,2024,312,34
Lachmipur,fnVx6XeAGvW,p,2023-07-01,Maharajganj,AcnMkNGgc3S,,JSY,% JSY Incentive,36,0.5605326876513317,2,JSY,2024,529,10
Biswan,gSwqRR5qMEE,p,2023-07-01,Sitapur,XxaOowFtkiJ,,JSY,% JSY Incentive,36,1.1697905181918409,2,JSY,2024,637,60
Pahari,Xj8oMwQWDUl,p,2023-07-01,Chitrakoot,i2fSZZ3QAJJ,,JSY,% JSY Incentive,36,0.9087523277467412,2,JSY,2024,161,38
Kushinagar Motichak,BhMAwU8XZey,p,2023-07-01,Kushinagar,xUeHwd9FQkg,,JSY,% JSY Incentive,36,0.0,2,JSY,2024,658,9
Uruwa,ZYDAjKxE7WN,p,2023-07-01,Prayagraj,tXgaew1Pd2Y,,JSY,% JSY Incentive,36,0.4833512352309345,2,JSY,2024,399,34
Sakaldeeha,J2ufTjaikuE,p,2023-07-01,Chandauli,ClbehnmwSec,,JSY,% JSY Incentive,36,0.9465116279069768,2,JSY,2024,808,61
Soron,lBW2OFwomV0,p,2023-07-01,Kasganj,hITp09XOBLZ,,JSY,% JSY Incentive,36,0.7414880201765448,2,JSY,2024,693,70
Sangipur,EgafD8LSM5T,p,2023-07-01,Pratapgarh,fz7bJo3egPX,,JSY,% JSY Incentive,36,0.26718547341115434,2,JSY,2024,236,3
Dubeypur,C2FFe2TBScZ,p,2023-07-01,Sultanpur,o4ZQTVcMI7U,,JSY,% JSY Incentive,36,0.8949152542372881,2,JSY,2024,648,40
Laharpur,tIk5hphkbm1,p,2023-07-01,Sitapur,XxaOowFtkiJ,,JSY,% JSY Incentive,36,0.7538461538461538,2,JSY,2024,733,60
Nawabganj Bahraich,F2HjseXcv3G,p,2023-07-01,Bahraich,iE0E3nLioFr,,JSY,% JSY Incentive,36,0.0,2,JSY,2024,827,23
Pasgawa,el8CoMxhsji,p,2023-07-01,Lakhimpur Kheri,d9ZuMopgX29,,JSY,% JSY Incentive,36,0.2443609022556391,2,JSY,2024,108,22
Meerut MEERUT,FX5OPO64IaR,p,2023-07-01,Meerut,v8YGmR7nOdj,,JSY,% JSY Incentive,36,0.5896551724137931,2,JSY,2024,367,30
Deoria Larr,NVFxlXHdSmv,p,2023-07-01,Deoria,Tf9b9qcbghH,,JSY,% JSY Incentive,36,0.4970149253731344,2,JSY,2024,52,19
Milkipur,qQSBi5m4QpM,p,2023-07-01,Ayodhya,b4XkXzoGqFY,,JSY,% JSY Incentive,36,0.14571948998178508,2,JSY,2024,781,69
