block_name,block_id,calc_type,date,district,district_id,division,domain_name,indicator_name,indicator_id,perc_point,type_name,year,block_id_num,district_id_num
Mathura Chatta,BEiGzI07UOM,p,2023-04-01,Mathura,KP2BUB1npih,,JSY,% JSY Incentive,36,0.7056737588652482,JSY,2024.0,408,24
Kalakaker,qmMPEkTsow1,p,2023-04-01,Pratapgarh,fz7bJo3egPX,,JSY,% JSY Incentive,36,1.0050251256281406,JSY,2024.0,840,3
Ghazipur Barachwar,SQuL6ZdC6LY,p,2023-04-01,Ghazipur,dScWdMRN8PL,,JSY,% JSY Incentive,36,0.9471057884231536,JSY,2024.0,882,67
Ballia Siar,mH7MZIxUv1s,p,2023-04-01,Ballia,oNDvGBE5fLq,,JSY,% JSY Incentive,36,0.547191011235955,JSY,2024.0,205,5
Bahadurpur,tqyaSDfRN87,p,2023-04-01,Prayagraj,tXgaew1Pd2Y,,JSY,% JSY Incentive,36,0.20055282555282555,JSY,2024.0,312,34
Lachmipur,fnVx6XeAGvW,p,2023-04-01,Maharajganj,AcnMkNGgc3S,,JSY,% JSY Incentive,36,0.5056179775280899,JSY,2024.0,529,10
Biswan,gSwqRR5qMEE,p,2023-04-01,Sitapur,XxaOowFtkiJ,,JSY,% JSY Incentive,36,1.0719972308757355,JSY,2024.0,637,60
Pahari,Xj8oMwQWDUl,p,2023-04-01,Chitrakoot,i2fSZZ3QAJJ,,JSY,% JSY Incentive,36,0.9660163624921334,JSY,2024.0,161,38
Kushinagar Motichak,BhMAwU8XZey,p,2023-04-01,Kushinagar,xUeHwd9FQkg,,JSY,% JSY Incentive,36,0.0,JSY,2024.0,658,9
Uruwa,ZYDAjKxE7WN,p,2023-04-01,Prayagraj,tXgaew1Pd2Y,,JSY,% JSY Incentive,36,0.5292517006802722,JSY,2024.0,399,34
Sakaldeeha,J2ufTjaikuE,p,2023-04-01,Chandauli,ClbehnmwSec,,JSY,% JSY Incentive,36,0.7505634861006761,JSY,2024.0,808,61
Soron,lBW2OFwomV0,p,2023-04-01,Kasganj,hITp09XOBLZ,,JSY,% JSY Incentive,36,0.6802773497688752,JSY,2024.0,693,70
Sangipur,EgafD8LSM5T,p,2023-04-01,Pratapgarh,fz7bJo3egPX,,JSY,% JSY Incentive,36,0.2591414944356121,JSY,2024.0,236,3
Dubeypur,C2FFe2TBScZ,p,2023-04-01,Sultanpur,o4ZQTVcMI7U,,JSY,% JSY Incentive,36,1.1457085828343314,JSY,2024.0,648,40
Laharpur,tIk5hphkbm1,p,2023-04-01,Sitapur,XxaOowFtkiJ,,JSY,% JSY Incentive,36,0.7801875732708089,JSY,2024.0,733,60
Nawabganj Bahraich,F2HjseXcv3G,p,2023-04-01,Bahraich,iE0E3nLioFr,,JSY,% JSY Incentive,36,0.0,JSY,2024.0,827,23
Deoria Larr,NVFxlXHdSmv,p,2023-04-01,Deoria,Tf9b9qcbghH,,JSY,% JSY Incentive,36,0.5251101321585903,JSY,2024.0,52,19
Milkipur,qQSBi5m4QpM,p,2023-04-01,Ayodhya,b4XkXzoGqFY,,JSY,% JSY Incentive,36,0.09400705052878966,JSY,2024.0,781,69
Nidholikala,w3fNposwL8t,p,2023-04-01,Etah,ZLcx4iOVyN5,,JSY,% JSY Incentive,36,0.0,JSY,2024.0,435,21
Pawansa,f6vmbanfxRo,p,2023-04-01,Sambhal,YzHpzrN0eLv,,JSY,% JSY Incentive,36,0.8697829716193656,JSY,2024.0,105,13
Dahagawan,yxi8x9cQDKH,p,2023-04-01,Budaun,eA37kyBRRuZ,,JSY,% JSY Incentive,36,0.5689119170984456,JSY,2024.0,200,58
Dariyabad,Rf7c1xtIt4m,p,2023-04-01,Barabanki,tzH6nJu9SwS,,JSY,% JSY Incentive,36,0.9440928270042194,JSY,2024.0,11,41
Mahsi,EdjW9d0OX1h,p,2023-04-01,Bahraich,iE0E3nLioFr,,JSY,% JSY Incentive,36,0.0,JSY,2024.0,568,23
