calc_type,date,district_name,district_id,div_map_id,division,domain_name,indicator_name,indicator_id,map_id,perc_point,quarter,type_name,year,district_id_num
p,2023-09-01,Maharajganj,AcnMkNGgc3S,188,Gorakhpur Division,JSY,% JSY Incentive,36,187,62.3933542882802,2,JSY,2024,10
p,2023-09-01,Maharajganj,AcnMkNGgc3S,188,Gorakhpur Division,Fund,% of fund utilized against approved budget,35,187,21.6,2,Fund,2024,10
p,2023-09-01,Maharajganj,AcnMkNGgc3S,188,Gorakhpur Division,TB,Treatment Success Rate  as per total cases notified,37,187,92.1,2,TB,2024,10
p,2023-09-01,Shamli,AdiUcz9BXhx,132,Saharanpur Division,JSY,% JSY Incentive,36,203,80.3045685279188,2,JSY,2024,32
p,2023-09-01,Shamli,AdiUcz9BXhx,132,Saharanpur Division,Fund,% of fund utilized against approved budget,35,203,25.2,2,Fund,2024,32
p,2023-09-01,Shamli,AdiUcz9BXhx,132,Saharanpur Division,TB,Treatment Success Rate  as per total cases notified,37,203,85.6,2,TB,2024,32
p,2023-09-01,Auraiya,Bd6E8zkVvVt,161,Kanpur Nagar Division,JSY,% JSY Incentive,36,162,70.12493210211841,2,JSY,2024,37
p,2023-09-01,Auraiya,Bd6E8zkVvVt,161,Kanpur Nagar Division,Fund,% of fund utilized against approved budget,35,162,18.6,2,Fund,2024,37
p,2023-09-01,Auraiya,Bd6E8zkVvVt,161,Kanpur Nagar Division,TB,Treatment Success Rate  as per total cases notified,37,162,87.9,2,TB,2024,37
p,2023-09-01,Maunathbhanjan,CBSB9v92AwT,193,Azamgarh Division,JSY,% JSY Incentive,36,192,25.699168556311413,2,JSY,2024,6
p,2023-09-01,Maunathbhanjan,CBSB9v92AwT,193,Azamgarh Division,Fund,% of fund utilized against approved budget,35,192,23.2,2,Fund,2024,6
p,2023-09-01,Maunathbhanjan,CBSB9v92AwT,193,Azamgarh Division,TB,Treatment Success Rate  as per total cases notified,37,192,87.8,2,TB,2024,6
p,2023-09-01,Hapur,CZ8kLjgqvSH,140,Meerut Division,JSY,% JSY Incentive,36,204,23.778871639530482,2,JSY,2024,46
p,2023-09-01,Hapur,CZ8kLjgqvSH,140,Meerut Division,Fund,% of fund utilized against approved budget,35,204,24.8,2,Fund,2024,46
p,2023-09-01,Hapur,CZ8kLjgqvSH,140,Meerut Division,TB,Treatment Success Rate  as per total cases notified,37,204,91.0,2,TB,2024,46
p,2023-09-01,Chandauli,ClbehnmwSec,195,Varanasi Division,JSY,% JSY Incentive,36,196,61.4484503478811,2,JSY,2024,61
p,2023-09-01,Chandauli,ClbehnmwSec,195,Varanasi Division,Fund,% of fund utilized against approved budget,35,196,24.6,2,Fund,2024,61
p,2023-09-01,Chandauli,ClbehnmwSec,195,Varanasi Division,TB,Treatment Success Rate  as per total cases notified,37,196,92.5,2,TB,2024,61
p,2023-09-01,Banda,DggJGxqbWHn,170,Chitrakoot Division,JSY,% JSY Incentive,36,170,82.04951856946356,2,JSY,2024,47
p,2023-09-01,Banda,DggJGxqbWHn,170,Chitrakoot Division,Fund,% of fund utilized against approved budget,35,170,25.9,2,Fund,2024,47
p,2023-09-01,Banda,DggJGxqbWHn,170,Chitrakoot Division,TB,Treatment Success Rate  as per total cases notified,37,170,88.9,2,TB,2024,47
p,2023-09-01,Saharanpur,FKYZ3JbWq84,132,Saharanpur Division,JSY,% JSY Incentive,36,132,18.270306556276573,2,JSY,2024,31
p,2023-09-01,Saharanpur,FKYZ3JbWq84,132,Saharanpur Division,Fund,% of fund utilized against approved budget,35,132,23.3,2,Fund,2024,31
p,2023-09-01,Saharanpur,FKYZ3JbWq84,132,Saharanpur Division,TB,Treatment Success Rate  as per total cases notified,37,132,89.5,2,TB,2024,31
p,2023-09-01,Shahjahanpur,GaiLSoQq1ue,150,Bareilly Division,JSY,% JSY Incentive,36,152,36.34546181527389,2,JSY,2024,28
p,2023-09-01,Shahjahanpur,GaiLSoQq1ue,150,Bareilly Division,Fund,% of fund utilized against approved budget,35,152,24.4,2,Fund,2024,28
p,2023-09-01,Shahjahanpur,GaiLSoQq1ue,150,Bareilly Division,TB,Treatment Success Rate  as per total cases notified,37,152,91.1,2,TB,2024,28
p,2023-09-01,Bagpat,HJIS3IrQ0Nj,140,Meerut Division,JSY,% JSY Incentive,36,139,29.208155523945,2,JSY,2024,66
p,2023-09-01,Bagpat,HJIS3IrQ0Nj,140,Meerut Division,Fund,% of fund utilized against approved budget,35,139,22.0,2,Fund,2024,66
p,2023-09-01,Bagpat,HJIS3IrQ0Nj,140,Meerut Division,TB,Treatment Success Rate  as per total cases notified,37,139,88.6,2,TB,2024,66
p,2023-09-01,Rampur,IU006h5U7jj,134,Moradabad Division,JSY,% JSY Incentive,36,136,34.07317073170732,2,JSY,2024,26
p,2023-09-01,Rampur,IU006h5U7jj,134,Moradabad Division,Fund,% of fund utilized against approved budget,35,136,24.8,2,Fund,2024,26
p,2023-09-01,Rampur,IU006h5U7jj,134,Moradabad Division,TB,Treatment Success Rate  as per total cases notified,37,136,92.7,2,TB,2024,26
p,2023-09-01,Kannauj,IhQbDYRiF8w,161,Kanpur Nagar Division,JSY,% JSY Incentive,36,160,47.1932299012694,2,JSY,2024,73
p,2023-09-01,Kannauj,IhQbDYRiF8w,161,Kanpur Nagar Division,Fund,% of fund utilized against approved budget,35,160,19.9,2,Fund,2024,73
p,2023-09-01,Kannauj,IhQbDYRiF8w,161,Kanpur Nagar Division,TB,Treatment Success Rate  as per total cases notified,37,160,87.0,2,TB,2024,73
p,2023-09-01,Basti,J1P16zQEOUT,185,Basti Division,JSY,% JSY Incentive,36,185,58.744959677419345,2,JSY,2024,71
p,2023-09-01,Basti,J1P16zQEOUT,185,Basti Division,Fund,% of fund utilized against approved budget,35,185,24.8,2,Fund,2024,71
p,2023-09-01,Basti,J1P16zQEOUT,185,Basti Division,TB,Treatment Success Rate  as per total cases notified,37,185,89.1,2,TB,2024,71
p,2023-09-01,Mathura,KP2BUB1npih,146,Agra Division,JSY,% JSY Incentive,36,145,26.994949494949488,2,JSY,2024,24
p,2023-09-01,Mathura,KP2BUB1npih,146,Agra Division,Fund,% of fund utilized against approved budget,35,145,25.0,2,Fund,2024,24
p,2023-09-01,Mathura,KP2BUB1npih,146,Agra Division,TB,Treatment Success Rate  as per total cases notified,37,145,88.3,2,TB,2024,24
p,2023-09-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,JSY,% JSY Incentive,36,197,18.106908937249106,2,JSY,2024,55
p,2023-09-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,Fund,% of fund utilized against approved budget,35,197,20.5,2,Fund,2024,55
p,2023-09-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,TB,Treatment Success Rate  as per total cases notified,37,197,91.1,2,TB,2024,55
p,2023-09-01,Ghaziabad,M5NHlfAaKYI,140,Meerut Division,JSY,% JSY Incentive,36,140,23.669508967950602,2,JSY,2024,39
p,2023-09-01,Ghaziabad,M5NHlfAaKYI,140,Meerut Division,Fund,% of fund utilized against approved budget,35,140,20.8,2,Fund,2024,39
p,2023-09-01,Ghaziabad,M5NHlfAaKYI,140,Meerut Division,TB,Treatment Success Rate  as per total cases notified,37,140,92.0,2,TB,2024,39
p,2023-09-01,Hardoi,MTIkUw5q5pX,155,Lucknow Division,JSY,% JSY Incentive,36,155,51.258358662613965,2,JSY,2024,64
p,2023-09-01,Hardoi,MTIkUw5q5pX,155,Lucknow Division,Fund,% of fund utilized against approved budget,35,155,29.3,2,Fund,2024,64
p,2023-09-01,Hardoi,MTIkUw5q5pX,155,Lucknow Division,TB,Treatment Success Rate  as per total cases notified,37,155,87.9,2,TB,2024,64
p,2023-09-01,Muzaffarnagar,MVQs2RrS1Nw,132,Saharanpur Division,JSY,% JSY Incentive,36,133,28.432980468167585,2,JSY,2024,17
p,2023-09-01,Muzaffarnagar,MVQs2RrS1Nw,132,Saharanpur Division,Fund,% of fund utilized against approved budget,35,133,31.8,2,Fund,2024,17
p,2023-09-01,Muzaffarnagar,MVQs2RrS1Nw,132,Saharanpur Division,TB,Treatment Success Rate  as per total cases notified,37,133,86.1,2,TB,2024,17
