calc_type,date,district_name,district_id,div_map_id,division,domain_name,indicator_name,indicator_id,map_id,perc_point,quarter,type_name,year,district_id_num
p,2023-07-01,Bijnor,uCYjHW7FuGG,134,Moradabad Division,JSY,% JSY Incentive,36,134,17.194463067397564,2,JSY,2024,15
p,2023-07-01,Bijnor,uCYjHW7FuGG,134,Moradabad Division,Fund,% of fund utilized against approved budget,35,134,70.4,2,Fund,2024,15
p,2023-07-01,Bijnor,uCYjHW7FuGG,134,Moradabad Division,TB,Treatment Success Rate  as per total cases notified,37,134,100.0,2,TB,2024,15
p,2023-07-01,Kasganj,hITp09XOBLZ,201,Alligarh Division,JSY,% JSY Incentive,36,202,49.337397296580974,2,JSY,2024,70
p,2023-07-01,Kasganj,hITp09XOBLZ,201,Alligarh Division,Fund,% of fund utilized against approved budget,35,202,66.7,2,Fund,2024,70
p,2023-07-01,Kasganj,hITp09XOBLZ,201,Alligarh Division,TB,Treatment Success Rate  as per total cases notified,37,202,100.0,2,TB,2024,70
p,2023-07-01,Ayodhya,b4XkXzoGqFY,176,Ayodhya Division,JSY,% JSY Incentive,36,177,54.692731396479104,2,JSY,2024,69
p,2023-07-01,Ayodhya,b4XkXzoGqFY,176,Ayodhya Division,Fund,% of fund utilized against approved budget,35,177,62.5,2,Fund,2024,69
p,2023-07-01,Ayodhya,b4XkXzoGqFY,176,Ayodhya Division,TB,Treatment Success Rate  as per total cases notified,37,177,100.0,2,TB,2024,69
p,2023-07-01,Aligarh,frD2HOp3wAs,201,Alligarh Division,JSY,% JSY Incentive,36,143,100.0,2,JSY,2024,44
p,2023-07-01,Aligarh,frD2HOp3wAs,201,Alligarh Division,Fund,% of fund utilized against approved budget,35,143,55.4,2,Fund,2024,44
p,2023-07-01,Aligarh,frD2HOp3wAs,201,Alligarh Division,TB,Treatment Success Rate  as per total cases notified,37,143,100.0,2,TB,2024,44
p,2023-07-01,Sonbhadra,NNk3JP90QZ5,200,Mirzapur Division,JSY,% JSY Incentive,36,200,41.75835267992329,2,JSY,2024,74
p,2023-07-01,Sonbhadra,NNk3JP90QZ5,200,Mirzapur Division,Fund,% of fund utilized against approved budget,35,200,60.2,2,Fund,2024,74
p,2023-07-01,Sonbhadra,NNk3JP90QZ5,200,Mirzapur Division,TB,Treatment Success Rate  as per total cases notified,37,200,100.0,2,TB,2024,74
p,2023-07-01,Auraiya,Bd6E8zkVvVt,161,Kanpur Nagar Division,JSY,% JSY Incentive,36,162,69.91099071207431,2,JSY,2024,37
p,2023-07-01,Auraiya,Bd6E8zkVvVt,161,Kanpur Nagar Division,Fund,% of fund utilized against approved budget,35,162,52.5,2,Fund,2024,37
p,2023-07-01,Auraiya,Bd6E8zkVvVt,161,Kanpur Nagar Division,TB,Treatment Success Rate  as per total cases notified,37,162,100.0,2,TB,2024,37
p,2023-07-01,Gautam Buddha Nagar,bNmwkrQeP3e,140,Meerut Division,JSY,% JSY Incentive,36,141,16.951050793859938,2,JSY,2024,35
p,2023-07-01,Gautam Buddha Nagar,bNmwkrQeP3e,140,Meerut Division,Fund,% of fund utilized against approved budget,35,141,55.10000000000001,2,Fund,2024,35
p,2023-07-01,Gautam Buddha Nagar,bNmwkrQeP3e,140,Meerut Division,TB,Treatment Success Rate  as per total cases notified,37,141,100.0,2,TB,2024,35
p,2023-07-01,Kanpur Nagar,QVMRMhzVrrS,161,Kanpur Nagar Division,JSY,% JSY Incentive,36,164,35.58598726114649,2,JSY,2024,65
p,2023-07-01,Kanpur Nagar,QVMRMhzVrrS,161,Kanpur Nagar Division,Fund,% of fund utilized against approved budget,35,164,57.2,2,Fund,2024,65
p,2023-07-01,Kanpur Nagar,QVMRMhzVrrS,161,Kanpur Nagar Division,TB,Treatment Success Rate  as per total cases notified,37,164,100.0,2,TB,2024,65
p,2023-07-01,Jhansi,Mq751wBMqGF,165,Jhansi Division,JSY,% JSY Incentive,36,166,57.117052023121396,2,JSY,2024,25
p,2023-07-01,Jhansi,Mq751wBMqGF,165,Jhansi Division,Fund,% of fund utilized against approved budget,35,166,74.2,2,Fund,2024,25
p,2023-07-01,Jhansi,Mq751wBMqGF,165,Jhansi Division,TB,Treatment Success Rate  as per total cases notified,37,166,100.0,2,TB,2024,25
p,2023-07-01,Kushinagar,xUeHwd9FQkg,188,Gorakhpur Division,JSY,% JSY Incentive,36,189,13.577072620092814,2,JSY,2024,9
p,2023-07-01,Kushinagar,xUeHwd9FQkg,188,Gorakhpur Division,Fund,% of fund utilized against approved budget,35,189,66.3,2,Fund,2024,9
p,2023-07-01,Kushinagar,xUeHwd9FQkg,188,Gorakhpur Division,TB,Treatment Success Rate  as per total cases notified,37,189,100.0,2,TB,2024,9
p,2023-07-01,Unnav,aT03mfdlNiF,155,Lucknow Division,JSY,% JSY Incentive,36,156,57.092896174863384,2,JSY,2024,7
p,2023-07-01,Unnav,aT03mfdlNiF,155,Lucknow Division,Fund,% of fund utilized against approved budget,35,156,60.50000000000001,2,Fund,2024,7
p,2023-07-01,Unnav,aT03mfdlNiF,155,Lucknow Division,TB,Treatment Success Rate  as per total cases notified,37,156,100.0,2,TB,2024,7
p,2023-07-01,Gonda,y8WarEkWCul,182,Gonda Division,JSY,% JSY Incentive,36,183,37.4269438484871,2,JSY,2024,2
p,2023-07-01,Gonda,y8WarEkWCul,182,Gonda Division,Fund,% of fund utilized against approved budget,35,183,58.3,2,Fund,2024,2
p,2023-07-01,Gonda,y8WarEkWCul,182,Gonda Division,TB,Treatment Success Rate  as per total cases notified,37,183,100.0,2,TB,2024,2
p,2023-07-01,Fatehpur,ibLiLcaKzw2,172,Prayagraj Division,JSY,% JSY Incentive,36,172,42.34666666666666,2,JSY,2024,16
p,2023-07-01,Fatehpur,ibLiLcaKzw2,172,Prayagraj Division,Fund,% of fund utilized against approved budget,35,172,64.4,2,Fund,2024,16
p,2023-07-01,Fatehpur,ibLiLcaKzw2,172,Prayagraj Division,TB,Treatment Success Rate  as per total cases notified,37,172,100.0,2,TB,2024,16
p,2023-07-01,Bahraich,iE0E3nLioFr,182,Gonda Division,JSY,% JSY Incentive,36,180,24.47265860420266,2,JSY,2024,23
p,2023-07-01,Bahraich,iE0E3nLioFr,182,Gonda Division,Fund,% of fund utilized against approved budget,35,180,79.3,2,Fund,2024,23
p,2023-07-01,Bahraich,iE0E3nLioFr,182,Gonda Division,TB,Treatment Success Rate  as per total cases notified,37,180,100.0,2,TB,2024,23
p,2023-07-01,Bhadohi,PeUY1vj02UQ,200,Mirzapur Division,JSY,% JSY Incentive,36,198,37.24358000303904,2,JSY,2024,50
p,2023-07-01,Bhadohi,PeUY1vj02UQ,200,Mirzapur Division,Fund,% of fund utilized against approved budget,35,198,58.0,2,Fund,2024,50
p,2023-07-01,Bhadohi,PeUY1vj02UQ,200,Mirzapur Division,TB,Treatment Success Rate  as per total cases notified,37,198,100.0,2,TB,2024,50
p,2023-07-01,Amroha,hgquAmZaNBu,134,Moradabad Division,JSY,% JSY Incentive,36,137,27.36973739057941,2,JSY,2024,33
p,2023-07-01,Amroha,hgquAmZaNBu,134,Moradabad Division,Fund,% of fund utilized against approved budget,35,137,72.2,2,Fund,2024,33
p,2023-07-01,Amroha,hgquAmZaNBu,134,Moradabad Division,TB,Treatment Success Rate  as per total cases notified,37,137,100.0,2,TB,2024,33
p,2023-07-01,Agra,N5WWbRtsjWp,146,Agra Division,JSY,% JSY Incentive,36,146,30.552368464186202,2,JSY,2024,12
p,2023-07-01,Agra,N5WWbRtsjWp,146,Agra Division,Fund,% of fund utilized against approved budget,35,146,66.3,2,Fund,2024,12
p,2023-07-01,Agra,N5WWbRtsjWp,146,Agra Division,TB,Treatment Success Rate  as per total cases notified,37,146,100.0,2,TB,2024,12
p,2023-07-01,Moradabad,YQNQoPjAIpV,134,Moradabad Division,JSY,% JSY Incentive,36,135,26.853124242179288,2,JSY,2024,51
p,2023-07-01,Moradabad,YQNQoPjAIpV,134,Moradabad Division,Fund,% of fund utilized against approved budget,35,135,74.5,2,Fund,2024,51
p,2023-07-01,Moradabad,YQNQoPjAIpV,134,Moradabad Division,TB,Treatment Success Rate  as per total cases notified,37,135,100.0,2,TB,2024,51
p,2023-07-01,Ghaziabad,M5NHlfAaKYI,140,Meerut Division,JSY,% JSY Incentive,36,140,21.838907301396,2,JSY,2024,39
p,2023-07-01,Ghaziabad,M5NHlfAaKYI,140,Meerut Division,Fund,% of fund utilized against approved budget,35,140,67.1,2,Fund,2024,39
p,2023-07-01,Ghaziabad,M5NHlfAaKYI,140,Meerut Division,TB,Treatment Success Rate  as per total cases notified,37,140,100.0,2,TB,2024,39
p,2023-07-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,JSY,% JSY Incentive,36,197,15.840853158326498,2,JSY,2024,55
p,2023-07-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,Fund,% of fund utilized against approved budget,35,197,62.7,2,Fund,2024,55
p,2023-07-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,TB,Treatment Success Rate  as per total cases notified,37,197,100.0,2,TB,2024,55
p,2023-07-01,Etah,ZLcx4iOVyN5,201,Alligarh Division,JSY,% JSY Incentive,36,201,41.48101663005962,2,JSY,2024,21
p,2023-07-01,Etah,ZLcx4iOVyN5,201,Alligarh Division,Fund,% of fund utilized against approved budget,35,201,89.9,2,Fund,2024,21
p,2023-07-01,Etah,ZLcx4iOVyN5,201,Alligarh Division,TB,Treatment Success Rate  as per total cases notified,37,201,100.0,2,TB,2024,21
p,2023-07-01,Hathras,m1IAjmqkoFC,201,Alligarh Division,JSY,% JSY Incentive,36,144,50.83316190084345,2,JSY,2024,48
p,2023-07-01,Hathras,m1IAjmqkoFC,201,Alligarh Division,Fund,% of fund utilized against approved budget,35,144,87.60000000000002,2,Fund,2024,48
p,2023-07-01,Hathras,m1IAjmqkoFC,201,Alligarh Division,TB,Treatment Success Rate  as per total cases notified,37,144,100.0,2,TB,2024,48
p,2023-07-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,JSY,% JSY Incentive,36,191,39.06561274982327,2,JSY,2024,14
p,2023-07-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Fund,% of fund utilized against approved budget,35,191,62.1,2,Fund,2024,14
p,2023-07-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,TB,Treatment Success Rate  as per total cases notified,37,191,100.0,2,TB,2024,14
p,2023-07-01,Bareilly,vVqY3DPcpHf,150,Bareilly Division,JSY,% JSY Incentive,36,150,40.10947046843177,2,JSY,2024,56
p,2023-07-01,Bareilly,vVqY3DPcpHf,150,Bareilly Division,Fund,% of fund utilized against approved budget,35,150,80.69999999999997,2,Fund,2024,56
p,2023-07-01,Bareilly,vVqY3DPcpHf,150,Bareilly Division,TB,Treatment Success Rate  as per total cases notified,37,150,100.0,2,TB,2024,56
p,2023-07-01,Hamirpur,VSI7HobT5qL,170,Chitrakoot Division,JSY,% JSY Incentive,36,168,44.43699731903485,2,JSY,2024,36
p,2023-07-01,Hamirpur,VSI7HobT5qL,170,Chitrakoot Division,Fund,% of fund utilized against approved budget,35,168,75.4,2,Fund,2024,36
p,2023-07-01,Hamirpur,VSI7HobT5qL,170,Chitrakoot Division,TB,Treatment Success Rate  as per total cases notified,37,168,100.0,2,TB,2024,36
p,2023-07-01,Ballia,oNDvGBE5fLq,193,Azamgarh Division,JSY,% JSY Incentive,36,193,22.75572575300096,2,JSY,2024,5
p,2023-07-01,Ballia,oNDvGBE5fLq,193,Azamgarh Division,Fund,% of fund utilized against approved budget,35,193,63.5,2,Fund,2024,5
p,2023-07-01,Ballia,oNDvGBE5fLq,193,Azamgarh Division,TB,Treatment Success Rate  as per total cases notified,37,193,100.0,2,TB,2024,5
p,2023-07-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,JSY,% JSY Incentive,36,171,49.70611596505163,2,JSY,2024,38
p,2023-07-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,Fund,% of fund utilized against approved budget,35,171,72.1,2,Fund,2024,38
p,2023-07-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,TB,Treatment Success Rate  as per total cases notified,37,171,100.0,2,TB,2024,38
p,2023-07-01,Shamli,AdiUcz9BXhx,132,Saharanpur Division,JSY,% JSY Incentive,36,203,46.032765820751685,2,JSY,2024,32
p,2023-07-01,Shamli,AdiUcz9BXhx,132,Saharanpur Division,Fund,% of fund utilized against approved budget,35,203,75.3,2,Fund,2024,32
