calc_type,date,district_name,district_id,div_map_id,division,domain_name,indicator_name,indicator_id,map_id,perc_point,quarter,type_name,year,district_id_num
p,2023-01-01,Bijnor,uCYjHW7FuGG,134,Moradabad Division,JSY,% JSY Incentive,36,134,16.829094366531972,4,JSY,2023,15
p,2023-01-01,Bijnor,uCYjHW7FuGG,134,Moradabad Division,Fund,% of fund utilized against approved budget,35,134,35.9,4,Fund,2023,15
p,2023-01-01,Bijnor,uCYjHW7FuGG,134,Moradabad Division,TB,Treatment Success Rate  as per total cases notified,37,134,88.3,4,TB,2023,15
p,2023-01-01,Kasganj,hITp09XOBLZ,201,Alligarh Division,JSY,% JSY Incentive,36,202,63.06306306306306,4,JSY,2023,70
p,2023-01-01,Kasganj,hITp09XOBLZ,201,Alligarh Division,Fund,% of fund utilized against approved budget,35,202,28.9,4,Fund,2023,70
p,2023-01-01,Kasganj,hITp09XOBLZ,201,Alligarh Division,TB,Treatment Success Rate  as per total cases notified,37,202,85.0,4,TB,2023,70
p,2023-01-01,Ayodhya,b4XkXzoGqFY,176,Ayodhya Division,JSY,% JSY Incentive,36,177,37.999339716077905,4,JSY,2023,69
p,2023-01-01,Ayodhya,b4XkXzoGqFY,176,Ayodhya Division,Fund,% of fund utilized against approved budget,35,177,31.8,4,Fund,2023,69
p,2023-01-01,Ayodhya,b4XkXzoGqFY,176,Ayodhya Division,TB,Treatment Success Rate  as per total cases notified,37,177,87.9,4,TB,2023,69
p,2023-01-01,Aligarh,frD2HOp3wAs,201,Alligarh Division,JSY,% JSY Incentive,36,143,56.5365025466893,4,JSY,2023,44
p,2023-01-01,Aligarh,frD2HOp3wAs,201,Alligarh Division,Fund,% of fund utilized against approved budget,35,143,29.3,4,Fund,2023,44
p,2023-01-01,Aligarh,frD2HOp3wAs,201,Alligarh Division,TB,Treatment Success Rate  as per total cases notified,37,143,86.1,4,TB,2023,44
p,2023-01-01,Sonbhadra,NNk3JP90QZ5,200,Mirzapur Division,JSY,% JSY Incentive,36,200,40.87989723827873,4,JSY,2023,74
p,2023-01-01,Sonbhadra,NNk3JP90QZ5,200,Mirzapur Division,Fund,% of fund utilized against approved budget,35,200,32.0,4,Fund,2023,74
p,2023-01-01,Sonbhadra,NNk3JP90QZ5,200,Mirzapur Division,TB,Treatment Success Rate  as per total cases notified,37,200,91.8,4,TB,2023,74
p,2023-01-01,Auraiya,Bd6E8zkVvVt,161,Kanpur Nagar Division,JSY,% JSY Incentive,36,162,68.42105263157895,4,JSY,2023,37
p,2023-01-01,Auraiya,Bd6E8zkVvVt,161,Kanpur Nagar Division,Fund,% of fund utilized against approved budget,35,162,28.3,4,Fund,2023,37
p,2023-01-01,Auraiya,Bd6E8zkVvVt,161,Kanpur Nagar Division,TB,Treatment Success Rate  as per total cases notified,37,162,86.2,4,TB,2023,37
p,2023-01-01,Gautam Buddha Nagar,bNmwkrQeP3e,140,Meerut Division,JSY,% JSY Incentive,36,141,31.28419697457354,4,JSY,2023,35
p,2023-01-01,Gautam Buddha Nagar,bNmwkrQeP3e,140,Meerut Division,Fund,% of fund utilized against approved budget,35,141,29.0,4,Fund,2023,35
p,2023-01-01,Gautam Buddha Nagar,bNmwkrQeP3e,140,Meerut Division,TB,Treatment Success Rate  as per total cases notified,37,141,85.7,4,TB,2023,35
p,2023-01-01,Kanpur Nagar,QVMRMhzVrrS,161,Kanpur Nagar Division,JSY,% JSY Incentive,36,164,24.85023755422433,4,JSY,2023,65
p,2023-01-01,Kanpur Nagar,QVMRMhzVrrS,161,Kanpur Nagar Division,Fund,% of fund utilized against approved budget,35,164,30.6,4,Fund,2023,65
p,2023-01-01,Kanpur Nagar,QVMRMhzVrrS,161,Kanpur Nagar Division,TB,Treatment Success Rate  as per total cases notified,37,164,83.3,4,TB,2023,65
p,2023-01-01,Jhansi,Mq751wBMqGF,165,Jhansi Division,JSY,% JSY Incentive,36,166,60.37549407114624,4,JSY,2023,25
p,2023-01-01,Jhansi,Mq751wBMqGF,165,Jhansi Division,Fund,% of fund utilized against approved budget,35,166,33.3,4,Fund,2023,25
p,2023-01-01,Jhansi,Mq751wBMqGF,165,Jhansi Division,TB,Treatment Success Rate  as per total cases notified,37,166,85.4,4,TB,2023,25
