calc_type,date,district_name,district_id,div_map_id,division,domain_name,indicator_name,indicator_id,map_id,perc_point,type_name,year,district_id_num
p,2023-04-01,Bijnor,uCYjHW7FuGG,134,Moradabad Division,JSY,% JSY Incentive,36,134,14.987327899171175,JSY,2024,15
p,2023-04-01,Bijnor,uCYjHW7FuGG,134,Moradabad Division,Fund,% of fund utilized against approved budget,35,134,86.2,Fund,2024,15
p,2023-04-01,Bijnor,uCYjHW7FuGG,134,Moradabad Division,TB,Treatment Success Rate  as per total cases notified,37,134,100.0,TB,2024,15
p,2023-04-01,Kasganj,hITp09XOBLZ,201,Alligarh Division,JSY,% JSY Incentive,36,202,46.2754856317226,JSY,2024,70
p,2023-04-01,Kasganj,hITp09XOBLZ,201,Alligarh Division,Fund,% of fund utilized against approved budget,35,202,80.1,Fund,2024,70
p,2023-04-01,Kasganj,hITp09XOBLZ,201,Alligarh Division,TB,Treatment Success Rate  as per total cases notified,37,202,100.0,TB,2024,70
p,2023-04-01,Ayodhya,b4XkXzoGqFY,176,Ayodhya Division,JSY,% JSY Incentive,36,177,47.312396694214875,JSY,2024,69
p,2023-04-01,Ayodhya,b4XkXzoGqFY,176,Ayodhya Division,Fund,% of fund utilized against approved budget,35,177,80.5,Fund,2024,69
p,2023-04-01,Ayodhya,b4XkXzoGqFY,176,Ayodhya Division,TB,Treatment Success Rate  as per total cases notified,37,177,100.0,TB,2024,69
p,2023-04-01,Aligarh,frD2HOp3wAs,201,Alligarh Division,JSY,% JSY Incentive,36,143,100.0,JSY,2024,44
p,2023-04-01,Aligarh,frD2HOp3wAs,201,Alligarh Division,Fund,% of fund utilized against approved budget,35,143,67.7,Fund,2024,44
p,2023-04-01,Aligarh,frD2HOp3wAs,201,Alligarh Division,TB,Treatment Success Rate  as per total cases notified,37,143,100.0,TB,2024,44
p,2023-04-01,Sonbhadra,NNk3JP90QZ5,200,Mirzapur Division,JSY,% JSY Incentive,36,200,34.20506434205065,JSY,2024,74
p,2023-04-01,Sonbhadra,NNk3JP90QZ5,200,Mirzapur Division,Fund,% of fund utilized against approved budget,35,200,73.2,Fund,2024,74
p,2023-04-01,Sonbhadra,NNk3JP90QZ5,200,Mirzapur Division,TB,Treatment Success Rate  as per total cases notified,37,200,100.0,TB,2024,74
p,2023-04-01,Auraiya,Bd6E8zkVvVt,161,Kanpur Nagar Division,JSY,% JSY Incentive,36,162,65.63926940639271,JSY,2024,37
p,2023-04-01,Auraiya,Bd6E8zkVvVt,161,Kanpur Nagar Division,Fund,% of fund utilized against approved budget,35,162,67.4,Fund,2024,37
p,2023-04-01,Auraiya,Bd6E8zkVvVt,161,Kanpur Nagar Division,TB,Treatment Success Rate  as per total cases notified,37,162,100.0,TB,2024,37
p,2023-04-01,Gautam Buddha Nagar,bNmwkrQeP3e,140,Meerut Division,JSY,% JSY Incentive,36,141,16.168281333435043,JSY,2024,35
p,2023-04-01,Gautam Buddha Nagar,bNmwkrQeP3e,140,Meerut Division,Fund,% of fund utilized against approved budget,35,141,67.8,Fund,2024,35
p,2023-04-01,Gautam Buddha Nagar,bNmwkrQeP3e,140,Meerut Division,TB,Treatment Success Rate  as per total cases notified,37,141,100.0,TB,2024,35
p,2023-04-01,Kanpur Nagar,QVMRMhzVrrS,161,Kanpur Nagar Division,JSY,% JSY Incentive,36,164,36.49121363019053,JSY,2024,65
p,2023-04-01,Kanpur Nagar,QVMRMhzVrrS,161,Kanpur Nagar Division,Fund,% of fund utilized against approved budget,35,164,70.75,Fund,2024,65
p,2023-04-01,Kanpur Nagar,QVMRMhzVrrS,161,Kanpur Nagar Division,TB,Treatment Success Rate  as per total cases notified,37,164,100.0,TB,2024,65
p,2023-04-01,Jhansi,Mq751wBMqGF,165,Jhansi Division,JSY,% JSY Incentive,36,166,57.02847476740908,JSY,2024,25
p,2023-04-01,Jhansi,Mq751wBMqGF,165,Jhansi Division,Fund,% of fund utilized against approved budget,35,166,91.2,Fund,2024,25
p,2023-04-01,Jhansi,Mq751wBMqGF,165,Jhansi Division,TB,Treatment Success Rate  as per total cases notified,37,166,100.0,TB,2024,25
p,2023-04-01,Kushinagar,xUeHwd9FQkg,188,Gorakhpur Division,JSY,% JSY Incentive,36,189,14.705772881229766,JSY,2024,9
p,2023-04-01,Kushinagar,xUeHwd9FQkg,188,Gorakhpur Division,Fund,% of fund utilized against approved budget,35,189,79.69999999999997,Fund,2024,9
p,2023-04-01,Kushinagar,xUeHwd9FQkg,188,Gorakhpur Division,TB,Treatment Success Rate  as per total cases notified,37,189,100.0,TB,2024,9
p,2023-04-01,Unnav,aT03mfdlNiF,155,Lucknow Division,JSY,% JSY Incentive,36,156,47.111921190817185,JSY,2024,7
p,2023-04-01,Unnav,aT03mfdlNiF,155,Lucknow Division,Fund,% of fund utilized against approved budget,35,156,74.80000000000003,Fund,2024,7
p,2023-04-01,Unnav,aT03mfdlNiF,155,Lucknow Division,TB,Treatment Success Rate  as per total cases notified,37,156,100.0,TB,2024,7
p,2023-04-01,Gonda,y8WarEkWCul,182,Gonda Division,JSY,% JSY Incentive,36,183,27.01776384535005,JSY,2024,2
p,2023-04-01,Gonda,y8WarEkWCul,182,Gonda Division,Fund,% of fund utilized against approved budget,35,183,67.5,Fund,2024,2
p,2023-04-01,Gonda,y8WarEkWCul,182,Gonda Division,TB,Treatment Success Rate  as per total cases notified,37,183,100.0,TB,2024,2
p,2023-04-01,Fatehpur,ibLiLcaKzw2,172,Prayagraj Division,JSY,% JSY Incentive,36,172,31.38912923778809,JSY,2024,16
p,2023-04-01,Fatehpur,ibLiLcaKzw2,172,Prayagraj Division,Fund,% of fund utilized against approved budget,35,172,79.8,Fund,2024,16
p,2023-04-01,Fatehpur,ibLiLcaKzw2,172,Prayagraj Division,TB,Treatment Success Rate  as per total cases notified,37,172,100.0,TB,2024,16
p,2023-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,JSY,% JSY Incentive,36,180,24.018801410105766,JSY,2024,23
p,2023-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,Fund,% of fund utilized against approved budget,35,180,100.0,Fund,2024,23
p,2023-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,TB,Treatment Success Rate  as per total cases notified,37,180,100.0,TB,2024,23
p,2023-04-01,Bhadohi,PeUY1vj02UQ,200,Mirzapur Division,JSY,% JSY Incentive,36,198,30.81853140450467,JSY,2024,50
p,2023-04-01,Bhadohi,PeUY1vj02UQ,200,Mirzapur Division,Fund,% of fund utilized against approved budget,35,198,67.5,Fund,2024,50
p,2023-04-01,Bhadohi,PeUY1vj02UQ,200,Mirzapur Division,TB,Treatment Success Rate  as per total cases notified,37,198,100.0,TB,2024,50
p,2023-04-01,Amroha,hgquAmZaNBu,134,Moradabad Division,JSY,% JSY Incentive,36,137,23.840669061277005,JSY,2024,33
p,2023-04-01,Amroha,hgquAmZaNBu,134,Moradabad Division,Fund,% of fund utilized against approved budget,35,137,88.3,Fund,2024,33
p,2023-04-01,Amroha,hgquAmZaNBu,134,Moradabad Division,TB,Treatment Success Rate  as per total cases notified,37,137,100.0,TB,2024,33
p,2023-04-01,Agra,N5WWbRtsjWp,146,Agra Division,JSY,% JSY Incentive,36,146,25.54100007728573,JSY,2024,12
p,2023-04-01,Agra,N5WWbRtsjWp,146,Agra Division,Fund,% of fund utilized against approved budget,35,146,77.28,Fund,2024,12
p,2023-04-01,Agra,N5WWbRtsjWp,146,Agra Division,TB,Treatment Success Rate  as per total cases notified,37,146,100.0,TB,2024,12
p,2023-04-01,Moradabad,YQNQoPjAIpV,134,Moradabad Division,JSY,% JSY Incentive,36,135,23.14728154513741,JSY,2024,51
p,2023-04-01,Moradabad,YQNQoPjAIpV,134,Moradabad Division,Fund,% of fund utilized against approved budget,35,135,98.9,Fund,2024,51
p,2023-04-01,Moradabad,YQNQoPjAIpV,134,Moradabad Division,TB,Treatment Success Rate  as per total cases notified,37,135,100.0,TB,2024,51
p,2023-04-01,Ghaziabad,M5NHlfAaKYI,140,Meerut Division,JSY,% JSY Incentive,36,140,15.41135573580533,JSY,2024,39
p,2023-04-01,Ghaziabad,M5NHlfAaKYI,140,Meerut Division,Fund,% of fund utilized against approved budget,35,140,79.2,Fund,2024,39
p,2023-04-01,Ghaziabad,M5NHlfAaKYI,140,Meerut Division,TB,Treatment Success Rate  as per total cases notified,37,140,100.0,TB,2024,39
p,2023-04-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,JSY,% JSY Incentive,36,197,16.17444691436435,JSY,2024,55
p,2023-04-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,Fund,% of fund utilized against approved budget,35,197,73.59,Fund,2024,55
p,2023-04-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,TB,Treatment Success Rate  as per total cases notified,37,197,100.0,TB,2024,55
p,2023-04-01,Etah,ZLcx4iOVyN5,201,Alligarh Division,JSY,% JSY Incentive,36,201,37.61102821004761,JSY,2024,21
p,2023-04-01,Etah,ZLcx4iOVyN5,201,Alligarh Division,Fund,% of fund utilized against approved budget,35,201,100.0,Fund,2024,21
p,2023-04-01,Etah,ZLcx4iOVyN5,201,Alligarh Division,TB,Treatment Success Rate  as per total cases notified,37,201,100.0,TB,2024,21
p,2023-04-01,Hathras,m1IAjmqkoFC,201,Alligarh Division,JSY,% JSY Incentive,36,144,48.40799364419728,JSY,2024,48
p,2023-04-01,Hathras,m1IAjmqkoFC,201,Alligarh Division,Fund,% of fund utilized against approved budget,35,144,100.0,Fund,2024,48
p,2023-04-01,Hathras,m1IAjmqkoFC,201,Alligarh Division,TB,Treatment Success Rate  as per total cases notified,37,144,100.0,TB,2024,48
p,2023-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,JSY,% JSY Incentive,36,191,36.40782549311052,JSY,2024,14
p,2023-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Fund,% of fund utilized against approved budget,35,191,74.63000000000002,Fund,2024,14
p,2023-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,TB,Treatment Success Rate  as per total cases notified,37,191,100.0,TB,2024,14
p,2023-04-01,Bareilly,vVqY3DPcpHf,150,Bareilly Division,JSY,% JSY Incentive,36,150,37.25723954928277,JSY,2024,56
p,2023-04-01,Bareilly,vVqY3DPcpHf,150,Bareilly Division,Fund,% of fund utilized against approved budget,35,150,97.02,Fund,2024,56
p,2023-04-01,Bareilly,vVqY3DPcpHf,150,Bareilly Division,TB,Treatment Success Rate  as per total cases notified,37,150,100.0,TB,2024,56
p,2023-04-01,Hamirpur,VSI7HobT5qL,170,Chitrakoot Division,JSY,% JSY Incentive,36,168,48.12394603709949,JSY,2024,36
p,2023-04-01,Hamirpur,VSI7HobT5qL,170,Chitrakoot Division,Fund,% of fund utilized against approved budget,35,168,100.0,Fund,2024,36
p,2023-04-01,Hamirpur,VSI7HobT5qL,170,Chitrakoot Division,TB,Treatment Success Rate  as per total cases notified,37,168,100.0,TB,2024,36
p,2023-04-01,Ballia,oNDvGBE5fLq,193,Azamgarh Division,JSY,% JSY Incentive,36,193,20.705543556515483,JSY,2024,5
p,2023-04-01,Ballia,oNDvGBE5fLq,193,Azamgarh Division,Fund,% of fund utilized against approved budget,35,193,77.1,Fund,2024,5
p,2023-04-01,Ballia,oNDvGBE5fLq,193,Azamgarh Division,TB,Treatment Success Rate  as per total cases notified,37,193,100.0,TB,2024,5
p,2023-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,JSY,% JSY Incentive,36,171,53.94152288459553,JSY,2024,38
p,2023-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,Fund,% of fund utilized against approved budget,35,171,92.8,Fund,2024,38
p,2023-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,TB,Treatment Success Rate  as per total cases notified,37,171,100.0,TB,2024,38
p,2023-04-01,Shamli,AdiUcz9BXhx,132,Saharanpur Division,JSY,% JSY Incentive,36,203,41.12047269942007,JSY,2024,32
p,2023-04-01,Shamli,AdiUcz9BXhx,132,Saharanpur Division,Fund,% of fund utilized against approved budget,35,203,98.6,Fund,2024,32
p,2023-04-01,Shamli,AdiUcz9BXhx,132,Saharanpur Division,TB,Treatment Success Rate  as per total cases notified,37,203,100.0,TB,2024,32
p,2023-04-01,Shrawasti,oyTwneTbWDx,182,Gonda Division,JSY,% JSY Incentive,36,181,26.33852335509794,JSY,2024,18
p,2023-04-01,Shrawasti,oyTwneTbWDx,182,Gonda Division,Fund,% of fund utilized against approved budget,35,181,100.0,Fund,2024,18
p,2023-04-01,Shrawasti,oyTwneTbWDx,182,Gonda Division,TB,Treatment Success Rate  as per total cases notified,37,181,100.0,TB,2024,18
p,2023-04-01,Banda,DggJGxqbWHn,170,Chitrakoot Division,JSY,% JSY Incentive,36,170,88.52305831913372,JSY,2024,47
p,2023-04-01,Banda,DggJGxqbWHn,170,Chitrakoot Division,Fund,% of fund utilized against approved budget,35,170,100.0,Fund,2024,47
p,2023-04-01,Banda,DggJGxqbWHn,170,Chitrakoot Division,TB,Treatment Success Rate  as per total cases notified,37,170,100.0,TB,2024,47
p,2023-04-01,Meerut,v8YGmR7nOdj,140,Meerut Division,JSY,% JSY Incentive,36,138,72.05472054720549,JSY,2024,30
p,2023-04-01,Meerut,v8YGmR7nOdj,140,Meerut Division,Fund,% of fund utilized against approved budget,35,138,100.0,Fund,2024,30
p,2023-04-01,Meerut,v8YGmR7nOdj,140,Meerut Division,TB,Treatment Success Rate  as per total cases notified,37,138,100.0,TB,2024,30
p,2023-04-01,Bagpat,HJIS3IrQ0Nj,140,Meerut Division,JSY,% JSY Incentive,36,139,34.07417994711642,JSY,2024,66
p,2023-04-01,Bagpat,HJIS3IrQ0Nj,140,Meerut Division,Fund,% of fund utilized against approved budget,35,139,82.5,Fund,2024,66
p,2023-04-01,Bagpat,HJIS3IrQ0Nj,140,Meerut Division,TB,Treatment Success Rate  as per total cases notified,37,139,100.0,TB,2024,66
p,2023-04-01,Jalaun,NL5xiiHZQSC,165,Jhansi Division,JSY,% JSY Incentive,36,165,61.30892448512586,JSY,2024,4
p,2023-04-01,Jalaun,NL5xiiHZQSC,165,Jhansi Division,Fund,% of fund utilized against approved budget,35,165,78.9,Fund,2024,4
p,2023-04-01,Jalaun,NL5xiiHZQSC,165,Jhansi Division,TB,Treatment Success Rate  as per total cases notified,37,165,100.0,TB,2024,4
p,2023-04-01,Firozabad,eJTsuE56XDF,146,Agra Division,JSY,% JSY Incentive,36,147,43.61737322179688,JSY,2024,27
p,2023-04-01,Firozabad,eJTsuE56XDF,146,Agra Division,Fund,% of fund utilized against approved budget,35,147,84.1,Fund,2024,27
p,2023-04-01,Firozabad,eJTsuE56XDF,146,Agra Division,TB,Treatment Success Rate  as per total cases notified,37,147,100.0,TB,2024,27
p,2023-04-01,Lucknow,MfHac5N78aK,155,Lucknow Division,JSY,% JSY Incentive,36,157,42.56282257382181,JSY,2024,53
p,2023-04-01,Lucknow,MfHac5N78aK,155,Lucknow Division,Fund,% of fund utilized against approved budget,35,157,69.8,Fund,2024,53
p,2023-04-01,Lucknow,MfHac5N78aK,155,Lucknow Division,TB,Treatment Success Rate  as per total cases notified,37,157,100.0,TB,2024,53
p,2023-04-01,Maharajganj,AcnMkNGgc3S,188,Gorakhpur Division,JSY,% JSY Incentive,36,187,57.57808499743985,JSY,2024,10
p,2023-04-01,Maharajganj,AcnMkNGgc3S,188,Gorakhpur Division,Fund,% of fund utilized against approved budget,35,187,80.0,Fund,2024,10
p,2023-04-01,Maharajganj,AcnMkNGgc3S,188,Gorakhpur Division,TB,Treatment Success Rate  as per total cases notified,37,187,100.0,TB,2024,10
p,2023-04-01,Mathura,KP2BUB1npih,146,Agra Division,JSY,% JSY Incentive,36,145,25.057600449564482,JSY,2024,24
p,2023-04-01,Mathura,KP2BUB1npih,146,Agra Division,Fund,% of fund utilized against approved budget,35,145,94.9,Fund,2024,24
p,2023-04-01,Mathura,KP2BUB1npih,146,Agra Division,TB,Treatment Success Rate  as per total cases notified,37,145,100.0,TB,2024,24
p,2023-04-01,Gorakhpur,vR85cHdsw1w,188,Gorakhpur Division,JSY,% JSY Incentive,36,188,48.795328324077104,JSY,2024,45
p,2023-04-01,Gorakhpur,vR85cHdsw1w,188,Gorakhpur Division,Fund,% of fund utilized against approved budget,35,188,88.19999999999996,Fund,2024,45
p,2023-04-01,Gorakhpur,vR85cHdsw1w,188,Gorakhpur Division,TB,Treatment Success Rate  as per total cases notified,37,188,100.0,TB,2024,45
p,2023-04-01,Siddharth Nagar,cP0p8qfm3il,185,Basti Division,JSY,% JSY Incentive,36,184,24.858036375606947,JSY,2024,1
p,2023-04-01,Siddharth Nagar,cP0p8qfm3il,185,Basti Division,Fund,% of fund utilized against approved budget,35,184,79.0,Fund,2024,1
p,2023-04-01,Siddharth Nagar,cP0p8qfm3il,185,Basti Division,TB,Treatment Success Rate  as per total cases notified,37,184,100.0,TB,2024,1
p,2023-04-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,JSY,% JSY Incentive,36,195,19.367623361351853,JSY,2024,67
p,2023-04-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,Fund,% of fund utilized against approved budget,35,195,100.0,Fund,2024,67
p,2023-04-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,TB,Treatment Success Rate  as per total cases notified,37,195,100.0,TB,2024,67
p,2023-04-01,Kanpur Dehat,k3D0AumUCiC,161,Kanpur Nagar Division,JSY,% JSY Incentive,36,163,59.790805156896134,JSY,2024,57
p,2023-04-01,Kanpur Dehat,k3D0AumUCiC,161,Kanpur Nagar Division,Fund,% of fund utilized against approved budget,35,163,73.18,Fund,2024,57
p,2023-04-01,Kanpur Dehat,k3D0AumUCiC,161,Kanpur Nagar Division,TB,Treatment Success Rate  as per total cases notified,37,163,100.0,TB,2024,57
p,2023-04-01,Rae Bareli,lLvTDpBDY8u,155,Lucknow Division,JSY,% JSY Incentive,36,158,61.16942247783369,JSY,2024,59
p,2023-04-01,Rae Bareli,lLvTDpBDY8u,155,Lucknow Division,Fund,% of fund utilized against approved budget,35,158,82.8,Fund,2024,59
p,2023-04-01,Rae Bareli,lLvTDpBDY8u,155,Lucknow Division,TB,Treatment Success Rate  as per total cases notified,37,158,100.0,TB,2024,59
p,2023-04-01,Sitapur,XxaOowFtkiJ,155,Lucknow Division,JSY,% JSY Incentive,36,154,73.71910170101238,JSY,2024,60
p,2023-04-01,Sitapur,XxaOowFtkiJ,155,Lucknow Division,Fund,% of fund utilized against approved budget,35,154,71.5,Fund,2024,60
p,2023-04-01,Sitapur,XxaOowFtkiJ,155,Lucknow Division,TB,Treatment Success Rate  as per total cases notified,37,154,100.0,TB,2024,60
p,2023-04-01,Kaushambi,PAj0oVY0Dxu,172,Prayagraj Division,JSY,% JSY Incentive,36,174,33.91826368044332,JSY,2024,63
p,2023-04-01,Kaushambi,PAj0oVY0Dxu,172,Prayagraj Division,Fund,% of fund utilized against approved budget,35,174,97.8,Fund,2024,63
p,2023-04-01,Kaushambi,PAj0oVY0Dxu,172,Prayagraj Division,TB,Treatment Success Rate  as per total cases notified,37,174,100.0,TB,2024,63
p,2023-04-01,Etawah,Pm0jLk6EAiE,161,Kanpur Nagar Division,JSY,% JSY Incentive,36,161,45.88506430748643,JSY,2024,62
p,2023-04-01,Etawah,Pm0jLk6EAiE,161,Kanpur Nagar Division,Fund,% of fund utilized against approved budget,35,161,88.7,Fund,2024,62
p,2023-04-01,Etawah,Pm0jLk6EAiE,161,Kanpur Nagar Division,TB,Treatment Success Rate  as per total cases notified,37,161,100.0,TB,2024,62
p,2023-04-01,Deoria,Tf9b9qcbghH,188,Gorakhpur Division,JSY,% JSY Incentive,36,190,33.84835194045721,JSY,2024,19
p,2023-04-01,Deoria,Tf9b9qcbghH,188,Gorakhpur Division,Fund,% of fund utilized against approved budget,35,190,78.6,Fund,2024,19
p,2023-04-01,Deoria,Tf9b9qcbghH,188,Gorakhpur Division,TB,Treatment Success Rate  as per total cases notified,37,190,100.0,TB,2024,19
p,2023-04-01,Mainpuri,XBLhrSWGytu,146,Agra Division,JSY,% JSY Incentive,36,148,70.24070021881839,JSY,2024,43
p,2023-04-01,Mainpuri,XBLhrSWGytu,146,Agra Division,Fund,% of fund utilized against approved budget,35,148,84.72,Fund,2024,43
p,2023-04-01,Mainpuri,XBLhrSWGytu,146,Agra Division,TB,Treatment Success Rate  as per total cases notified,37,148,100.0,TB,2024,43
p,2023-04-01,Saharanpur,FKYZ3JbWq84,132,Saharanpur Division,JSY,% JSY Incentive,36,132,16.609898658592993,JSY,2024,31
p,2023-04-01,Saharanpur,FKYZ3JbWq84,132,Saharanpur Division,Fund,% of fund utilized against approved budget,35,132,91.4,Fund,2024,31
p,2023-04-01,Saharanpur,FKYZ3JbWq84,132,Saharanpur Division,TB,Treatment Success Rate  as per total cases notified,37,132,100.0,TB,2024,31
p,2023-04-01,Shahjahanpur,GaiLSoQq1ue,150,Bareilly Division,JSY,% JSY Incentive,36,152,39.29051506507983,JSY,2024,28
p,2023-04-01,Shahjahanpur,GaiLSoQq1ue,150,Bareilly Division,Fund,% of fund utilized against approved budget,35,152,93.64,Fund,2024,28
p,2023-04-01,Shahjahanpur,GaiLSoQq1ue,150,Bareilly Division,TB,Treatment Success Rate  as per total cases notified,37,152,100.0,TB,2024,28
p,2023-04-01,Balrampur,uS0pNSxN3sS,182,Gonda Division,JSY,% JSY Incentive,36,182,22.267957132791924,JSY,2024,72
p,2023-04-01,Balrampur,uS0pNSxN3sS,182,Gonda Division,Fund,% of fund utilized against approved budget,35,182,84.80000000000003,Fund,2024,72
p,2023-04-01,Balrampur,uS0pNSxN3sS,182,Gonda Division,TB,Treatment Success Rate  as per total cases notified,37,182,100.0,TB,2024,72
p,2023-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,JSY,% JSY Incentive,36,196,54.95767328807308,JSY,2024,61
p,2023-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,Fund,% of fund utilized against approved budget,35,196,93.76,Fund,2024,61
p,2023-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,TB,Treatment Success Rate  as per total cases notified,37,196,100.0,TB,2024,61
p,2023-04-01,Lakhimpur Kheri,d9ZuMopgX29,155,Lucknow Division,JSY,% JSY Incentive,36,153,41.89343163538874,JSY,2024,22
p,2023-04-01,Lakhimpur Kheri,d9ZuMopgX29,155,Lucknow Division,Fund,% of fund utilized against approved budget,35,153,88.61999999999998,Fund,2024,22
