block_name,block_id,calc_type,date,district,district_id,division,domain_name,indicator_name,indicator_id,perc_point,quarter,type_name,year,block_id_num,district_id_num
Asafpur,A8jhC64rvlS,p,2025-03-01,Budaun,eA37kyBRRuZ,,ANC,% ANC registered in First trimester,1,99.11894273127754,4,ANC,2025,183,58
Rudauli,AAOPzLEjW4T,p,2025-03-01,Ayodhya,b4XkXzoGqFY,,ANC,% ANC registered in First trimester,1,67.29797979797979,4,ANC,2025,444,69
Baskhari,ABuWCL4zW6t,p,2025-03-01,Ambedkar Nagar,jM27ji8tyrM,,ANC,% ANC registered in First trimester,1,95.57823129251699,4,ANC,2025,504,8
Dostpur,AGFzimgfzIo,p,2025-03-01,Sultanpur,o4ZQTVcMI7U,,ANC,% ANC registered in First trimester,1,99.18918918918921,4,ANC,2025,487,40
Khair,AN2dWDiHkBb,p,2025-03-01,Aligarh,frD2HOp3wAs,,ANC,% ANC registered in First trimester,1,74.71383975026015,4,ANC,2025,68,44
Manihari,APE5J6eTM3s,p,2025-03-01,Ghazipur,dScWdMRN8PL,,ANC,% ANC registered in First trimester,1,88.27586206896551,4,ANC,2025,238,67
Tappal,ARlYpTrc811,p,2025-03-01,Aligarh,frD2HOp3wAs,,ANC,% ANC registered in First trimester,1,100.0,4,ANC,2025,579,44
Sahpau,AcznJJtvLKq,p,2025-03-01,Hathras,m1IAjmqkoFC,,ANC,% ANC registered in First trimester,1,94.83471074380164,4,ANC,2025,887,48
Paraspur,Ae5sVkqEY53,p,2025-03-01,Gonda,y8WarEkWCul,,ANC,% ANC registered in First trimester,1,88.35978835978834,4,ANC,2025,872,2
Aligarh (Urban),Ae6KfBl84FW,p,2025-03-01,Aligarh,frD2HOp3wAs,,ANC,% ANC registered in First trimester,1,69.41789748045178,4,ANC,2025,793,44
Saidnagar,Afucmep9Fdq,p,2025-03-01,Rampur,IU006h5U7jj,,ANC,% ANC registered in First trimester,1,100.0,4,ANC,2025,742,26
Bakshi-Ka-Talab,ApSm0CuGVfL,p,2025-03-01,Lucknow,MfHac5N78aK,,ANC,% ANC registered in First trimester,1,58.9464123524069,4,ANC,2025,501,53
Shahabganj,Aq89pvDpWBA,p,2025-03-01,Chandauli,ClbehnmwSec,,ANC,% ANC registered in First trimester,1,99.53810623556582,4,ANC,2025,365,61
Bhatni,AzV6zQXaRba,p,2025-03-01,Deoria,Tf9b9qcbghH,,ANC,% ANC registered in First trimester,1,89.78328173374615,4,ANC,2025,441,19
Itwa,B0QTEnRTAZg,p,2025-03-01,Siddharth Nagar,cP0p8qfm3il,,ANC,% ANC registered in First trimester,1,97.89343246592315,4,ANC,2025,672,1
Bilari,B1rNgGH3FaM,p,2025-03-01,Moradabad,YQNQoPjAIpV,,ANC,% ANC registered in First trimester,1,86.46986469864699,4,ANC,2025,620,51
Fazilnagar,B3CnhXWWije,p,2025-03-01,Kushinagar,xUeHwd9FQkg,,ANC,% ANC registered in First trimester,1,98.73772791023842,4,ANC,2025,734,9
Marori,B6BzDe4ryaa,p,2025-03-01,Pilibhit,c96jwckSd6j,,ANC,% ANC registered in First trimester,1,100.0,4,ANC,2025,92,29
Mariahu,B9itA8m0ytx,p,2025-03-01,Jaunpur,gmw76vAUMqz,,ANC,% ANC registered in First trimester,1,78.43373493975903,4,ANC,2025,524,54
Chhata,BEiGzI07UOM,p,2025-03-01,Mathura,KP2BUB1npih,,ANC,% ANC registered in First trimester,1,79.33884297520662,4,ANC,2025,408,24
Pahasu,BFS0IOjIJM6,p,2025-03-01,Bulandshahar,ogBt4gWCiem,,ANC,% ANC registered in First trimester,1,92.98245614035088,4,ANC,2025,700,52
Bangarmau,BGRBILNZiPW,p,2025-03-01,Unnav,aT03mfdlNiF,,ANC,% ANC registered in First trimester,1,89.84238178633976,4,ANC,2025,679,7
Gangoh,BHNN3R3Nfyk,p,2025-03-01,Saharanpur,FKYZ3JbWq84,,ANC,% ANC registered in First trimester,1,79.48497854077253,4,ANC,2025,743,31
Jai Singh Pur,BKeRkKcuOgW,p,2025-03-01,Sultanpur,o4ZQTVcMI7U,,ANC,% ANC registered in First trimester,1,94.06307977736549,4,ANC,2025,594,40
Majhawa,BLgq44ZJkKh,p,2025-03-01,Mirzapur,UAicdMLyuk4,,ANC,% ANC registered in First trimester,1,93.88379204892965,4,ANC,2025,533,20
Islamnagar,BU3H8j3vtpl,p,2025-03-01,Budaun,eA37kyBRRuZ,,ANC,% ANC registered in First trimester,1,100.0,4,ANC,2025,157,58
Araniya,BWEaFP6tBWO,p,2025-03-01,Bulandshahar,ogBt4gWCiem,,ANC,% ANC registered in First trimester,1,60.450819672131146,4,ANC,2025,154,52
Nawabganj,BWxu1bDp2ht,p,2025-03-01,Bareilly,vVqY3DPcpHf,,ANC,% ANC registered in First trimester,1,95.4041204437401,4,ANC,2025,776,56
Shivgarh,BYGgaeM7fof,p,2025-03-01,Rae Bareli,lLvTDpBDY8u,,ANC,% ANC registered in First trimester,1,100.0,4,ANC,2025,296,59
Hata,BYiQDRJhWWk,p,2025-03-01,Kushinagar,xUeHwd9FQkg,,ANC,% ANC registered in First trimester,1,77.71084337349397,4,ANC,2025,548,9
Sandalpur,Bc5VrfyFJO4,p,2025-03-01,Kanpur Dehat,k3D0AumUCiC,,ANC,% ANC registered in First trimester,1,96.23655913978494,4,ANC,2025,266,57
Shahabad,Bgu9MPGC8NW,p,2025-03-01,Rampur,IU006h5U7jj,,ANC,% ANC registered in First trimester,1,91.2,4,ANC,2025,618,26
