block_name,block_id,calc_type,date,district,district_id,division,domain_name,indicator_name,indicator_id,perc_point,quarter,type_name,year,block_id_num,district_id_num
Akola,iqYgALY5y5A,p,2025-01-01,Agra,N5WWbRtsjWp,,ANC,% ANC registered in First trimester,1,74.41509433962264,4,ANC,2025,47,12
Khandauli,NWLheaE7Ac4,p,2025-01-01,Agra,N5WWbRtsjWp,,ANC,% ANC registered in First trimester,1,54.36962750716332,4,ANC,2025,601,12
Bah,TNFp3ouQZzy,p,2025-01-01,Agra,N5WWbRtsjWp,,ANC,% ANC registered in First trimester,1,98.78695981804395,4,ANC,2025,499,12
Barauli Ahir,PskcWzXXxHt,p,2025-01-01,Agra,N5WWbRtsjWp,,ANC,% ANC registered in First trimester,1,52.6671974522293,4,ANC,2025,644,12
Bichpuri,RjTiJ3wL4Ir,p,2025-01-01,Agra,N5WWbRtsjWp,,ANC,% ANC registered in First trimester,1,78.46961740435108,4,ANC,2025,836,12
Achhnera,eV15qufBx79,p,2025-01-01,Agra,N5WWbRtsjWp,,ANC,% ANC registered in First trimester,1,87.46355685131195,4,ANC,2025,755,12
Etmadpur,xiUPA06ix22,p,2025-01-01,Agra,N5WWbRtsjWp,,ANC,% ANC registered in First trimester,1,81.34945894334818,4,ANC,2025,663,12
Fatehabad,vKblzOJTuGM,p,2025-01-01,Agra,N5WWbRtsjWp,,ANC,% ANC registered in First trimester,1,45.44025157232704,4,ANC,2025,895,12
Fatehpur Sikri,tZd8rrGLhlU,p,2025-01-01,Agra,N5WWbRtsjWp,,ANC,% ANC registered in First trimester,1,94.19795221843005,4,ANC,2025,751,12
Jagner,JGBdoOZp18V,p,2025-01-01,Agra,N5WWbRtsjWp,,ANC,% ANC registered in First trimester,1,68.23289070480081,4,ANC,2025,344,12
Jaitpur Kalan,PlRYdgqkTLD,p,2025-01-01,Agra,N5WWbRtsjWp,,ANC,% ANC registered in First trimester,1,84.50433108758422,4,ANC,2025,191,12
Kheragarh,hO5EeDRnO8S,p,2025-01-01,Agra,N5WWbRtsjWp,,ANC,% ANC registered in First trimester,1,75.32374100719423,4,ANC,2025,231,12
Pinahat,sGuuKBoA9Rh,p,2025-01-01,Agra,N5WWbRtsjWp,,ANC,% ANC registered in First trimester,1,98.8177339901478,4,ANC,2025,854,12
Saiyan,mqJOhnNW2ce,p,2025-01-01,Agra,N5WWbRtsjWp,,ANC,% ANC registered in First trimester,1,62.84518828451883,4,ANC,2025,394,12
Shamsabad,CSr734nIeVU,p,2025-01-01,Agra,N5WWbRtsjWp,,ANC,% ANC registered in First trimester,1,88.3400344629523,4,ANC,2025,249,12
Agra (Urban),CUTzCqh1nRn,p,2025-01-01,Agra,N5WWbRtsjWp,,ANC,% ANC registered in First trimester,1,37.08507024857187,4,ANC,2025,555,12
Araon,njhb7CY73zh,p,2025-01-01,Firozabad,eJTsuE56XDF,,ANC,% ANC registered in First trimester,1,87.76200135226506,4,ANC,2025,788,27
Shikohabad,rgR8kKaylIH,p,2025-01-01,Firozabad,eJTsuE56XDF,,ANC,% ANC registered in First trimester,1,68.49979781641731,4,ANC,2025,784,27
Firozabad,R0tPbvDqGLH,p,2025-01-01,Firozabad,eJTsuE56XDF,,ANC,% ANC registered in First trimester,1,99.80934223069588,4,ANC,2025,427,27
Eka,v4LM2W1q50L,p,2025-01-01,Firozabad,eJTsuE56XDF,,ANC,% ANC registered in First trimester,1,78.36801752464403,4,ANC,2025,811,27
Jasrana,C4DRedrM3Pb,p,2025-01-01,Firozabad,eJTsuE56XDF,,ANC,% ANC registered in First trimester,1,81.8468823993686,4,ANC,2025,857,27
Kotla (Narkhi),GcLGdTGiU8M,p,2025-01-01,Firozabad,eJTsuE56XDF,,ANC,% ANC registered in First trimester,1,80.69196428571429,4,ANC,2025,794,27
Kheragarh (Hathwant),ipancoUtUKq,p,2025-01-01,Firozabad,eJTsuE56XDF,,ANC,% ANC registered in First trimester,1,50.376254180602004,4,ANC,2025,419,27
Madanpur,TEd7x916bEz,p,2025-01-01,Firozabad,eJTsuE56XDF,,ANC,% ANC registered in First trimester,1,62.9325259515571,4,ANC,2025,388,27
Tundla,TJrLeyFzLWY,p,2025-01-01,Firozabad,eJTsuE56XDF,,ANC,% ANC registered in First trimester,1,83.16965797494073,4,ANC,2025,277,27
Firozabad (Urban),fAXjUK5F5Xr,p,2025-01-01,Firozabad,eJTsuE56XDF,,ANC,% ANC registered in First trimester,1,52.583144979011934,4,ANC,2025,873,27
Ghiror,GdimZzDSdCV,p,2025-01-01,Mainpuri,XBLhrSWGytu,,ANC,% ANC registered in First trimester,1,88.65199449793673,4,ANC,2025,29,43
Barnahal,EeFlmvJs36p,p,2025-01-01,Mainpuri,XBLhrSWGytu,,ANC,% ANC registered in First trimester,1,80.33106134371955,4,ANC,2025,306,43
Bewar,Dn4n2S6qEWw,p,2025-01-01,Mainpuri,XBLhrSWGytu,,ANC,% ANC registered in First trimester,1,80.35164835164834,4,ANC,2025,271,43
Sultanganj,Ri9nZlNp7vJ,p,2025-01-01,Mainpuri,XBLhrSWGytu,,ANC,% ANC registered in First trimester,1,66.13545816733067,4,ANC,2025,28,43
Jagir,BkcbTCyupP9,p,2025-01-01,Mainpuri,XBLhrSWGytu,,ANC,% ANC registered in First trimester,1,99.36170212765957,4,ANC,2025,642,43
Karhal,HNZwOODMyul,p,2025-01-01,Mainpuri,XBLhrSWGytu,,ANC,% ANC registered in First trimester,1,62.233651726671575,4,ANC,2025,598,43
Kishni,yWnYeaWXCE1,p,2025-01-01,Mainpuri,XBLhrSWGytu,,ANC,% ANC registered in First trimester,1,92.19219219219221,4,ANC,2025,246,43
Mainpuri,covI1BtEX12,p,2025-01-01,Mainpuri,XBLhrSWGytu,,ANC,% ANC registered in First trimester,1,67.34166307626022,4,ANC,2025,96,43
