block_name,block_id,calc_type,date,district,district_id,division,domain_name,indicator_name,indicator_id,perc_point,type_name,year,block_id_num,district_id_num
Budhana,gh2z6ozRHvl,p,2024-04-01,Muzaffarnagar,MVQs2RrS1Nw,,ANC,% ANC registered in First trimester,1,89.82978267851408,ANC,2025,263,17
Niyamatabad,FyHWyWYiq51,p,2024-04-01,Chandauli,ClbehnmwSec,,ANC,% ANC registered in First trimester,1,86.49612264907745,ANC,2025,552,61
Chandauli,QglkJx8TDdn,p,2024-04-01,Chandauli,ClbehnmwSec,,ANC,% ANC registered in First trimester,1,93.08220383735258,ANC,2025,211,61
Dhanapur,F1Ddi7jawvX,p,2024-04-01,Chandauli,ClbehnmwSec,,ANC,% ANC registered in First trimester,1,99.20303109485235,ANC,2025,203,61
Naugarh,UuA1Z7kFP5w,p,2024-04-01,Chandauli,ClbehnmwSec,,ANC,% ANC registered in First trimester,1,98.058950395399,ANC,2025,690,61
Sakaldiha,J2ufTjaikuE,p,2024-04-01,Chandauli,ClbehnmwSec,,ANC,% ANC registered in First trimester,1,99.95607774239595,ANC,2025,808,61
Chandauli (Urban),kqqVceYxMn2,p,2024-04-01,Chandauli,ClbehnmwSec,,ANC,% ANC registered in First trimester,1,75.40951253207025,ANC,2025,792,61
Barhani,kneJKc3fNtp,p,2024-04-01,Chandauli,ClbehnmwSec,,ANC,% ANC registered in First trimester,1,98.07429871114479,ANC,2025,837,61
Chahniya,P0KHYXl7qFF,p,2024-04-01,Chandauli,ClbehnmwSec,,ANC,% ANC registered in First trimester,1,97.19504240052186,ANC,2025,224,61
Chakia,VpPC8KPVwrC,p,2024-04-01,Chandauli,ClbehnmwSec,,ANC,% ANC registered in First trimester,1,93.04711759146751,ANC,2025,713,61
Shahabganj,Aq89pvDpWBA,p,2024-04-01,Chandauli,ClbehnmwSec,,ANC,% ANC registered in First trimester,1,99.06299840510368,ANC,2025,365,61
Varachakwar,SQuL6ZdC6LY,p,2024-04-01,Ghazipur,dScWdMRN8PL,,ANC,% ANC registered in First trimester,1,99.26879669368941,ANC,2025,882,67
Bhadaura,KkUxdrYeeXC,p,2024-04-01,Ghazipur,dScWdMRN8PL,,ANC,% ANC registered in First trimester,1,96.09889427258044,ANC,2025,712,67
Virno,zv6Gc6aGnXd,p,2024-04-01,Ghazipur,dScWdMRN8PL,,ANC,% ANC registered in First trimester,1,99.72592727937145,ANC,2025,710,67
Bhanwarkol,mhI69xut9he,p,2024-04-01,Ghazipur,dScWdMRN8PL,,ANC,% ANC registered in First trimester,1,96.58463083877449,ANC,2025,804,67
Zamania,hepZfdzFqgL,p,2024-04-01,Ghazipur,dScWdMRN8PL,,ANC,% ANC registered in First trimester,1,94.36195394878416,ANC,2025,783,67
Saidpur,OFvD8TPE8bU,p,2024-04-01,Ghazipur,dScWdMRN8PL,,ANC,% ANC registered in First trimester,1,87.14393748424503,ANC,2025,893,67
Deokali,kcQKXLIXWNj,p,2024-04-01,Ghazipur,dScWdMRN8PL,,ANC,% ANC registered in First trimester,1,99.66717514907779,ANC,2025,400,67
Jakhania,NbXqavwiDug,p,2024-04-01,Ghazipur,dScWdMRN8PL,,ANC,% ANC registered in First trimester,1,95.70026268491637,ANC,2025,610,67
Karanda,J01CgvckM2C,p,2024-04-01,Ghazipur,dScWdMRN8PL,,ANC,% ANC registered in First trimester,1,94.78201942624806,ANC,2025,692,67
