calc_type,date,district_name,district_id,div_map_id,division,domain_name,indicator_name,indicator_id,map_id,perc_point,quarter,type_name,year,district_id_num
p,2025-03-01,Maharajganj,AcnMkNGgc3S,188,Gorakhpur Division,ANC,% ANC registered in First trimester,1,187,92.88120368291041,4,ANC,2025,10
p,2025-03-01,Maharajganj,AcnMkNGgc3S,188,Gorakhpur Division,communicable_diseases,Success rate of positive tuberculosis cases,2,187,95.8,4,communicable_diseases,2025,10
p,2025-03-01,Maharajganj,AcnMkNGgc3S,188,Gorakhpur Division,ANC,% of severe anaemic PW treated,4,187,84.81012658227847,4,ANC,2025,10
p,2025-03-01,Maharajganj,AcnMkNGgc3S,188,Gorakhpur Division,PNC,% of new born breastfed within one hour of birth,5,187,95.8514870240576,4,PNC,2025,10
p,2025-03-01,Maharajganj,AcnMkNGgc3S,188,Gorakhpur Division,delivery_care,% of live babies weighted at birth,6,187,97.89732903959083,4,delivery_care,2025,10
p,2025-03-01,Shamli,AdiUcz9BXhx,132,Saharanpur Division,ANC,% ANC registered in First trimester,1,203,84.70909472799832,4,ANC,2025,32
p,2025-03-01,Shamli,AdiUcz9BXhx,132,Saharanpur Division,communicable_diseases,Success rate of positive tuberculosis cases,2,203,92.4,4,communicable_diseases,2025,32
p,2025-03-01,Shamli,AdiUcz9BXhx,132,Saharanpur Division,ANC,% of severe anaemic PW treated,4,203,99.43820224719101,4,ANC,2025,32
p,2025-03-01,Shamli,AdiUcz9BXhx,132,Saharanpur Division,PNC,% of new born breastfed within one hour of birth,5,203,99.87354577642893,4,PNC,2025,32
p,2025-03-01,Shamli,AdiUcz9BXhx,132,Saharanpur Division,delivery_care,% of live babies weighted at birth,6,203,99.87354577642893,4,delivery_care,2025,32
p,2025-03-01,Auraiya,Bd6E8zkVvVt,161,Kanpur Nagar Division,ANC,% ANC registered in First trimester,1,162,90.53648068669528,4,ANC,2025,37
p,2025-03-01,Auraiya,Bd6E8zkVvVt,161,Kanpur Nagar Division,communicable_diseases,Success rate of positive tuberculosis cases,2,162,93.2,4,communicable_diseases,2025,37
p,2025-03-01,Auraiya,Bd6E8zkVvVt,161,Kanpur Nagar Division,ANC,% of severe anaemic PW treated,4,162,48.03921568627451,4,ANC,2025,37
p,2025-03-01,Auraiya,Bd6E8zkVvVt,161,Kanpur Nagar Division,PNC,% of new born breastfed within one hour of birth,5,162,95.47888161808449,4,PNC,2025,37
p,2025-03-01,Auraiya,Bd6E8zkVvVt,161,Kanpur Nagar Division,delivery_care,% of live babies weighted at birth,6,162,96.07376561570494,4,delivery_care,2025,37
p,2025-03-01,Maunathbhanjan,CBSB9v92AwT,193,Azamgarh Division,ANC,% ANC registered in First trimester,1,192,90.48450458315145,4,ANC,2025,6
p,2025-03-01,Maunathbhanjan,CBSB9v92AwT,193,Azamgarh Division,communicable_diseases,Success rate of positive tuberculosis cases,2,192,91.4,4,communicable_diseases,2025,6
p,2025-03-01,Maunathbhanjan,CBSB9v92AwT,193,Azamgarh Division,ANC,% of severe anaemic PW treated,4,192,71.96261682242991,4,ANC,2025,6
p,2025-03-01,Maunathbhanjan,CBSB9v92AwT,193,Azamgarh Division,PNC,% of new born breastfed within one hour of birth,5,192,100.0,4,PNC,2025,6
p,2025-03-01,Maunathbhanjan,CBSB9v92AwT,193,Azamgarh Division,delivery_care,% of live babies weighted at birth,6,192,98.75710227272728,4,delivery_care,2025,6
p,2025-03-01,Hapur,CZ8kLjgqvSH,140,Meerut Division,ANC,% ANC registered in First trimester,1,204,88.15633636004738,4,ANC,2025,46
p,2025-03-01,Hapur,CZ8kLjgqvSH,140,Meerut Division,communicable_diseases,Success rate of positive tuberculosis cases,2,204,89.0,4,communicable_diseases,2025,46
p,2025-03-01,Hapur,CZ8kLjgqvSH,140,Meerut Division,ANC,% of severe anaemic PW treated,4,204,47.66081871345029,4,ANC,2025,46
p,2025-03-01,Hapur,CZ8kLjgqvSH,140,Meerut Division,PNC,% of new born breastfed within one hour of birth,5,204,90.9551656920078,4,PNC,2025,46
p,2025-03-01,Hapur,CZ8kLjgqvSH,140,Meerut Division,delivery_care,% of live babies weighted at birth,6,204,94.8927875243665,4,delivery_care,2025,46
p,2025-03-01,Chandauli,ClbehnmwSec,195,Varanasi Division,ANC,% ANC registered in First trimester,1,196,91.54929577464789,4,ANC,2025,61
p,2025-03-01,Chandauli,ClbehnmwSec,195,Varanasi Division,communicable_diseases,Success rate of positive tuberculosis cases,2,196,96.9,4,communicable_diseases,2025,61
p,2025-03-01,Chandauli,ClbehnmwSec,195,Varanasi Division,ANC,% of severe anaemic PW treated,4,196,69.92481203007519,4,ANC,2025,61
p,2025-03-01,Chandauli,ClbehnmwSec,195,Varanasi Division,PNC,% of new born breastfed within one hour of birth,5,196,99.20716994139951,4,PNC,2025,61
p,2025-03-01,Chandauli,ClbehnmwSec,195,Varanasi Division,delivery_care,% of live babies weighted at birth,6,196,99.55187866253016,4,delivery_care,2025,61
p,2025-03-01,Banda,DggJGxqbWHn,170,Chitrakoot Division,ANC,% ANC registered in First trimester,1,170,93.90201528839472,4,ANC,2025,47
p,2025-03-01,Banda,DggJGxqbWHn,170,Chitrakoot Division,communicable_diseases,Success rate of positive tuberculosis cases,2,170,90.3,4,communicable_diseases,2025,47
p,2025-03-01,Banda,DggJGxqbWHn,170,Chitrakoot Division,ANC,% of severe anaemic PW treated,4,170,100.0,4,ANC,2025,47
p,2025-03-01,Banda,DggJGxqbWHn,170,Chitrakoot Division,PNC,% of new born breastfed within one hour of birth,5,170,99.17974322396576,4,PNC,2025,47
p,2025-03-01,Banda,DggJGxqbWHn,170,Chitrakoot Division,delivery_care,% of live babies weighted at birth,6,170,99.75035663338087,4,delivery_care,2025,47
p,2025-03-01,Saharanpur,FKYZ3JbWq84,132,Saharanpur Division,ANC,% ANC registered in First trimester,1,132,74.52377381130944,4,ANC,2025,31
p,2025-03-01,Saharanpur,FKYZ3JbWq84,132,Saharanpur Division,communicable_diseases,Success rate of positive tuberculosis cases,2,132,88.8,4,communicable_diseases,2025,31
p,2025-03-01,Saharanpur,FKYZ3JbWq84,132,Saharanpur Division,ANC,% of severe anaemic PW treated,4,132,59.82905982905983,4,ANC,2025,31
p,2025-03-01,Saharanpur,FKYZ3JbWq84,132,Saharanpur Division,PNC,% of new born breastfed within one hour of birth,5,132,93.49509063444108,4,PNC,2025,31
p,2025-03-01,Saharanpur,FKYZ3JbWq84,132,Saharanpur Division,delivery_care,% of live babies weighted at birth,6,132,99.78285498489427,4,delivery_care,2025,31
p,2025-03-01,Shahjahanpur,GaiLSoQq1ue,150,Bareilly Division,ANC,% ANC registered in First trimester,1,152,88.32578478838045,4,ANC,2025,28
p,2025-03-01,Shahjahanpur,GaiLSoQq1ue,150,Bareilly Division,communicable_diseases,Success rate of positive tuberculosis cases,2,152,81.8,4,communicable_diseases,2025,28
p,2025-03-01,Shahjahanpur,GaiLSoQq1ue,150,Bareilly Division,ANC,% of severe anaemic PW treated,4,152,44.62474645030426,4,ANC,2025,28
p,2025-03-01,Shahjahanpur,GaiLSoQq1ue,150,Bareilly Division,PNC,% of new born breastfed within one hour of birth,5,152,84.61187214611871,4,PNC,2025,28
p,2025-03-01,Shahjahanpur,GaiLSoQq1ue,150,Bareilly Division,delivery_care,% of live babies weighted at birth,6,152,92.8538812785388,4,delivery_care,2025,28
p,2025-03-01,Bagpat,HJIS3IrQ0Nj,140,Meerut Division,ANC,% ANC registered in First trimester,1,139,93.33169894582005,4,ANC,2025,66
p,2025-03-01,Bagpat,HJIS3IrQ0Nj,140,Meerut Division,communicable_diseases,Success rate of positive tuberculosis cases,2,139,89.2,4,communicable_diseases,2025,66
p,2025-03-01,Bagpat,HJIS3IrQ0Nj,140,Meerut Division,ANC,% of severe anaemic PW treated,4,139,61.05263157894736,4,ANC,2025,66
p,2025-03-01,Bagpat,HJIS3IrQ0Nj,140,Meerut Division,PNC,% of new born breastfed within one hour of birth,5,139,93.70885149963422,4,PNC,2025,66
p,2025-03-01,Bagpat,HJIS3IrQ0Nj,140,Meerut Division,delivery_care,% of live babies weighted at birth,6,139,96.4155084125823,4,delivery_care,2025,66
