calc_type,date,district_name,district_id,div_map_id,division,domain_name,indicator_name,indicator_id,map_id,perc_point,type_name,year,district_id_num
p,2024-04-01,Muzaffarnagar,MVQs2RrS1Nw,132,Saharanpur Division,ANC,% ANC registered in First trimester,1,133,77.44965881898074,ANC,2025,17
p,2024-04-01,Muzaffarnagar,MVQs2RrS1Nw,132,Saharanpur Division,communicable_diseases,Success rate of positive tuberculosis cases,2,133,100.0,communicable_diseases,2025,17
p,2024-04-01,Muzaffarnagar,MVQs2RrS1Nw,132,Saharanpur Division,ANC,% of severe anaemic PW treated,4,133,100.0,ANC,2025,17
p,2024-04-01,Muzaffarnagar,MVQs2RrS1Nw,132,Saharanpur Division,PNC,% of new born breastfed within one hour of birth,5,133,97.88901687784843,PNC,2025,17
p,2024-04-01,Muzaffarnagar,MVQs2RrS1Nw,132,Saharanpur Division,delivery_care,% of live babies weighted at birth,6,133,99.14108278659788,delivery_care,2025,17
p,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,ANC,% ANC registered in First trimester,1,196,93.87473787632162,ANC,2025,61
p,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,communicable_diseases,Success rate of positive tuberculosis cases,2,196,100.0,communicable_diseases,2025,61
p,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,ANC,% of severe anaemic PW treated,4,196,73.5386221294363,ANC,2025,61
p,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,PNC,% of new born breastfed within one hour of birth,5,196,98.90248146264422,PNC,2025,61
p,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,delivery_care,% of live babies weighted at birth,6,196,99.68948256016277,delivery_care,2025,61
p,2024-04-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,ANC,% ANC registered in First trimester,1,195,91.9635218976587,ANC,2025,67
p,2024-04-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,communicable_diseases,Success rate of positive tuberculosis cases,2,195,100.0,communicable_diseases,2025,67
p,2024-04-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,ANC,% of severe anaemic PW treated,4,195,59.11509381125735,ANC,2025,67
p,2024-04-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,PNC,% of new born breastfed within one hour of birth,5,195,96.9544565521095,PNC,2025,67
p,2024-04-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,delivery_care,% of live babies weighted at birth,6,195,98.16326230496612,delivery_care,2025,67
p,2024-04-01,Jaunpur,gmw76vAUMqz,195,Varanasi Division,ANC,% ANC registered in First trimester,1,194,88.21398905958857,ANC,2025,54
p,2024-04-01,Jaunpur,gmw76vAUMqz,195,Varanasi Division,communicable_diseases,Success rate of positive tuberculosis cases,2,194,100.0,communicable_diseases,2025,54
p,2024-04-01,Jaunpur,gmw76vAUMqz,195,Varanasi Division,ANC,% of severe anaemic PW treated,4,194,75.56833744179677,ANC,2025,54
p,2024-04-01,Jaunpur,gmw76vAUMqz,195,Varanasi Division,PNC,% of new born breastfed within one hour of birth,5,194,97.29549411745562,PNC,2025,54
p,2024-04-01,Jaunpur,gmw76vAUMqz,195,Varanasi Division,delivery_care,% of live babies weighted at birth,6,194,99.12127967715165,delivery_care,2025,54
p,2024-04-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,ANC,% ANC registered in First trimester,1,197,82.99707664279964,ANC,2025,55
p,2024-04-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,communicable_diseases,Success rate of positive tuberculosis cases,2,197,100.0,communicable_diseases,2025,55
p,2024-04-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,ANC,% of severe anaemic PW treated,4,197,62.96296296296296,ANC,2025,55
p,2024-04-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,PNC,% of new born breastfed within one hour of birth,5,197,96.07530034057312,PNC,2025,55
p,2024-04-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,delivery_care,% of live babies weighted at birth,6,197,97.1968213176312,delivery_care,2025,55
p,2024-04-01,Amroha,hgquAmZaNBu,134,Moradabad Division,ANC,% ANC registered in First trimester,1,137,88.76268728854521,ANC,2025,33
p,2024-04-01,Amroha,hgquAmZaNBu,134,Moradabad Division,communicable_diseases,Success rate of positive tuberculosis cases,2,137,100.0,communicable_diseases,2025,33
p,2024-04-01,Amroha,hgquAmZaNBu,134,Moradabad Division,ANC,% of severe anaemic PW treated,4,137,92.08456243854474,ANC,2025,33
p,2024-04-01,Amroha,hgquAmZaNBu,134,Moradabad Division,PNC,% of new born breastfed within one hour of birth,5,137,98.8689330767586,PNC,2025,33
p,2024-04-01,Amroha,hgquAmZaNBu,134,Moradabad Division,delivery_care,% of live babies weighted at birth,6,137,99.13833654051744,delivery_care,2025,33
p,2024-04-01,Bijnor,uCYjHW7FuGG,134,Moradabad Division,ANC,% ANC registered in First trimester,1,134,92.78197371166284,ANC,2025,15
p,2024-04-01,Bijnor,uCYjHW7FuGG,134,Moradabad Division,communicable_diseases,Success rate of positive tuberculosis cases,2,134,100.0,communicable_diseases,2025,15
p,2024-04-01,Bijnor,uCYjHW7FuGG,134,Moradabad Division,ANC,% of severe anaemic PW treated,4,134,92.04957678355505,ANC,2025,15
p,2024-04-01,Bijnor,uCYjHW7FuGG,134,Moradabad Division,PNC,% of new born breastfed within one hour of birth,5,134,97.9997775058405,PNC,2025,15
p,2024-04-01,Bijnor,uCYjHW7FuGG,134,Moradabad Division,delivery_care,% of live babies weighted at birth,6,134,98.61719879853152,delivery_care,2025,15
p,2024-04-01,Moradabad,YQNQoPjAIpV,134,Moradabad Division,ANC,% ANC registered in First trimester,1,135,84.78588164025265,ANC,2025,51
p,2024-04-01,Moradabad,YQNQoPjAIpV,134,Moradabad Division,communicable_diseases,Success rate of positive tuberculosis cases,2,135,100.0,communicable_diseases,2025,51
p,2024-04-01,Moradabad,YQNQoPjAIpV,134,Moradabad Division,ANC,% of severe anaemic PW treated,4,135,72.21990837151186,ANC,2025,51
p,2024-04-01,Moradabad,YQNQoPjAIpV,134,Moradabad Division,PNC,% of new born breastfed within one hour of birth,5,135,93.31427663966969,PNC,2025,51
p,2024-04-01,Moradabad,YQNQoPjAIpV,134,Moradabad Division,delivery_care,% of live babies weighted at birth,6,135,95.05717008099094,delivery_care,2025,51
p,2024-04-01,Saharanpur,FKYZ3JbWq84,132,Saharanpur Division,ANC,% ANC registered in First trimester,1,132,76.17806836874334,ANC,2025,31
