,country,country_uphmis_id,uid_country,state,state_uphmis_id,uid_state,division,division_uphmis_id,uid_division,district,district_hmis_code,district_uphmis_id,uid_district,block,block_hmis_code,block_uphmis_id,uid_block,facility,facility_hmis_code,facility_uphmis_id,uid_facility,nin,block_id_num,district_id_num,division_id_num
0,India,60,SpddBmmfvPr,Uttar Pradesh,61,v8EzhiynNtf,Agra Division,14595,XJMggNJYBFG,Agra,146,177194,N5WWbRtsjWp,Agra Achnera,1517,177796,eV15qufBx79,BPHC Achnera,378631,178491.0,K5x3H8gPzwC,6337815481.0,219,69,10
1,India,60,SpddBmmfvPr,Uttar Pradesh,61,v8EzhiynNtf,Agra Division,14595,XJMggNJYBFG,Agra,146,177194,N5WWbRtsjWp,Agra Achnera,1517,177796,eV15qufBx79,CHC Kirowali,378899,178270.0,FpvxIVPhZmo,8163288361.0,219,69,10
2,India,60,SpddBmmfvPr,Uttar Pradesh,61,v8EzhiynNtf,Agra Division,14595,XJMggNJYBFG,Agra,146,177194,N5WWbRtsjWp,Agra Achnera,1517,177796,eV15qufBx79,PHC Hasela,378637,178492.0,GZ3fJmexHk6,5453483280.0,219,69,10
3,India,60,SpddBmmfvPr,Uttar Pradesh,61,v8EzhiynNtf,Agra Division,14595,XJMggNJYBFG,Agra,146,177194,N5WWbRtsjWp,Agra Achnera,1517,177796,eV15qufBx79,PHC Runkta,378633,178493.0,t4Nog6pnlbR,8886217358.0,219,69,10
4,India,60,SpddBmmfvPr,Uttar Pradesh,61,v8EzhiynNtf,Agra Division,14595,XJMggNJYBFG,Agra,146,177194,N5WWbRtsjWp,Agra Achnera,1517,177796,eV15qufBx79,PHC Sadhan,378635,178494.0,FXKBqzSkRn3,,219,69,10
5,India,60,SpddBmmfvPr,Uttar Pradesh,61,v8EzhiynNtf,Agra Division,14595,XJMggNJYBFG,Agra,146,177194,N5WWbRtsjWp,Agra Achnera,1517,177796,eV15qufBx79,SC Abhedoppura,378539,178566.0,yCQTUkaE6rG,6456737730.0,219,69,10
6,India,60,SpddBmmfvPr,Uttar Pradesh,61,v8EzhiynNtf,Agra Division,14595,XJMggNJYBFG,Agra,146,177194,N5WWbRtsjWp,Agra Achnera,1517,177796,eV15qufBx79,SC Achnera,378572,178567.0,yJi03bMbvHS,5444278146.0,219,69,10
7,India,60,SpddBmmfvPr,Uttar Pradesh,61,v8EzhiynNtf,Agra Division,14595,XJMggNJYBFG,Agra,146,177194,N5WWbRtsjWp,Agra Achnera,1517,177796,eV15qufBx79,SC Akbara,378551,178568.0,MjmPKefxGEA,6465348248.0,219,69,10
8,India,60,SpddBmmfvPr,Uttar Pradesh,61,v8EzhiynNtf,Agra Division,14595,XJMggNJYBFG,Agra,146,177194,N5WWbRtsjWp,Agra Achnera,1517,177796,eV15qufBx79,SC Ardaya,378526,178569.0,KrfkBZEnUPp,7648157340.0,219,69,10
9,India,60,SpddBmmfvPr,Uttar Pradesh,61,v8EzhiynNtf,Agra Division,14595,XJMggNJYBFG,Agra,146,177194,N5WWbRtsjWp,Agra Achnera,1517,177796,eV15qufBx79,SC Aresna,378552,178570.0,wu6QC4QQ1BS,2166125639.0,219,69,10
10,India,60,SpddBmmfvPr,Uttar Pradesh,61,v8EzhiynNtf,Agra Division,14595,XJMggNJYBFG,Agra,146,177194,N5WWbRtsjWp,Agra Achnera,1517,177796,eV15qufBx79,SC Arua Khas,378565,178571.0,cXvAXMBj615,3812511719.0,219,69,10
11,India,60,SpddBmmfvPr,Uttar Pradesh,61,v8EzhiynNtf,Agra Division,14595,XJMggNJYBFG,Agra,146,177194,N5WWbRtsjWp,Agra Achnera,1517,177796,eV15qufBx79,SC Atus,378554,178572.0,fRgC1X0aQzc,3566153122.0,219,69,10
12,India,60,SpddBmmfvPr,Uttar Pradesh,61,v8EzhiynNtf,Agra Division,14595,XJMggNJYBFG,Agra,146,177194,N5WWbRtsjWp,Agra Achnera,1517,177796,eV15qufBx79,SC Babroud,378569,178573.0,LmUcGdZTTBY,7758681360.0,219,69,10
13,India,60,SpddBmmfvPr,Uttar Pradesh,61,v8EzhiynNtf,Agra Division,14595,XJMggNJYBFG,Agra,146,177194,N5WWbRtsjWp,Agra Achnera,1517,177796,eV15qufBx79,SC Byara,378528,178574.0,JDOhS50PJ7k,3345387363.0,219,69,10
14,India,60,SpddBmmfvPr,Uttar Pradesh,61,v8EzhiynNtf,Agra Division,14595,XJMggNJYBFG,Agra,146,177194,N5WWbRtsjWp,Agra Achnera,1517,177796,eV15qufBx79,SC Chhe Pokhar,378567,178575.0,BguotRpwDvK,6538885267.0,219,69,10
15,India,60,SpddBmmfvPr,Uttar Pradesh,61,v8EzhiynNtf,Agra Division,14595,XJMggNJYBFG,Agra,146,177194,N5WWbRtsjWp,Agra Achnera,1517,177796,eV15qufBx79,SC Gobra,378570,178576.0,Sqto9lLYiGk,5237466486.0,219,69,10
16,India,60,SpddBmmfvPr,Uttar Pradesh,61,v8EzhiynNtf,Agra Division,14595,XJMggNJYBFG,Agra,146,177194,N5WWbRtsjWp,Agra Achnera,1517,177796,eV15qufBx79,SC Gopau,378541,178577.0,bPfRl38FlpO,8616867548.0,219,69,10
17,India,60,SpddBmmfvPr,Uttar Pradesh,61,v8EzhiynNtf,Agra Division,14595,XJMggNJYBFG,Agra,146,177194,N5WWbRtsjWp,Agra Achnera,1517,177796,eV15qufBx79,SC Hasela,378568,178578.0,WMl3bx01CTD,6615132567.0,219,69,10
18,India,60,SpddBmmfvPr,Uttar Pradesh,61,v8EzhiynNtf,Agra Division,14595,XJMggNJYBFG,Agra,146,177194,N5WWbRtsjWp,Agra Achnera,1517,177796,eV15qufBx79,SC Janutha,378532,178579.0,sVmO7z371Dv,5281785849.0,219,69,10
