block,block_id,calc_type,date,district,district_id,indicator_id,map_id,quarter,sub_id,subindicator_id,value,year
Asafpur,A8jhC64rvlS,p,2023-01-01,Budaun,eA37kyBRRuZ,indicator_36,173.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,195.0,2023
Asafpur,A8jhC64rvlS,p,2023-01-01,Budaun,eA37kyBRRuZ,indicator_36,173.0,4,36a,ixBYYYjxXPP,215.0,2023
Islam Nagar,BU3H8j3vtpl,p,2023-01-01,Budaun,eA37kyBRRuZ,indicator_36,174.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,274.0,2023
Islam Nagar,BU3H8j3vtpl,p,2023-01-01,Budaun,eA37kyBRRuZ,indicator_36,174.0,4,36a,ixBYYYjxXPP,233.0,2023
Ujhani,EjPcZNiYzP2,p,2023-01-01,Budaun,eA37kyBRRuZ,indicator_36,182.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,254.0,2023
Ujhani,EjPcZNiYzP2,p,2023-01-01,Budaun,eA37kyBRRuZ,indicator_36,182.0,4,36a,ixBYYYjxXPP,0.0,2023
Bilsi,FBjTmOT2uLU,p,2023-01-01,Budaun,eA37kyBRRuZ,indicator_36,178.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,330.0,2023
Bilsi,FBjTmOT2uLU,p,2023-01-01,Budaun,eA37kyBRRuZ,indicator_36,178.0,4,36a,ixBYYYjxXPP,330.0,2023
Usawan,HJ6IPhQigva,p,2023-01-01,Budaun,eA37kyBRRuZ,indicator_36,187.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,386.0,2023
Usawan,HJ6IPhQigva,p,2023-01-01,Budaun,eA37kyBRRuZ,indicator_36,187.0,4,36a,ixBYYYjxXPP,156.0,2023
Bisauli,MWJyDwqvBqS,p,2023-01-01,Budaun,eA37kyBRRuZ,indicator_36,175.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,207.0,2023
Bisauli,MWJyDwqvBqS,p,2023-01-01,Budaun,eA37kyBRRuZ,indicator_36,175.0,4,36a,ixBYYYjxXPP,199.0,2023
Binawar,QdKW8E0HxRg,p,2023-01-01,Budaun,eA37kyBRRuZ,indicator_36,,4,36b,aRueVYr35yM.Ti9FJqkSK6J,322.0,2023
Binawar,QdKW8E0HxRg,p,2023-01-01,Budaun,eA37kyBRRuZ,indicator_36,,4,36a,ixBYYYjxXPP,56.0,2023
Sahaswan,QsfJqnMcwds,p,2023-01-01,Budaun,eA37kyBRRuZ,indicator_36,177.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,496.0,2023
Sahaswan,QsfJqnMcwds,p,2023-01-01,Budaun,eA37kyBRRuZ,indicator_36,177.0,4,36a,ixBYYYjxXPP,281.0,2023
Samrer,Wa8qn4d8H22,p,2023-01-01,Budaun,eA37kyBRRuZ,indicator_36,184.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,153.0,2023
Samrer,Wa8qn4d8H22,p,2023-01-01,Budaun,eA37kyBRRuZ,indicator_36,184.0,4,36a,ixBYYYjxXPP,102.0,2023
Dataganj,YbOAqVBdm86,p,2023-01-01,Budaun,eA37kyBRRuZ,indicator_36,185.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,333.0,2023
Dataganj,YbOAqVBdm86,p,2023-01-01,Budaun,eA37kyBRRuZ,indicator_36,185.0,4,36a,ixBYYYjxXPP,178.0,2023
Qaderchowk,aDSCuqsggsN,p,2023-01-01,Budaun,eA37kyBRRuZ,indicator_36,183.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,194.0,2023
Qaderchowk,aDSCuqsggsN,p,2023-01-01,Budaun,eA37kyBRRuZ,indicator_36,183.0,4,36a,ixBYYYjxXPP,120.0,2023
Budaun DHQ,i8KzqsutvXl,p,2023-01-01,Budaun,eA37kyBRRuZ,indicator_36,,4,36b,aRueVYr35yM.Ti9FJqkSK6J,3304.0,2023
Budaun DHQ,i8KzqsutvXl,p,2023-01-01,Budaun,eA37kyBRRuZ,indicator_36,,4,36a,ixBYYYjxXPP,538.0,2023
Miaoon,n0U0QMMNJZe,p,2023-01-01,Budaun,eA37kyBRRuZ,indicator_36,186.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,243.0,2023
Miaoon,n0U0QMMNJZe,p,2023-01-01,Budaun,eA37kyBRRuZ,indicator_36,186.0,4,36a,ixBYYYjxXPP,119.0,2023
Jagat,wQ2zvEh08Xs,p,2023-01-01,Budaun,eA37kyBRRuZ,indicator_36,181.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,62.0,2023
Jagat,wQ2zvEh08Xs,p,2023-01-01,Budaun,eA37kyBRRuZ,indicator_36,181.0,4,36a,ixBYYYjxXPP,0.0,2023
Wazirganj,xct9yyij86y,p,2023-01-01,Budaun,eA37kyBRRuZ,indicator_36,176.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,237.0,2023
Wazirganj,xct9yyij86y,p,2023-01-01,Budaun,eA37kyBRRuZ,indicator_36,176.0,4,36a,ixBYYYjxXPP,30.0,2023
Dahagawan,yxi8x9cQDKH,p,2023-01-01,Budaun,eA37kyBRRuZ,indicator_36,179.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,412.0,2023
Dahagawan,yxi8x9cQDKH,p,2023-01-01,Budaun,eA37kyBRRuZ,indicator_36,179.0,4,36a,ixBYYYjxXPP,201.0,2023
Rudauli,AAOPzLEjW4T,p,2023-01-01,Ayodhya,b4XkXzoGqFY,indicator_36,494.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,346.0,2023
Rudauli,AAOPzLEjW4T,p,2023-01-01,Ayodhya,b4XkXzoGqFY,indicator_36,494.0,4,36a,ixBYYYjxXPP,0.0,2023
Sohawal,CUsMlPeoyMI,p,2023-01-01,Ayodhya,b4XkXzoGqFY,indicator_36,495.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,273.0,2023
Sohawal,CUsMlPeoyMI,p,2023-01-01,Ayodhya,b4XkXzoGqFY,indicator_36,495.0,4,36a,ixBYYYjxXPP,263.0,2023
Poora Bazar,JOYvKXzcb8E,p,2023-01-01,Ayodhya,b4XkXzoGqFY,indicator_36,502.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,161.0,2023
Poora Bazar,JOYvKXzcb8E,p,2023-01-01,Ayodhya,b4XkXzoGqFY,indicator_36,502.0,4,36a,ixBYYYjxXPP,48.0,2023
Mawai,QSXk2hR3eYG,p,2023-01-01,Ayodhya,b4XkXzoGqFY,indicator_36,493.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,213.0,2023
Mawai,QSXk2hR3eYG,p,2023-01-01,Ayodhya,b4XkXzoGqFY,indicator_36,493.0,4,36a,ixBYYYjxXPP,50.0,2023
Harington Ganj,XEfvLa6Zzxn,p,2023-01-01,Ayodhya,b4XkXzoGqFY,indicator_36,499.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,127.0,2023
Harington Ganj,XEfvLa6Zzxn,p,2023-01-01,Ayodhya,b4XkXzoGqFY,indicator_36,499.0,4,36a,ixBYYYjxXPP,72.0,2023
Maya Bazar,a2rjHSkns9X,p,2023-01-01,Ayodhya,b4XkXzoGqFY,indicator_36,503.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,163.0,2023
Maya Bazar,a2rjHSkns9X,p,2023-01-01,Ayodhya,b4XkXzoGqFY,indicator_36,503.0,4,36a,ixBYYYjxXPP,0.0,2023
Masaudha,aAl7bU1AYg2,p,2023-01-01,Ayodhya,b4XkXzoGqFY,indicator_36,496.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,489.0,2023
Masaudha,aAl7bU1AYg2,p,2023-01-01,Ayodhya,b4XkXzoGqFY,indicator_36,496.0,4,36a,ixBYYYjxXPP,458.0,2023
Ayodhya DHQ,bMK9VNDswXt,p,2023-01-01,Ayodhya,b4XkXzoGqFY,indicator_36,,4,36b,aRueVYr35yM.Ti9FJqkSK6J,491.0,2023
