calc_type,date,district,district_id,div_map_id,division,indicator_id,map_id,quarter,sub_id,subindicator_id,value,year
p,2023-01-01,Bijnor,uCYjHW7FuGG,134,Moradabad Division,indicator_36,134,4,36a,ixBYYYjxXPP,1416.0,2023
p,2023-01-01,Bijnor,uCYjHW7FuGG,134,Moradabad Division,indicator_36,134,4,36b,aRueVYr35yM.Ti9FJqkSK6J,8414.0,2023
p,2023-01-01,Bijnor,uCYjHW7FuGG,134,Moradabad Division,indicator_35,134,4,35a,dwGorjVGkD9,35.9,2023
p,2023-01-01,Bijnor,uCYjHW7FuGG,134,Moradabad Division,indicator_37,134,4,37a,m7ggqyMXhyL,88.3,2023
p,2023-01-01,Kasganj,hITp09XOBLZ,201,Alligarh Division,indicator_36,202,4,36a,ixBYYYjxXPP,1260.0,2023
p,2023-01-01,Kasganj,hITp09XOBLZ,201,Alligarh Division,indicator_36,202,4,36b,aRueVYr35yM.Ti9FJqkSK6J,1998.0,2023
p,2023-01-01,Kasganj,hITp09XOBLZ,201,Alligarh Division,indicator_35,202,4,35a,dwGorjVGkD9,28.9,2023
p,2023-01-01,Kasganj,hITp09XOBLZ,201,Alligarh Division,indicator_37,202,4,37a,m7ggqyMXhyL,85.0,2023
p,2023-01-01,Ayodhya,b4XkXzoGqFY,176,Ayodhya Division,indicator_36,177,4,36a,ixBYYYjxXPP,1151.0,2023
p,2023-01-01,Ayodhya,b4XkXzoGqFY,176,Ayodhya Division,indicator_36,177,4,36b,aRueVYr35yM.Ti9FJqkSK6J,3029.0,2023
p,2023-01-01,Ayodhya,b4XkXzoGqFY,176,Ayodhya Division,indicator_35,177,4,35a,dwGorjVGkD9,31.8,2023
p,2023-01-01,Ayodhya,b4XkXzoGqFY,176,Ayodhya Division,indicator_37,177,4,37a,m7ggqyMXhyL,87.9,2023
p,2023-01-01,Aligarh,frD2HOp3wAs,201,Alligarh Division,indicator_36,143,4,36a,ixBYYYjxXPP,3330.0,2023
p,2023-01-01,Aligarh,frD2HOp3wAs,201,Alligarh Division,indicator_36,143,4,36b,aRueVYr35yM.Ti9FJqkSK6J,5890.0,2023
p,2023-01-01,Aligarh,frD2HOp3wAs,201,Alligarh Division,indicator_35,143,4,35a,dwGorjVGkD9,29.3,2023
p,2023-01-01,Aligarh,frD2HOp3wAs,201,Alligarh Division,indicator_37,143,4,37a,m7ggqyMXhyL,86.1,2023
p,2023-01-01,Sonbhadra,NNk3JP90QZ5,200,Mirzapur Division,indicator_36,200,4,36a,ixBYYYjxXPP,1273.0,2023
p,2023-01-01,Sonbhadra,NNk3JP90QZ5,200,Mirzapur Division,indicator_36,200,4,36b,aRueVYr35yM.Ti9FJqkSK6J,3114.0,2023
p,2023-01-01,Sonbhadra,NNk3JP90QZ5,200,Mirzapur Division,indicator_35,200,4,35a,dwGorjVGkD9,32.0,2023
p,2023-01-01,Sonbhadra,NNk3JP90QZ5,200,Mirzapur Division,indicator_37,200,4,37a,m7ggqyMXhyL,91.8,2023
p,2023-01-01,Auraiya,Bd6E8zkVvVt,161,Kanpur Nagar Division,indicator_36,162,4,36a,ixBYYYjxXPP,962.0,2023
p,2023-01-01,Auraiya,Bd6E8zkVvVt,161,Kanpur Nagar Division,indicator_36,162,4,36b,aRueVYr35yM.Ti9FJqkSK6J,1406.0,2023
p,2023-01-01,Auraiya,Bd6E8zkVvVt,161,Kanpur Nagar Division,indicator_35,162,4,35a,dwGorjVGkD9,28.3,2023
p,2023-01-01,Auraiya,Bd6E8zkVvVt,161,Kanpur Nagar Division,indicator_37,162,4,37a,m7ggqyMXhyL,86.2,2023
p,2023-01-01,Gautam Buddha Nagar,bNmwkrQeP3e,140,Meerut Division,indicator_36,141,4,36a,ixBYYYjxXPP,972.0,2023
p,2023-01-01,Gautam Buddha Nagar,bNmwkrQeP3e,140,Meerut Division,indicator_36,141,4,36b,aRueVYr35yM.Ti9FJqkSK6J,3107.0,2023
p,2023-01-01,Gautam Buddha Nagar,bNmwkrQeP3e,140,Meerut Division,indicator_35,141,4,35a,dwGorjVGkD9,29.0,2023
p,2023-01-01,Gautam Buddha Nagar,bNmwkrQeP3e,140,Meerut Division,indicator_37,141,4,37a,m7ggqyMXhyL,85.7,2023
p,2023-01-01,Kanpur Nagar,QVMRMhzVrrS,161,Kanpur Nagar Division,indicator_36,164,4,36a,ixBYYYjxXPP,1203.0,2023
p,2023-01-01,Kanpur Nagar,QVMRMhzVrrS,161,Kanpur Nagar Division,indicator_36,164,4,36b,aRueVYr35yM.Ti9FJqkSK6J,4841.0,2023
p,2023-01-01,Kanpur Nagar,QVMRMhzVrrS,161,Kanpur Nagar Division,indicator_35,164,4,35a,dwGorjVGkD9,30.6,2023
p,2023-01-01,Kanpur Nagar,QVMRMhzVrrS,161,Kanpur Nagar Division,indicator_37,164,4,37a,m7ggqyMXhyL,83.3,2023
p,2023-01-01,Jhansi,Mq751wBMqGF,165,Jhansi Division,indicator_36,166,4,36a,ixBYYYjxXPP,1833.0,2023
p,2023-01-01,Jhansi,Mq751wBMqGF,165,Jhansi Division,indicator_36,166,4,36b,aRueVYr35yM.Ti9FJqkSK6J,3036.0,2023
p,2023-01-01,Jhansi,Mq751wBMqGF,165,Jhansi Division,indicator_35,166,4,35a,dwGorjVGkD9,33.3,2023
p,2023-01-01,Jhansi,Mq751wBMqGF,165,Jhansi Division,indicator_37,166,4,37a,m7ggqyMXhyL,85.4,2023
p,2023-01-01,Kushinagar,xUeHwd9FQkg,188,Gorakhpur Division,indicator_36,189,4,36a,ixBYYYjxXPP,1295.0,2023
p,2023-01-01,Kushinagar,xUeHwd9FQkg,188,Gorakhpur Division,indicator_36,189,4,36b,aRueVYr35yM.Ti9FJqkSK6J,5649.0,2023
p,2023-01-01,Kushinagar,xUeHwd9FQkg,188,Gorakhpur Division,indicator_35,189,4,35a,dwGorjVGkD9,37.7,2023
p,2023-01-01,Kushinagar,xUeHwd9FQkg,188,Gorakhpur Division,indicator_37,189,4,37a,m7ggqyMXhyL,88.5,2023
p,2023-01-01,Unnav,aT03mfdlNiF,155,Lucknow Division,indicator_36,156,4,36a,ixBYYYjxXPP,2226.0,2023
p,2023-01-01,Unnav,aT03mfdlNiF,155,Lucknow Division,indicator_36,156,4,36b,aRueVYr35yM.Ti9FJqkSK6J,4086.0,2023
p,2023-01-01,Unnav,aT03mfdlNiF,155,Lucknow Division,indicator_35,156,4,35a,dwGorjVGkD9,28.6,2023
p,2023-01-01,Unnav,aT03mfdlNiF,155,Lucknow Division,indicator_37,156,4,37a,m7ggqyMXhyL,85.7,2023
p,2023-01-01,Gonda,y8WarEkWCul,182,Gonda Division,indicator_36,183,4,36a,ixBYYYjxXPP,2602.0,2023
p,2023-01-01,Gonda,y8WarEkWCul,182,Gonda Division,indicator_36,183,4,36b,aRueVYr35yM.Ti9FJqkSK6J,4670.0,2023
p,2023-01-01,Gonda,y8WarEkWCul,182,Gonda Division,indicator_35,183,4,35a,dwGorjVGkD9,27.2,2023
p,2023-01-01,Gonda,y8WarEkWCul,182,Gonda Division,indicator_37,183,4,37a,m7ggqyMXhyL,88.1,2023
p,2023-01-01,Fatehpur,ibLiLcaKzw2,172,Prayagraj Division,indicator_36,172,4,36a,ixBYYYjxXPP,1954.0,2023
p,2023-01-01,Fatehpur,ibLiLcaKzw2,172,Prayagraj Division,indicator_36,172,4,36b,aRueVYr35yM.Ti9FJqkSK6J,4294.0,2023
p,2023-01-01,Fatehpur,ibLiLcaKzw2,172,Prayagraj Division,indicator_35,172,4,35a,dwGorjVGkD9,30.9,2023
p,2023-01-01,Fatehpur,ibLiLcaKzw2,172,Prayagraj Division,indicator_37,172,4,37a,m7ggqyMXhyL,89.4,2023
p,2023-01-01,Bahraich,iE0E3nLioFr,182,Gonda Division,indicator_36,180,4,36a,ixBYYYjxXPP,1685.0,2023
p,2023-01-01,Bahraich,iE0E3nLioFr,182,Gonda Division,indicator_36,180,4,36b,aRueVYr35yM.Ti9FJqkSK6J,6555.0,2023
p,2023-01-01,Bahraich,iE0E3nLioFr,182,Gonda Division,indicator_35,180,4,35a,dwGorjVGkD9,34.5,2023
p,2023-01-01,Bahraich,iE0E3nLioFr,182,Gonda Division,indicator_37,180,4,37a,m7ggqyMXhyL,87.0,2023
p,2023-01-01,Bhadohi,PeUY1vj02UQ,200,Mirzapur Division,indicator_36,198,4,36a,ixBYYYjxXPP,621.0,2023
p,2023-01-01,Bhadohi,PeUY1vj02UQ,200,Mirzapur Division,indicator_36,198,4,36b,aRueVYr35yM.Ti9FJqkSK6J,2030.0,2023
p,2023-01-01,Bhadohi,PeUY1vj02UQ,200,Mirzapur Division,indicator_35,198,4,35a,dwGorjVGkD9,32.4,2023
p,2023-01-01,Bhadohi,PeUY1vj02UQ,200,Mirzapur Division,indicator_37,198,4,37a,m7ggqyMXhyL,91.2,2023
p,2023-01-01,Amroha,hgquAmZaNBu,134,Moradabad Division,indicator_36,137,4,36a,ixBYYYjxXPP,681.0,2023
p,2023-01-01,Amroha,hgquAmZaNBu,134,Moradabad Division,indicator_36,137,4,36b,aRueVYr35yM.Ti9FJqkSK6J,3255.0,2023
p,2023-01-01,Amroha,hgquAmZaNBu,134,Moradabad Division,indicator_35,137,4,35a,dwGorjVGkD9,39.0,2023
p,2023-01-01,Amroha,hgquAmZaNBu,134,Moradabad Division,indicator_37,137,4,37a,m7ggqyMXhyL,85.5,2023
p,2023-01-01,Agra,N5WWbRtsjWp,146,Agra Division,indicator_36,146,4,36a,ixBYYYjxXPP,3025.0,2023
p,2023-01-01,Agra,N5WWbRtsjWp,146,Agra Division,indicator_36,146,4,36b,aRueVYr35yM.Ti9FJqkSK6J,8345.0,2023
p,2023-01-01,Agra,N5WWbRtsjWp,146,Agra Division,indicator_35,146,4,35a,dwGorjVGkD9,30.0,2023
p,2023-01-01,Agra,N5WWbRtsjWp,146,Agra Division,indicator_37,146,4,37a,m7ggqyMXhyL,86.4,2023
