subindicator_id,indicator_id,period
A5OhgcYE7gV,20,monthly
aknlXIekL1Z,5,monthly
aRueVYr35yM,4,monthly
aRueVYr35yM.Ti9FJqkSK6J,11,monthly
B2A7x36qEry.Ti9FJqkSK6J,7,monthly
c3WaIW0ETmo,23,monthly
cB6y5lovUZX.Ti9FJqkSK6J,11,yearly
DtwEf8pGyBN,19,monthly
ed73Rp6knzD,18,monthly
ewTOwzwOdvW,26,monthly
FRafAE8qFP6,11,yearly
fyuGMPRH02k,14,monthly
gam41B0zoHy,20,monthly
Gj9oZKbPSFW,13,monthly
GJKYhq2wR9L,6,monthly
GXgfTS67qxe.Ti9FJqkSK6J,7,yearly
jHHZKr89vwY,14,monthly
JSd2zYYtiwU,23,monthly
JY4UIeCYK00,1,monthly
kuz5MYYLyi2,5,monthly
KXkDMUaCa1b,27,monthly
LSbY5u051cG,13,yearly
m7ggqyMXhyL,8,monthly
mQ2Ri2lEPsH,25,monthly
n5bZeD7f63Q,3,monthly
Nkk4laRIihw,17,monthly
pFs6270HlT5,21,quarterly
Pk1DOE3HGly,25,monthly
qPCgDZKWRA7,10,monthly
qYpFbVo8WsL,1,monthly
R5Xs0daLD8B,15,quarterly
RUlj9ZTZtwt,9,monthly
SwyOYejItro,4,yearly
t03VPkJ5UXd,10,yearly
t03VPkJ5UXd,6,yearly
TLN0lTAz8pN,15,quarterly
TmeumlBaObG,17,yearly
TmeumlBaObG,2,yearly
TzzsXTlaZkf,27,monthly
ux6uaflq7xZ,11,yearly
VGmj8dWOIBw,3,monthly
VTkU0Lmb5qL,21,yearly
W8umWqoVKIg,9,monthly
xm2HG3ytwRd,18,monthly
yHUXCcJHccA,24,monthly
ZpgnTGpSkeg.Ti9FJqkSK6J,2,monthly
,,
