,index,date,district_id,indicator_id,perc_point,district,map_id,division,div_map_id,type,domain,indicator_ids,indicator,calc_type
0,0,202503,ClbehnmwSec,indicator_1,100.0,Chandauli,196,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
1,1,202503,dScWdMRN8PL,indicator_1,100.0,Ghazipur,195,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
2,2,202503,gmw76vAUMqz,indicator_1,100.0,Jaunpur,194,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
3,3,202503,MVQs2RrS1Nw,indicator_1,100.0,Muzaffarnagar,133,Saharanpur Division,132,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
4,4,202503,LeuBT7KfuuA,indicator_1,100.0,Varanasi,197,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
5,5,202503,hgquAmZaNBu,indicator_1,100.0,Amroha,137,Moradabad Division,134,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
6,6,202503,uCYjHW7FuGG,indicator_1,100.0,Bijnor,134,Moradabad Division,134,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
7,7,202503,FKYZ3JbWq84,indicator_1,100.0,Saharanpur,132,Saharanpur Division,132,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
8,8,202503,AdiUcz9BXhx,indicator_1,91.64328774021617,Shamli,203,Saharanpur Division,132,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
9,9,202503,YQNQoPjAIpV,indicator_1,100.0,Moradabad,135,Moradabad Division,134,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
10,10,202503,IU006h5U7jj,indicator_1,97.26520559196516,Rampur,136,Moradabad Division,134,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
11,11,202503,PeUY1vj02UQ,indicator_1,94.602573884843,Bhadohi,198,Mirzapur Division,200,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
12,12,202503,UAicdMLyuk4,indicator_1,100.0,Mirzapur,199,Mirzapur Division,200,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
13,13,202503,YzHpzrN0eLv,indicator_1,100.0,Sambhal,205,Moradabad Division,134,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
14,14,202503,Bd6E8zkVvVt,indicator_1,100.0,Auraiya,162,Kanpur Nagar Division,161,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
15,15,202503,Pm0jLk6EAiE,indicator_1,100.0,Etawah,161,Kanpur Nagar Division,161,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
16,16,202503,uEEwlAGZXWW,indicator_1,100.0,Farrukhabad,159,Kanpur Nagar Division,161,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
17,17,202503,IhQbDYRiF8w,indicator_1,100.0,Kannauj,160,Kanpur Nagar Division,161,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
18,18,202503,NNk3JP90QZ5,indicator_1,100.0,Sonbhadra,200,Mirzapur Division,200,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
19,19,202503,NL5xiiHZQSC,indicator_1,99.58942927045022,Jalaun,165,Jhansi Division,165,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
20,20,202503,k3D0AumUCiC,indicator_1,100.0,Kanpur Dehat,163,Kanpur Nagar Division,161,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
21,21,202503,QVMRMhzVrrS,indicator_1,96.83312976627188,Kanpur Nagar,164,Kanpur Nagar Division,161,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
22,22,202503,Tf9b9qcbghH,indicator_1,100.0,Deoria,190,Gorakhpur Division,188,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
23,23,202503,Mq751wBMqGF,indicator_1,100.0,Jhansi,166,Jhansi Division,165,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
24,24,202503,fagfcadhxej,indicator_1,86.878763817697,Lalitpur,167,Jhansi Division,165,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
25,25,202503,vR85cHdsw1w,indicator_1,100.0,Gorakhpur,188,Gorakhpur Division,188,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
26,26,202503,xUeHwd9FQkg,indicator_1,96.28659248336916,Kushinagar,189,Gorakhpur Division,188,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
27,27,202503,iE0E3nLioFr,indicator_1,100.0,Bahraich,180,Gonda Division,182,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
28,28,202503,AcnMkNGgc3S,indicator_1,100.0,Maharajganj,187,Gorakhpur Division,188,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
29,29,202503,uS0pNSxN3sS,indicator_1,100.0,Balrampur,182,Gonda Division,182,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
30,30,202503,y8WarEkWCul,indicator_1,100.0,Gonda,183,Gonda Division,182,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
31,31,202503,DggJGxqbWHn,indicator_1,95.47419685904303,Banda,170,Chitrakoot Division,170,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
32,32,202503,i2fSZZ3QAJJ,indicator_1,95.17419552534433,Chitrakoot,171,Chitrakoot Division,170,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
33,33,202503,VSI7HobT5qL,indicator_1,99.93174522161877,Hamirpur,168,Chitrakoot Division,170,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
34,34,202503,oyTwneTbWDx,indicator_1,100.0,Shrawasti,181,Gonda Division,182,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
35,35,202503,J1P16zQEOUT,indicator_1,100.0,Basti,185,Basti Division,185,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
36,36,202503,fe1yBApr2sl,indicator_1,100.0,Sant Kabir Nagar,186,Basti Division,185,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
37,37,202503,cP0p8qfm3il,indicator_1,100.0,Siddharth Nagar,184,Basti Division,185,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
38,38,202503,sUQMxIc3yXj,indicator_1,91.57765841174026,Mahoba,169,Chitrakoot Division,170,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
39,39,202503,eA37kyBRRuZ,indicator_1,100.0,Budaun,149,Bareilly Division,150,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
40,40,202503,vVqY3DPcpHf,indicator_1,100.0,Bareilly,150,Bareilly Division,150,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
41,41,202503,NjckKfm3g0k,indicator_1,100.0,Azamgarh,191,Azamgarh Division,193,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
42,42,202503,c96jwckSd6j,indicator_1,98.93748911680447,Pilibhit,151,Bareilly Division,150,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
43,43,202503,GaiLSoQq1ue,indicator_1,100.0,Shahjahanpur,152,Bareilly Division,150,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
44,44,202503,oNDvGBE5fLq,indicator_1,100.0,Ballia,193,Azamgarh Division,193,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
45,45,202503,CBSB9v92AwT,indicator_1,100.0,Maunathbhanjan,192,Azamgarh Division,193,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
46,46,202503,frD2HOp3wAs,indicator_1,100.0,Aligarh,143,Alligarh Division,201,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
47,47,202503,ZLcx4iOVyN5,indicator_1,100.0,Etah,201,Alligarh Division,201,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
48,48,202503,m1IAjmqkoFC,indicator_1,100.0,Hathras,144,Alligarh Division,201,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
49,49,202503,hITp09XOBLZ,indicator_1,100.0,Kasganj,202,Alligarh Division,201,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
50,50,202503,HJIS3IrQ0Nj,indicator_1,100.0,Bagpat,139,Meerut Division,140,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
51,51,202503,ogBt4gWCiem,indicator_1,100.0,Bulandshahar,142,Meerut Division,140,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
52,52,202503,bNmwkrQeP3e,indicator_1,100.0,Gautam Buddha Nagar,141,Meerut Division,140,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
53,53,202503,M5NHlfAaKYI,indicator_1,100.0,Ghaziabad,140,Meerut Division,140,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
54,54,202503,CZ8kLjgqvSH,indicator_1,100.0,Hapur,204,Meerut Division,140,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
55,55,202503,v8YGmR7nOdj,indicator_1,87.543135132358,Meerut,138,Meerut Division,140,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
56,56,202503,MTIkUw5q5pX,indicator_1,100.0,Hardoi,155,Lucknow Division,155,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
57,57,202503,d9ZuMopgX29,indicator_1,100.0,Lakhimpur Kheri,153,Lucknow Division,155,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
58,58,202503,StsLkYw1G0m,indicator_1,95.72698392512393,Amethi,206,Ayodhya Division,176,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
59,59,202503,MfHac5N78aK,indicator_1,100.0,Lucknow,157,Lucknow Division,155,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
60,60,202503,lLvTDpBDY8u,indicator_1,100.0,Rae Bareli,158,Lucknow Division,155,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
61,61,202503,XxaOowFtkiJ,indicator_1,100.0,Sitapur,154,Lucknow Division,155,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
62,62,202503,aT03mfdlNiF,indicator_1,100.0,Unnav,156,Lucknow Division,155,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
63,63,202503,ibLiLcaKzw2,indicator_1,97.7618221101617,Fatehpur,172,Prayagraj Division,172,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
64,64,202503,jM27ji8tyrM,indicator_1,96.00992863384306,Ambedkar Nagar,178,Ayodhya Division,176,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
65,65,202503,b4XkXzoGqFY,indicator_1,87.09866967348296,Ayodhya,177,Ayodhya Division,176,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
66,66,202503,tzH6nJu9SwS,indicator_1,100.0,Barabanki,176,Ayodhya Division,176,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
67,67,202503,o4ZQTVcMI7U,indicator_1,100.0,Sultanpur,179,Ayodhya Division,176,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
68,68,202503,PAj0oVY0Dxu,indicator_1,100.0,Kaushambi,174,Prayagraj Division,172,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
69,69,202503,fz7bJo3egPX,indicator_1,100.0,Pratapgarh,173,Prayagraj Division,172,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
70,70,202503,tXgaew1Pd2Y,indicator_1,100.0,Prayagraj,175,Prayagraj Division,172,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
71,71,202503,N5WWbRtsjWp,indicator_1,100.0,Agra,146,Agra Division,146,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
72,72,202503,eJTsuE56XDF,indicator_1,100.0,Firozabad,147,Agra Division,146,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
73,73,202503,XBLhrSWGytu,indicator_1,100.0,Mainpuri,148,Agra Division,146,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
74,74,202503,KP2BUB1npih,indicator_1,100.0,Mathura,145,Agra Division,146,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
75,33,202503,ClbehnmwSec,indicator_2,78.38702183095289,Chandauli,196,Varanasi Division,195,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
76,66,202503,dScWdMRN8PL,indicator_2,59.374823056198686,Ghazipur,195,Varanasi Division,195,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
77,60,202503,gmw76vAUMqz,indicator_2,52.67170794102537,Jaunpur,194,Varanasi Division,195,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
78,38,202503,MVQs2RrS1Nw,indicator_2,75.93582574670212,Muzaffarnagar,133,Saharanpur Division,132,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
79,22,202503,LeuBT7KfuuA,indicator_2,81.9936718481681,Varanasi,197,Varanasi Division,195,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
80,71,202503,hgquAmZaNBu,indicator_2,74.55365836999161,Amroha,137,Moradabad Division,134,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
81,49,202503,uCYjHW7FuGG,indicator_2,73.88577798570066,Bijnor,134,Moradabad Division,134,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
82,29,202503,FKYZ3JbWq84,indicator_2,60.66498231722501,Saharanpur,132,Saharanpur Division,132,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
83,70,202503,AdiUcz9BXhx,indicator_2,66.63577391291196,Shamli,203,Saharanpur Division,132,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
84,14,202503,YQNQoPjAIpV,indicator_2,59.70289690869029,Moradabad,135,Moradabad Division,134,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
85,28,202503,IU006h5U7jj,indicator_2,64.49935914513402,Rampur,136,Moradabad Division,134,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
86,4,202503,PeUY1vj02UQ,indicator_2,78.0140161933795,Bhadohi,198,Mirzapur Division,200,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
