district_name,district_id,district_id_num
Agra,N5WWbRtsjWp,16
Firozabad,eJTsuE56XDF,54
Mainpuri,XBLhrSWGytu,1
Mathura,KP2BUB1npih,74
Aligarh,frD2HOp3wAs,6
Etah,ZLcx4iOVyN5,18
Hathras,m1IAjmqkoFC,27
Kasganj,hITp09XOBLZ,49
Ambedkar Nagar,jM27ji8tyrM,65
Amethi,StsLkYw1G0m,58
Ayodhya,b4XkXzoGqFY,53
Barabanki,tzH6nJu9SwS,23
Sultanpur,o4ZQTVcMI7U,67
Azamgarh,NjckKfm3g0k,30
Ballia,oNDvGBE5fLq,17
Maunathbhanjan,CBSB9v92AwT,60
Bareilly,vVqY3DPcpHf,13
Budaun,eA37kyBRRuZ,75
Pilibhit,c96jwckSd6j,48
Shahjahanpur,GaiLSoQq1ue,41
Basti,J1P16zQEOUT,26
Sant Kabir Nagar,fe1yBApr2sl,33
Siddharth Nagar,cP0p8qfm3il,56
Banda,DggJGxqbWHn,51
Chitrakoot,i2fSZZ3QAJJ,62
Hamirpur,VSI7HobT5qL,28
Mahoba,sUQMxIc3yXj,64
Bahraich,iE0E3nLioFr,34
Balrampur,uS0pNSxN3sS,4
Gonda,y8WarEkWCul,71
Shrawasti,oyTwneTbWDx,12
Deoria,Tf9b9qcbghH,8
Gorakhpur,vR85cHdsw1w,29
Kushinagar,xUeHwd9FQkg,66
Maharajganj,AcnMkNGgc3S,15
Jalaun,NL5xiiHZQSC,3
Jhansi,Mq751wBMqGF,31
Lalitpur,fagfcadhxej,45
Auraiya,Bd6E8zkVvVt,38
Etawah,Pm0jLk6EAiE,5
Farrukhabad,uEEwlAGZXWW,32
Kannauj,IhQbDYRiF8w,9
Kanpur Dehat,k3D0AumUCiC,57
Kanpur Nagar,QVMRMhzVrrS,46
Hardoi,MTIkUw5q5pX,20
Lakhimpur Kheri,d9ZuMopgX29,42
Lucknow,MfHac5N78aK,44
Rae Bareli,lLvTDpBDY8u,35
Sitapur,XxaOowFtkiJ,61
Unnav,aT03mfdlNiF,43
Bagpat,HJIS3IrQ0Nj,68
Bulandshahar,ogBt4gWCiem,47
Gautam Buddha Nagar,bNmwkrQeP3e,24
Ghaziabad,M5NHlfAaKYI,7
Hapur,CZ8kLjgqvSH,69
Meerut,v8YGmR7nOdj,11
Bhadohi,PeUY1vj02UQ,73
Mirzapur,UAicdMLyuk4,55
Sonbhadra,NNk3JP90QZ5,70
Amroha,hgquAmZaNBu,19
Bijnor,uCYjHW7FuGG,72
Moradabad,YQNQoPjAIpV,52
Rampur,IU006h5U7jj,39
Sambhal,YzHpzrN0eLv,10
Fatehpur,ibLiLcaKzw2,50
Kaushambi,PAj0oVY0Dxu,59
Pratapgarh,fz7bJo3egPX,21
Prayagraj,tXgaew1Pd2Y,36
Muzaffarnagar,MVQs2RrS1Nw,14
Saharanpur,FKYZ3JbWq84,2
Shamli,AdiUcz9BXhx,40
Chandauli,ClbehnmwSec,37
Ghazipur,dScWdMRN8PL,63
Jaunpur,gmw76vAUMqz,25
Varanasi,LeuBT7KfuuA,22
