,block_id,perc_point,date,indicator_id,uid_district,district,block,0,map_id,division,div_map_id,type,domain,indicator_ids,indicator,calc_type
0,FyHWyWYiq51,100.0,202503,indicator_1,ClbehnmwSec,Chandauli,Niyamatabad,47,767.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
1,QglkJx8TDdn,60.08049518041678,202503,indicator_1,ClbehnmwSec,Chandauli,Chandauli,47,768.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
2,F1Ddi7jawvX,100.0,202503,indicator_1,ClbehnmwSec,Chandauli,Dhanapur,45,765.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
3,UuA1Z7kFP5w,100.0,202503,indicator_1,ClbehnmwSec,Chandauli,Naugarh,17,772.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
4,J2ufTjaikuE,100.0,202503,indicator_1,ClbehnmwSec,Chandauli,Sakaldiha,50,766.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
5,kqqVceYxMn2,100.0,202503,indicator_1,ClbehnmwSec,Chandauli,Chandauli (Urban),29,,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
6,kneJKc3fNtp,95.45732353853724,202503,indicator_1,ClbehnmwSec,Chandauli,Barhani,49,769.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
7,P0KHYXl7qFF,95.87838732634886,202503,indicator_1,ClbehnmwSec,Chandauli,Chahniya,42,764.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
8,VpPC8KPVwrC,100.0,202503,indicator_1,ClbehnmwSec,Chandauli,Chakia,37,770.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
9,Aq89pvDpWBA,91.72238821168276,202503,indicator_1,ClbehnmwSec,Chandauli,Shahabganj,26,771.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
