,block,composite_index,rank,month,district
0,Samrer,0.660224,737.0,Sep 2023,Budaun
13,Maya Bazar,0.68369,667.0,Sep 2023,Ayodhya
26,Bhiti,0.818379,37.0,Sep 2023,Ambedkar Nagar
39,Kurebhar,0.650212,755.0,Sep 2023,Sultanpur
51,Khair,0.790686,132.0,Sep 2023,Aligarh
64,Gonda,0.648293,761.0,Sep 2023,Aligarh
76,Kasimabad,0.671109,700.0,Sep 2023,Ghazipur
88,Colonelganj,0.687556,652.0,Sep 2023,Gonda
101,Wazirganj,0.740079,439.0,Sep 2023,Gonda
114,Jhanjhari,0.724283,524.0,Sep 2023,Gonda
124,Mujhana,0.75964,329.0,Sep 2023,Gonda
137,Haldharmau,0.768308,276.0,Sep 2023,Gonda
150,Chamraua,0.816607,42.0,Sep 2023,Rampur
163,Lar,0.730349,491.0,Sep 2023,Deoria
175,Birdpur,0.697966,619.0,Sep 2023,Siddharth Nagar
188,Mithwal,0.674278,695.0,Sep 2023,Siddharth Nagar
201,Munda Pandey,0.78352,175.0,Sep 2023,Moradabad
214,Kasiya,0.628296,793.0,Sep 2023,Kushinagar
227,Sukrauli,0.770888,251.0,Sep 2023,Kushinagar
240,Kaptanganj,0.724999,520.0,Sep 2023,Kushinagar
253,Dudhahi,0.689325,642.0,Sep 2023,Kushinagar
266,Marori,0.76932,264.0,Sep 2023,Pilibhit
279,Amariya,0.8141,48.0,Sep 2023,Pilibhit
292,Barsathi,0.766088,289.0,Sep 2023,Jaunpur
305,Kerakat,0.722614,530.0,Sep 2023,Jaunpur
318,Muftiganj,0.831087,6.0,Sep 2023,Jaunpur
331,Nandgaon,0.771986,243.0,Sep 2023,Mathura
344,Govardhan,0.771354,248.0,Sep 2023,Mathura
357,Sikandrabad,0.745974,407.0,Sep 2023,Bulandshahar
370,Lakhaothi,0.720265,541.0,Sep 2023,Bulandshahar
383,Asoha,0.819366,32.0,Sep 2023,Unnav
396,Bighapur,0.821078,28.0,Sep 2023,Unnav
409,Safipur,0.815087,45.0,Sep 2023,Unnav
422,Mianganj,0.724519,523.0,Sep 2023,Unnav
434,Fatehpur Chaurasi,0.785274,167.0,Sep 2023,Unnav
447,Ballia Kheri,0.772909,237.0,Sep 2023,Saharanpur
460,Jamalpur,0.787771,145.0,Sep 2023,Mirzapur
473,Hallia,0.806732,70.0,Sep 2023,Mirzapur
486,Bithrichainpur,0.681798,674.0,Sep 2023,Bareilly
499,Sataon,0.737247,451.0,Sep 2023,Rae Bareli
512,Harchandpur,0.733075,480.0,Sep 2023,Rae Bareli
525,Unchahar,0.683184,670.0,Sep 2023,Rae Bareli
537,Malasa,0.764419,303.0,Sep 2023,Kanpur Dehat
550,Ghiror,0.68724,656.0,Sep 2023,Mainpuri
562,Sultanganj,0.595024,823.0,Sep 2023,Mainpuri
574,Mainpuri,0.769646,260.0,Sep 2023,Mainpuri
587,Visheshwarganj,0.614483,806.0,Sep 2023,Bahraich
600,Shivpur,0.701721,609.0,Sep 2023,Bahraich
613,Risia,0.716451,552.0,Sep 2023,Bahraich
626,Holagarh,0.807293,67.0,Sep 2023,Prayagraj
639,Jasra,0.750276,381.0,Sep 2023,Prayagraj
652,Jalalabad,0.593425,825.0,Sep 2023,Shahjahanpur
664,Bhawal Khera,0.716283,553.0,Sep 2023,Shahjahanpur
677,Bangra,0.77668,218.0,Sep 2023,Jhansi
690,Jhansi (Urban),0.689188,643.0,Sep 2023,Jhansi
703,Bamaur,0.711568,568.0,Sep 2023,Jhansi
715,Akola,0.84542,2.0,Sep 2023,Agra
728,Chail,0.781463,185.0,Sep 2023,Kaushambi
741,Amauli,0.781159,188.0,Sep 2023,Fatehpur
754,Bhitaura,0.771353,249.0,Sep 2023,Fatehpur
767,Azmatgarh,0.685662,660.0,Sep 2023,Azamgarh
780,Mirzapur,0.626675,796.0,Sep 2023,Azamgarh
792,Sidhpura,0.706355,592.0,Sep 2023,Kasganj
805,Etawah (Urban),0.64222,771.0,Sep 2023,Etawah
818,Chakarnagar,0.571366,841.0,Sep 2023,Etawah
831,DHQ Hapur,0.561361,847.0,Sep 2023,Hapur
844,Tondarpur,0.764816,298.0,Sep 2023,Hardoi
857,Mohammadabad Gohana,0.669932,706.0,Sep 2023,Maunathbhanjan
870,Ranipur,0.728905,497.0,Sep 2023,Maunathbhanjan
883,Sambhal,0.76881,271.0,Sep 2023,Sambhal
896,Panwasa,0.676625,686.0,Sep 2023,Sambhal
909,Kamasin,0.727609,506.0,Sep 2023,Banda
921,Bisanda,0.751988,364.0,Sep 2023,Banda
934,Jaitpur,0.78945,139.0,Sep 2023,Mahoba
947,Kanpur Nagar (Urban),0.37716,886.0,Sep 2023,Kanpur Nagar
959,Noorpur,0.759646,328.0,Sep 2023,Bijnor
972,Kaptanganj,0.743382,420.0,Sep 2023,Basti
985,Basti (Urban),0.551576,852.0,Sep 2023,Basti
998,Dhanaura,0.782707,181.0,Sep 2023,Amroha
1011,Joya,0.78994,136.0,Sep 2023,Amroha
1024,Bansdih,0.705309,595.0,Sep 2023,Ballia
1036,Revati,0.203089,889.0,Sep 2023,Ballia
1045,Dubhad,0.756081,345.0,Sep 2023,Ballia
1058,Kharkhoda,0.818209,38.0,Sep 2023,Meerut
1071,Hastinapur,0.785699,161.0,Sep 2023,Meerut
1084,Sarurpur Khurd,0.81237,59.0,Sep 2023,Meerut
1097,Machra,0.791797,125.0,Sep 2023,Meerut
1110,Baghpat,0.817947,39.0,Sep 2023,Bagpat
1123,Utraula,0.742349,428.0,Sep 2023,Balrampur
1136,Nadigaon,0.731504,486.0,Sep 2023,Jalaun
1149,Sotha,0.715339,557.0,Sep 2023,Sant Kabir Nagar
1162,Aliganj,0.714851,558.0,Sep 2023,Etah
1175,Siddhaur,0.768995,269.0,Sep 2023,Barabanki
1188,Dariyabad,0.768247,278.0,Sep 2023,Barabanki
1201,Bani Kodar,0.723021,526.0,Sep 2023,Barabanki
1214,Bhojpur,0.779555,203.0,Sep 2023,Ghaziabad
1227,Musafir Khana,0.783271,178.0,Sep 2023,Amethi
1240,Sant Ravidas Nagar (Urban),0.603215,818.0,Sep 2023,Bhadohi
1253,Garh Mukteshwar,0.735955,458.0,Sep 2023,Hapur
1266,Bijua,0.716584,551.0,Sep 2023,Lakhimpur Kheri
1279,Pasgawan,0.736305,456.0,Sep 2023,Lakhimpur Kheri
1292,Barhalganj,0.705499,594.0,Sep 2023,Gorakhpur
1304,Campierganj,0.660522,735.0,Sep 2023,Gorakhpur
1317,Pali,0.779138,206.0,Sep 2023,Gorakhpur
1330,Umarda,0.730718,489.0,Sep 2023,Kannauj
1343,Kannauj (Urban),0.502281,866.0,Sep 2023,Kannauj
1355,Paniwara,0.749368,386.0,Sep 2023,Maharajganj
1368,Karvi (Chitrakoot Dham),0.73737,450.0,Sep 2023,Chitrakoot
1695,Bisauli,0.687286,654.0,Sep 2023,Budaun
1696,Sahaswan,0.725298,519.0,Sep 2023,Budaun
1697,Dataganj,0.649222,758.0,Sep 2023,Budaun
1699,Qadar Chowk,0.631914,787.0,Sep 2023,Budaun
1700,Budaun (Urban),0.495526,873.0,Sep 2023,Budaun
1701,Jagat,0.663958,730.0,Sep 2023,Budaun
1702,Wazirganj,0.751219,368.0,Sep 2023,Budaun
1703,Sohawal,0.745878,408.0,Sep 2023,Ayodhya
1705,Pura Bazar,0.784743,170.0,Sep 2023,Ayodhya
1706,Harringtonganj,0.812617,57.0,Sep 2023,Ayodhya
1707,Ayodhya (Urban),0.591803,828.0,Sep 2023,Ayodhya
1709,Amaniganj,0.721876,534.0,Sep 2023,Ayodhya
1710,Milkipur,0.75453,353.0,Sep 2023,Ayodhya
1711,Tarun,0.780991,189.0,Sep 2023,Ayodhya
1712,Baskhari,0.731116,488.0,Sep 2023,Ambedkar Nagar
1713,Akbarpur,0.796146,110.0,Sep 2023,Ambedkar Nagar
1715,Ambedkar Nagar  (Urban),0.576866,837.0,Sep 2023,Ambedkar Nagar
1716,Jahangirganj,0.681547,676.0,Sep 2023,Ambedkar Nagar
1720,Jalalpur,0.747753,397.0,Sep 2023,Ambedkar Nagar
1722,Dostpur,0.797798,99.0,Sep 2023,Sultanpur
1723,Jai Singh Pur,0.779138,206.0,Sep 2023,Sultanpur
1724,Dubey Pur,0.792782,119.0,Sep 2023,Sultanpur
1725,Waldi Rai,0.728692,498.0,Sep 2023,Sultanpur
1726,Kadipur,0.653541,749.0,Sep 2023,Sultanpur
1727,Bhadayeea,0.753082,361.0,Sep 2023,Sultanpur
1729,Pratap Pur Kamaicha,0.75301,362.0,Sep 2023,Sultanpur
1731,Aligarh (Urban),0.650918,753.0,Sep 2023,Aligarh
1732,Atrauli,0.777438,214.0,Sep 2023,Aligarh
1733,Bijauli,0.813312,54.0,Sep 2023,Aligarh
1734,Gangiri,0.740057,440.0,Sep 2023,Aligarh
1736,Akrabad,0.745074,411.0,Sep 2023,Aligarh
1737,Iglas,0.810926,61.0,Sep 2023,Aligarh
1739,Manihari,0.682481,671.0,Sep 2023,Ghazipur
1740,Mohammadabad,0.772559,239.0,Sep 2023,Ghazipur
1741,Karanda,0.72261,531.0,Sep 2023,Ghazipur
