date,div_map_id,division,division_id,indicator_id,rank,value
2017-10-01,182,Gonda Division,K7kAZbm3Vf3,1,1.0,100.0
2017-10-01,182,Gonda Division,K7kAZbm3Vf3,2,14.0,14.156626506024098
2017-10-01,182,Gonda Division,K7kAZbm3Vf3,5,12.0,0.0
2017-10-01,182,Gonda Division,K7kAZbm3Vf3,6,2.0,93.61702127659576
2017-10-01,182,Gonda Division,K7kAZbm3Vf3,9,17.0,26.0308656860381
2017-10-01,182,Gonda Division,K7kAZbm3Vf3,10,17.0,31.256329877019528
2017-10-01,182,Gonda Division,K7kAZbm3Vf3,11,15.0,41.092355919942115
2017-10-01,182,Gonda Division,K7kAZbm3Vf3,14,5.0,52.52972076306332
2017-10-01,182,Gonda Division,K7kAZbm3Vf3,16,6.0,4.371835061490234
2017-10-01,182,Gonda Division,K7kAZbm3Vf3,17,12.0,0.010498877203410192
2017-10-01,182,Gonda Division,K7kAZbm3Vf3,18,11.0,8.269726892625211
2017-10-01,182,Gonda Division,K7kAZbm3Vf3,19,10.0,0.006661337596589395
2017-10-01,182,Gonda Division,K7kAZbm3Vf3,20,1.0,100.0
2017-10-01,182,Gonda Division,K7kAZbm3Vf3,21,15.0,2.864721485411141
2017-10-01,182,Gonda Division,K7kAZbm3Vf3,22,6.0,0.0
2017-10-01,182,Gonda Division,K7kAZbm3Vf3,30,1.0,0.0
2017-10-01,182,Gonda Division,K7kAZbm3Vf3,32,13.0,24.42759799303257
2017-10-01,182,Gonda Division,K7kAZbm3Vf3,35,15.0,16.435242728790087
2018-01-01,182,Gonda Division,K7kAZbm3Vf3,1,1.0,100.0
2018-01-01,182,Gonda Division,K7kAZbm3Vf3,2,11.0,40.90909090909091
2018-01-01,182,Gonda Division,K7kAZbm3Vf3,5,7.0,0.0
2018-01-01,182,Gonda Division,K7kAZbm3Vf3,9,18.0,31.249843987918425
2018-01-01,182,Gonda Division,K7kAZbm3Vf3,10,18.0,29.8594643169167
2018-01-01,182,Gonda Division,K7kAZbm3Vf3,11,9.0,56.815855819874685
2018-01-01,182,Gonda Division,K7kAZbm3Vf3,14,7.0,53.30380214101146
2018-01-01,182,Gonda Division,K7kAZbm3Vf3,16,4.0,4.450712663188637
2018-01-01,182,Gonda Division,K7kAZbm3Vf3,17,11.0,0.003834049886170168
2018-01-01,182,Gonda Division,K7kAZbm3Vf3,18,11.0,9.573170731707318
2018-01-01,182,Gonda Division,K7kAZbm3Vf3,19,5.0,0.0
2018-01-01,182,Gonda Division,K7kAZbm3Vf3,20,18.0,8.165048301340455
2018-01-01,182,Gonda Division,K7kAZbm3Vf3,21,18.0,0.004992386610419111
2018-01-01,182,Gonda Division,K7kAZbm3Vf3,22,3.0,0.0
2018-01-01,182,Gonda Division,K7kAZbm3Vf3,28,1.0,0.0
2018-01-01,182,Gonda Division,K7kAZbm3Vf3,30,1.0,0.0
2018-01-01,182,Gonda Division,K7kAZbm3Vf3,32,6.0,35.20784405824331
2018-01-01,182,Gonda Division,K7kAZbm3Vf3,35,7.0,64.40924748748178
2018-04-01,182,Gonda Division,K7kAZbm3Vf3,1,1.0,100.0
2018-04-01,182,Gonda Division,K7kAZbm3Vf3,2,7.0,0.0
2018-04-01,182,Gonda Division,K7kAZbm3Vf3,5,11.0,0.0
2018-04-01,182,Gonda Division,K7kAZbm3Vf3,6,14.0,10.958904109589039
2018-04-01,182,Gonda Division,K7kAZbm3Vf3,9,14.0,48.06878793452272
2018-04-01,182,Gonda Division,K7kAZbm3Vf3,10,10.0,51.73502544295261
2018-04-01,182,Gonda Division,K7kAZbm3Vf3,11,3.0,82.2726994053093
2018-04-01,182,Gonda Division,K7kAZbm3Vf3,14,3.0,87.04257767548906
2018-04-01,182,Gonda Division,K7kAZbm3Vf3,16,2.0,7.887315308687389
2018-04-01,182,Gonda Division,K7kAZbm3Vf3,17,4.0,94.20289855072464
2018-04-01,182,Gonda Division,K7kAZbm3Vf3,18,11.0,11.288645814500091
2018-04-01,182,Gonda Division,K7kAZbm3Vf3,19,4.0,0.023790642347343374
2018-04-01,182,Gonda Division,K7kAZbm3Vf3,20,4.0,87.6218502850837
2018-04-01,182,Gonda Division,K7kAZbm3Vf3,21,13.0,5.122310097480229
2018-04-01,182,Gonda Division,K7kAZbm3Vf3,22,7.0,0.0
2018-04-01,182,Gonda Division,K7kAZbm3Vf3,28,1.0,0.0
2018-04-01,182,Gonda Division,K7kAZbm3Vf3,30,1.0,0.0
2018-04-01,182,Gonda Division,K7kAZbm3Vf3,32,8.0,27.53289667787809
2018-04-01,182,Gonda Division,K7kAZbm3Vf3,35,4.0,0.0
2018-07-01,182,Gonda Division,K7kAZbm3Vf3,1,1.0,100.0
2018-07-01,182,Gonda Division,K7kAZbm3Vf3,2,3.0,0.0
2018-07-01,182,Gonda Division,K7kAZbm3Vf3,5,13.0,0.0
2018-07-01,182,Gonda Division,K7kAZbm3Vf3,6,10.0,37.5
2018-07-01,182,Gonda Division,K7kAZbm3Vf3,9,6.0,48.02177268665204
2018-07-01,182,Gonda Division,K7kAZbm3Vf3,10,4.0,54.5393614428467
2018-07-01,182,Gonda Division,K7kAZbm3Vf3,11,4.0,75.32699650662117
2018-07-01,182,Gonda Division,K7kAZbm3Vf3,14,8.0,48.91027969487832
2018-07-01,182,Gonda Division,K7kAZbm3Vf3,16,3.0,7.756519619790398
2018-07-01,182,Gonda Division,K7kAZbm3Vf3,17,4.0,94.28571428571428
2018-07-01,182,Gonda Division,K7kAZbm3Vf3,18,9.0,12.854233704860947
2018-07-01,182,Gonda Division,K7kAZbm3Vf3,19,3.0,0.18929833417465927
2018-07-01,182,Gonda Division,K7kAZbm3Vf3,20,14.0,46.25680396457877
2018-07-01,182,Gonda Division,K7kAZbm3Vf3,21,13.0,4.2692338938987735
2018-07-01,182,Gonda Division,K7kAZbm3Vf3,22,2.0,0.06905516288894305
2018-07-01,182,Gonda Division,K7kAZbm3Vf3,28,1.0,0.0
2018-07-01,182,Gonda Division,K7kAZbm3Vf3,30,1.0,0.0
2018-07-01,182,Gonda Division,K7kAZbm3Vf3,32,6.0,36.583833306307774
2018-07-01,182,Gonda Division,K7kAZbm3Vf3,35,3.0,0.0
2018-10-01,182,Gonda Division,K7kAZbm3Vf3,1,1.0,100.0
2018-10-01,182,Gonda Division,K7kAZbm3Vf3,2,2.0,0.0
2018-10-01,182,Gonda Division,K7kAZbm3Vf3,5,14.0,0.0
2018-10-01,182,Gonda Division,K7kAZbm3Vf3,6,8.0,40.384615384615394
2018-10-01,182,Gonda Division,K7kAZbm3Vf3,9,7.0,47.31197883258499
2018-10-01,182,Gonda Division,K7kAZbm3Vf3,10,13.0,39.63077293136626
2018-10-01,182,Gonda Division,K7kAZbm3Vf3,11,6.0,59.88814945477871
2018-10-01,182,Gonda Division,K7kAZbm3Vf3,14,5.0,71.02954341987467
2018-10-01,182,Gonda Division,K7kAZbm3Vf3,16,1.0,10.587716484926236
2018-10-01,182,Gonda Division,K7kAZbm3Vf3,17,2.0,94.73684210526315
2018-10-01,182,Gonda Division,K7kAZbm3Vf3,18,8.0,13.48546458700006
2018-10-01,182,Gonda Division,K7kAZbm3Vf3,19,6.0,0.04546044940901416
2018-10-01,182,Gonda Division,K7kAZbm3Vf3,20,4.0,81.12171263630532
2018-10-01,182,Gonda Division,K7kAZbm3Vf3,21,13.0,4.8468569595894815
2018-10-01,182,Gonda Division,K7kAZbm3Vf3,22,1.0,1.136545862732521
2018-10-01,182,Gonda Division,K7kAZbm3Vf3,28,3.0,0.0
2018-10-01,182,Gonda Division,K7kAZbm3Vf3,30,1.0,0.0
2018-10-01,182,Gonda Division,K7kAZbm3Vf3,32,7.0,37.121796946983096
2018-10-01,182,Gonda Division,K7kAZbm3Vf3,35,3.0,0.0
2019-01-01,182,Gonda Division,K7kAZbm3Vf3,1,1.0,100.0
2019-01-01,182,Gonda Division,K7kAZbm3Vf3,2,2.0,0.0
2019-01-01,182,Gonda Division,K7kAZbm3Vf3,5,12.0,3.2258064516129035
2019-01-01,182,Gonda Division,K7kAZbm3Vf3,6,1.0,100.0
2019-01-01,182,Gonda Division,K7kAZbm3Vf3,9,11.0,40.56545174023685
2019-01-01,182,Gonda Division,K7kAZbm3Vf3,10,11.0,42.801610996453405
2019-01-01,182,Gonda Division,K7kAZbm3Vf3,11,8.0,56.71749453984413
2019-01-01,182,Gonda Division,K7kAZbm3Vf3,14,7.0,50.2159827213823
2019-01-01,182,Gonda Division,K7kAZbm3Vf3,16,1.0,9.165046987396556
2019-01-01,182,Gonda Division,K7kAZbm3Vf3,17,10.0,34.48275862068966
2019-01-01,182,Gonda Division,K7kAZbm3Vf3,18,7.0,13.906866614048937
2019-01-01,182,Gonda Division,K7kAZbm3Vf3,19,6.0,0.03685956505713232
2019-01-01,182,Gonda Division,K7kAZbm3Vf3,20,1.0,100.0
2019-01-01,182,Gonda Division,K7kAZbm3Vf3,21,14.0,2.680986635141363
2019-01-01,182,Gonda Division,K7kAZbm3Vf3,22,6.0,0.0
2019-01-01,182,Gonda Division,K7kAZbm3Vf3,28,1.0,0.0
2019-01-01,182,Gonda Division,K7kAZbm3Vf3,30,1.0,0.0
2019-01-01,182,Gonda Division,K7kAZbm3Vf3,32,4.0,46.60566205306803
2019-01-01,182,Gonda Division,K7kAZbm3Vf3,35,2.0,0.0
2019-04-01,182,Gonda Division,K7kAZbm3Vf3,1,1.0,100.0
2019-04-01,182,Gonda Division,K7kAZbm3Vf3,2,1.0,100.0
2019-04-01,182,Gonda Division,K7kAZbm3Vf3,5,4.0,15.789473684210524
2019-04-01,182,Gonda Division,K7kAZbm3Vf3,6,2.0,78.94736842105263
2019-04-01,182,Gonda Division,K7kAZbm3Vf3,9,7.0,45.28761735951478
2019-04-01,182,Gonda Division,K7kAZbm3Vf3,10,10.0,47.50048467056249
2019-04-01,182,Gonda Division,K7kAZbm3Vf3,11,4.0,76.386850195253
2019-04-01,182,Gonda Division,K7kAZbm3Vf3,14,4.0,57.18893226956374
2019-04-01,182,Gonda Division,K7kAZbm3Vf3,16,3.0,8.178469548840946
2019-04-01,182,Gonda Division,K7kAZbm3Vf3,17,1.0,100.0
2019-04-01,182,Gonda Division,K7kAZbm3Vf3,18,4.0,20.218716611149517
2019-04-01,182,Gonda Division,K7kAZbm3Vf3,19,5.0,0.0
2019-04-01,182,Gonda Division,K7kAZbm3Vf3,20,16.0,33.087766915002625
2019-04-01,182,Gonda Division,K7kAZbm3Vf3,21,16.0,3.0077270335392035
2019-04-01,182,Gonda Division,K7kAZbm3Vf3,22,5.0,0.0
2019-04-01,182,Gonda Division,K7kAZbm3Vf3,28,1.0,0.0
2019-04-01,182,Gonda Division,K7kAZbm3Vf3,30,1.0,0.0
2019-04-01,182,Gonda Division,K7kAZbm3Vf3,32,5.0,35.73293889625625
2019-04-01,182,Gonda Division,K7kAZbm3Vf3,35,1.0,100.0
2019-07-01,182,Gonda Division,K7kAZbm3Vf3,1,1.0,100.0
2019-07-01,182,Gonda Division,K7kAZbm3Vf3,2,1.0,100.0
2019-07-01,182,Gonda Division,K7kAZbm3Vf3,5,8.0,18.867924528301888
2019-07-01,182,Gonda Division,K7kAZbm3Vf3,6,8.0,43.39622641509435
2019-07-01,182,Gonda Division,K7kAZbm3Vf3,9,7.0,39.86985400721535
2019-07-01,182,Gonda Division,K7kAZbm3Vf3,10,11.0,39.81084999494252
2019-07-01,182,Gonda Division,K7kAZbm3Vf3,11,4.0,65.89399507737956
2019-07-01,182,Gonda Division,K7kAZbm3Vf3,14,4.0,59.23000987166831
2019-07-01,182,Gonda Division,K7kAZbm3Vf3,16,4.0,8.091978825988738
2019-07-01,182,Gonda Division,K7kAZbm3Vf3,17,1.0,100.0
2019-07-01,182,Gonda Division,K7kAZbm3Vf3,18,11.0,12.30298497314204
2019-07-01,182,Gonda Division,K7kAZbm3Vf3,19,5.0,0.0
2019-07-01,182,Gonda Division,K7kAZbm3Vf3,20,17.0,12.407700866516066
2019-07-01,182,Gonda Division,K7kAZbm3Vf3,21,17.0,0.7097339761960957
2019-07-01,182,Gonda Division,K7kAZbm3Vf3,22,3.0,0.0
2019-07-01,182,Gonda Division,K7kAZbm3Vf3,28,1.0,0.0
2019-07-01,182,Gonda Division,K7kAZbm3Vf3,30,1.0,0.0
2019-07-01,182,Gonda Division,K7kAZbm3Vf3,32,5.0,51.316011848109376
2019-07-01,182,Gonda Division,K7kAZbm3Vf3,35,1.0,100.0
2017-10-01,193,Azamgarh Division,PQpO0hxWAzu,1,1.0,100.0
2017-10-01,193,Azamgarh Division,PQpO0hxWAzu,2,18.0,7.511737089201878
2017-10-01,193,Azamgarh Division,PQpO0hxWAzu,5,3.0,18.75
2017-10-01,193,Azamgarh Division,PQpO0hxWAzu,6,14.0,0.0
2017-10-01,193,Azamgarh Division,PQpO0hxWAzu,9,18.0,24.463995012296074
2017-10-01,193,Azamgarh Division,PQpO0hxWAzu,10,18.0,24.325447681064052
2017-10-01,193,Azamgarh Division,PQpO0hxWAzu,11,17.0,32.82532645214922
2017-10-01,193,Azamgarh Division,PQpO0hxWAzu,14,1.0,100.0
2017-10-01,193,Azamgarh Division,PQpO0hxWAzu,16,18.0,0.7031277060025631
2017-10-01,193,Azamgarh Division,PQpO0hxWAzu,17,1.0,100.0
2017-10-01,193,Azamgarh Division,PQpO0hxWAzu,18,12.0,7.832558744190582
2017-10-01,193,Azamgarh Division,PQpO0hxWAzu,19,9.0,0.018793459875963158
2017-10-01,193,Azamgarh Division,PQpO0hxWAzu,20,6.0,89.10671608188147
2017-10-01,193,Azamgarh Division,PQpO0hxWAzu,21,16.0,1.9050258044404416
2017-10-01,193,Azamgarh Division,PQpO0hxWAzu,22,6.0,0.0
2017-10-01,193,Azamgarh Division,PQpO0hxWAzu,30,1.0,0.0
2017-10-01,193,Azamgarh Division,PQpO0hxWAzu,32,10.0,26.64539071760737
2017-10-01,193,Azamgarh Division,PQpO0hxWAzu,35,6.0,44.59007764179497
2018-01-01,193,Azamgarh Division,PQpO0hxWAzu,1,1.0,100.0
2018-01-01,193,Azamgarh Division,PQpO0hxWAzu,2,14.0,30.985915492957744
2018-01-01,193,Azamgarh Division,PQpO0hxWAzu,5,7.0,0.0
2018-01-01,193,Azamgarh Division,PQpO0hxWAzu,6,10.0,0.0
2018-01-01,193,Azamgarh Division,PQpO0hxWAzu,9,17.0,33.08455488022881
2018-01-01,193,Azamgarh Division,PQpO0hxWAzu,10,17.0,37.93350017876296
2018-01-01,193,Azamgarh Division,PQpO0hxWAzu,11,10.0,55.95280657847695
2018-01-01,193,Azamgarh Division,PQpO0hxWAzu,14,1.0,100.0
2018-01-01,193,Azamgarh Division,PQpO0hxWAzu,16,17.0,0.831247765462996
2018-01-01,193,Azamgarh Division,PQpO0hxWAzu,17,6.0,76.19047619047619
2018-01-01,193,Azamgarh Division,PQpO0hxWAzu,18,15.0,7.5596816976127315
2018-01-01,193,Azamgarh Division,PQpO0hxWAzu,19,5.0,0.0
2018-01-01,193,Azamgarh Division,PQpO0hxWAzu,20,14.0,16.459599570968894
2018-01-01,193,Azamgarh Division,PQpO0hxWAzu,21,16.0,0.21451555237754727
2018-01-01,193,Azamgarh Division,PQpO0hxWAzu,22,3.0,0.0
2018-01-01,193,Azamgarh Division,PQpO0hxWAzu,28,1.0,0.0
2018-01-01,193,Azamgarh Division,PQpO0hxWAzu,30,1.0,0.0
2018-01-01,193,Azamgarh Division,PQpO0hxWAzu,32,10.0,25.97330935398827
2018-01-01,193,Azamgarh Division,PQpO0hxWAzu,35,1.0,100.0
2018-04-01,193,Azamgarh Division,PQpO0hxWAzu,1,1.0,100.0
2018-04-01,193,Azamgarh Division,PQpO0hxWAzu,2,3.0,85.0
2018-04-01,193,Azamgarh Division,PQpO0hxWAzu,5,11.0,0.0
2018-04-01,193,Azamgarh Division,PQpO0hxWAzu,6,16.0,0.0
2018-04-01,193,Azamgarh Division,PQpO0hxWAzu,9,18.0,24.91082335695089
2018-04-01,193,Azamgarh Division,PQpO0hxWAzu,10,18.0,22.047397996579527
2018-04-01,193,Azamgarh Division,PQpO0hxWAzu,11,16.0,43.05399462496946
2018-04-01,193,Azamgarh Division,PQpO0hxWAzu,14,4.0,86.68478260869566
2018-04-01,193,Azamgarh Division,PQpO0hxWAzu,16,18.0,0.5032983141949671
2018-04-01,193,Azamgarh Division,PQpO0hxWAzu,17,5.0,91.66666666666666
2018-04-01,193,Azamgarh Division,PQpO0hxWAzu,18,15.0,8.765637675590282
2018-04-01,193,Azamgarh Division,PQpO0hxWAzu,19,8.0,0.0
2018-04-01,193,Azamgarh Division,PQpO0hxWAzu,20,10.0,75.33838260444662
2018-04-01,193,Azamgarh Division,PQpO0hxWAzu,21,4.0,20.61079892499389
2018-04-01,193,Azamgarh Division,PQpO0hxWAzu,22,7.0,0.0
2018-04-01,193,Azamgarh Division,PQpO0hxWAzu,28,1.0,0.0
2018-04-01,193,Azamgarh Division,PQpO0hxWAzu,30,1.0,0.0
2018-04-01,193,Azamgarh Division,PQpO0hxWAzu,32,16.0,17.027293064876954
2018-04-01,193,Azamgarh Division,PQpO0hxWAzu,35,1.0,100.0
2018-07-01,193,Azamgarh Division,PQpO0hxWAzu,1,1.0,100.0
2018-07-01,193,Azamgarh Division,PQpO0hxWAzu,2,3.0,0.0
2018-07-01,193,Azamgarh Division,PQpO0hxWAzu,5,6.0,8.333333333333332
2018-07-01,193,Azamgarh Division,PQpO0hxWAzu,6,9.0,45.83333333333333
